List of Banks in Peer Group -- 1 Insured commercial banks having assets greater than $100 billion

Reporting Period End Date	03/31/2009
Number of Banks in Peer Group	18

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
233031	12368	SM	REGIONS BANK	BIRMINGHAM	AL	1798	139,295,193	113,641
497404	18409	N	TD BANK, N.A.	WILMINGTON	DE	1018	104,820,418	5,800
675332	867	SM	SUNTRUST BANK	ATLANTA	GA	1751	173,635,214	-782,786
35301	14	SM	STATE STREET BANK AND TRUST COMPANY	BOSTON	MA	14	144,911,040	471,710
852320	9846	NM	BRANCH BANKING AND TRUST COMPANY	WINSTON-SALEM	NC	1471	145,900,529	304,270
480228	3510	N	BANK OF AMERICA, NATIONAL ASSOCIATION	CHARLOTTE	NC	5958	1,498,527,236	1,881,275
484422	33869	N	WACHOVIA BANK, NATIONAL ASSOCIATION	CHARLOTTE	NC	3126	597,220,000	2,049,000
476810	7213	N	CITIBANK, N.A.	LAS VEGAS	NV	1368	1,198,952,000	1,470,000
541101	639	SM	BANK OF NEW YORK MELLON, THE	NEW YORK	NY	16	181,538,000	483,000
2182786	33124	SM	GOLDMAN SACHS BANK USA	NEW YORK	NY	4	161,249,000	1,209,000
259518	6557	N	NATIONAL CITY BANK	CLEVELAND	OH	1449	141,934,314	470,696
852218	628	N	JPMORGAN CHASE BANK, NATIONAL ASSOCIATION	COLUMBUS	OH	5101	1,685,164,000	2,503,000
504713	6548	N	U.S. BANK NATIONAL ASSOCIATION	CINCINNATI	OH	2862	259,376,288	624,362
817824	6384	N	PNC BANK, NATIONAL ASSOCIATION	PITTSBURGH	PA	1108	139,754,052	38,151
3303298	57957	N	RBS CITIZENS, NATIONAL ASSOCIATION	PROVIDENCE	RI	1136	135,262,834	-98,631
451965	3511	N	WELLS FARGO BANK, NATIONAL ASSOCIATION	SIOUX FALLS	SD	3207	545,742,000	1,218,000
413208	57890	N	HSBC BANK USA, NATIONAL ASSOCIATION	MCLEAN	VA	482	181,615,581	-111,604
112837	4297	N	CAPITAL ONE, NATIONAL ASSOCIATION	MC LEAN	VA	708	118,938,965	67,706
