List of Banks in Peer Group -- 101 Insured savings banks having assets greater than $1 billion

Reporting Period End Date	06/30/2018
Number of Banks in Peer Group	118

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
773470	32282	SI	MALAGA BANK, FSB	PALOS VERDES ESTATES	CA	5	1,045,815	7,845
961576	30953	SI	EL DORADO SAVINGS BANK, F.S.B.	PLACERVILLE	CA	35	2,188,602	9,737
2917317	35546	SI	BOFI FEDERAL BANK	SAN DIEGO	CA	2	9,678,702	96,147
1883321	26312	SI	FIRST AMERICAN TRUST, FSB	SANTA ANA	CA	10	3,387,357	24,951
631570	30879	SI	PROVIDENT SAVINGS BANK, F.S.B.	RIVERSIDE	CA	14	1,166,670	3,472
1718469	33111	SI	COLORADO FEDERAL SAVINGS BANK	GREENWOOD VILLAGE	CO	1	1,836,094	7,157
1009804	18208	SI	FARMINGTON BANK	FARMINGTON	CT	25	3,152,213	13,515
626101	15912	SI	SAVINGS BANK OF DANBURY	DANBURY	CT	15	1,014,041	5,116
958204	18204	SI	FIRST COUNTY BANK	STAMFORD	CT	19	1,598,488	5,768
882701	18213	SI	FAIRFIELD COUNTY BANK	RIDGEFIELD	CT	16	1,474,599	6,423
443205	18190	SI	UNION SAVINGS BANK	DANBURY	CT	26	2,196,781	10,884
507509	18199	SI	NEWTOWN SAVINGS BANK	NEWTOWN	CT	15	1,250,030	3,817
120609	18258	SI	THOMASTON SAVINGS BANK	THOMASTON	CT	13	1,004,754	2,187
345309	18238	SI	CHELSEA GROTON BANK	NORWICH	CT	14	1,060,738	4,927
407506	18198	SI	ION BANK	NAUGATUCK	CT	18	1,246,244	4,556
587800	17943	SI	LIBERTY BANK	MIDDLETOWN	CT	55	4,689,479	27,366
633501	18203	SI	UNITED BANK	HARTFORD	CT	54	7,086,659	34,925
437914	17838	SI	WILMINGTON SAVINGS FUND SOCIETY, FSB	WILMINGTON	DE	58	6,899,913	54,760
2735146	34775	SI	TIAA, FSB	JACKSONVILLE	FL	10	34,009,853	107,342
384278	31313	SI	FIRST FEDERAL BANK	LAKE CITY	FL	24	1,938,077	12,278
551070	30720	SI	CHARTERBANK	WEST POINT	GA	23	1,638,027	12,035
54973	32526	SI	AMERICAN SAVINGS BANK, F.S.B.	HONOLULU	HI	48	6,866,151	39,521
2654911	34507	SI	PRINCIPAL BANK	DES MOINES	IA	1	2,639,160	25,670
2590037	34617	SI	STATE FARM BANK, FSB	BLOOMINGTON	IL	1	16,713,131	9,774
