List of Banks in Peer Group -- 101M Mutually-owned insured savings banks having assets greater than $1 billion

Reporting Period End Date	09/30/2009
Number of Banks in Peer Group	16

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
633501	18203	SI	ROCKVILLE BANK	ROCKVILLE	CT	21	1,547,854	7,077
443205	18190	SI	UNION SAVINGS BANK	DANBURY	CT	20	1,868,327	6,377
882701	18213	SI	FAIRFIELD COUNTY BANK	RIDGEFIELD	CT	21	1,633,124	3,940
587800	17943	SI	LIBERTY BANK	MIDDLETOWN	CT	39	2,937,446	26,872
958204	18204	SI	FIRST COUNTY BANK	STAMFORD	CT	16	1,270,319	-2,375
618807	23296	SI	SALEM FIVE CENTS SAVINGS BANK	SALEM	MA	21	2,818,464	11,137
664206	23287	SI	CAPE COD FIVE CENTS SAVINGS BANK	HARWICH PORT	MA	17	1,863,407	5,710
886204	23298	SI	WATERTOWN SAVINGS BANK	WATERTOWN	MA	10	1,139,223	1,844
272302	90250	SI	INSTITUTION FOR SAVINGS IN NEWBURYPORT AND ITS VICINITY	NEWBURYPORT	MA	7	1,003,268	4,724
193809	23620	SI	DEDHAM INSTITUTION FOR SAVINGS	DEDHAM	MA	11	1,002,982	2,324
888002	90183	SI	MIDDLESEX SAVINGS BANK	NATICK	MA	31	3,706,146	10,875
689209	23992	SI	COUNTRY BANK FOR SAVINGS	WARE	MA	15	1,325,638	5,336
613400	90213	SI	PEOPLESBANK	HOLYOKE	MA	15	1,477,524	7,265
419406	18408	SI	BANGOR SAVINGS BANK	BANGOR	ME	54	2,289,987	12,050
373601	12013	SI	UNION COUNTY SAVINGS BANK	ELIZABETH	NJ	4	1,118,003	4,934
859712	16026	SI	RIDGEWOOD SAVINGS BANK	RIDGEWOOD	NY	39	4,311,756	6,347
