List of Banks in Peer Group -- 101S Stock-owned insured savings banks having assets greater than $1 billion

Reporting Period End Date	06/30/2014
Number of Banks in Peer Group	95

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
497570	32178	SI	LUTHER BURBANK SAVINGS	SANTA ROSA	CA	8	3,676,054	25,237
631570	30879	SI	PROVIDENT SAVINGS BANK, F.S.B.	RIVERSIDE	CA	15	1,119,606	3,704
961576	30953	SI	EL DORADO SAVINGS BANK, F.S.B.	PLACERVILLE	CA	35	1,864,382	5,902
1883321	26312	SI	FIRST AMERICAN TRUST, FSB	SANTA ANA	CA	9	2,154,044	8,575
2917317	35546	SI	BOFI FEDERAL BANK	SAN DIEGO	CA	1	3,898,335	32,292
1718469	33111	SI	COLORADO FEDERAL SAVINGS BANK	GREENWOOD VILLAGE	CO	1	1,744,805	5,883
1009804	18208	SI	FARMINGTON BANK	FARMINGTON	CT	22	2,156,412	4,288
613307	27334	SI	PEOPLE'S UNITED BANK	BRIDGEPORT	CT	392	32,851,268	130,375
407506	18198	SI	ION BANK	NAUGATUCK	CT	18	997,283	1,537
480808	18214	SI	SAVINGS INSTITUTE BANK AND TRUST COMPANY	WILLIMANTIC	CT	26	1,349,165	1,956
437914	17838	SI	WILMINGTON SAVINGS FUND SOCIETY, FSB	WILMINGTON	DE	40	4,518,389	30,646
623771	32212	SI	GIBRALTAR PRIVATE BANK & TRUST COMPANY	CORAL GABLES	FL	8	1,598,792	1,553
384278	31313	SI	FIRST FEDERAL BANK OF FLORIDA	LAKE CITY	FL	18	1,011,971	3,548
2735146	34775	SI	EVERBANK	JACKSONVILLE	FL	11	17,873,103	69,675
551070	30720	SI	CHARTERBANK	WEST POINT	GA	16	1,066,303	4,050
564977	30836	SI	TERRITORIAL SAVINGS BANK	HONOLULU	HI	28	1,633,484	7,432
54973	32526	SI	AMERICAN SAVINGS BANK, F.S.B.	HONOLULU	HI	55	5,343,561	26,215
435077	30776	SI	METABANK	STORM LAKE	IA	11	1,959,493	8,612
2654911	34507	SI	PRINCIPAL BANK	DES MOINES	IA	1	2,139,811	11,882
2590037	34617	SI	STATE FARM BANK, FSB	BLOOMINGTON	IL	1	16,310,460	30,259
454676	28808	SI	BANKFINANCIAL, F.S.B.	OLYMPIA FIELDS	IL	19	1,443,468	2,804
968070	27981	SI	CAPITOL FEDERAL SAVINGS BANK	TOPEKA	KS	47	9,076,771	39,568
762474	30895	SI	FIDELITY BANK	WICHITA	KS	23	1,611,480	6,119
929978	28094	SI	HOME BANK	LAFAYETTE	LA	28	1,108,336	4,246
758703	17870	SI	CAMBRIDGE SAVINGS BANK	CAMBRIDGE	MA	17	2,598,551	7,079
892205	90300	SI	WESTFIELD BANK	WESTFIELD	MA	13	1,274,070	3,471
473501	23621	SI	BERKSHIRE BANK	PITTSFIELD	MA	90	5,971,288	11,229
348207	23901	SI	BELMONT SAVINGS BANK	BELMONT	MA	6	1,139,658	1,720
279105	23293	SI	FLORENCE SAVINGS BANK	FLORENCE	MA	9	1,060,894	3,121
13103	23622	SI	BRISTOL COUNTY SAVINGS BANK	TAUNTON	MA	18	1,493,029	4,707
1000100	33510	SI	EAST BOSTON SAVINGS BANK	BOSTON	MA	27	2,759,196	10,385
137205	19531	SI	MACHIAS SAVINGS BANK	MACHIAS	ME	17	1,055,120	3,513
146672	32541	SI	FLAGSTAR BANK, FSB	TROY	MI	101	9,482,925	-49,510
979375	32232	SI	STERLING BANK AND TRUST, FSB	SOUTHFIELD	MI	18	1,029,168	8,782
2716547	34723	SI	TIAA-CREF TRUST COMPANY FSB	SAINT LOUIS	MO	1	2,317,711	-14,924
3352399	58124	SI	H & R BLOCK BANK	KANSAS CITY	MO	1	1,724,072	47,220
3688052	58656	SI	SCOTTRADE BANK	TOWN AND COUNTRY	MO	1	19,718,916	89,578
11275	30284	SI	PULASKI BANK	CREVE COEUR	MO	13	1,265,940	5,504
211271	29708	SI	NORTH AMERICAN SAVINGS BANK, FSB	GRANDVIEW	MO	9	1,155,026	11,020
212577	27677	SI	HOMETRUST BANK	ASHEVILLE	NC	32	1,739,156	3,857
786274	32325	SI	MUTUAL OF OMAHA BANK	OMAHA	NE	42	6,714,103	14,368
265407	18012	SI	BANK OF NEW HAMPSHIRE	LACONIA	NH	21	1,175,642	2,905
268006	18013	SI	MASCOMA SAVINGS BANK	LEBANON	NH	19	1,121,323	2,083
91101	31953	SI	LAKE SUNAPEE BANK, FSB	NEWPORT	NH	35	1,440,626	4,945
106377	28395	SI	CAPE BANK	CAPE MAY COURT HOUSE	NJ	14	1,090,387	4,317
174572	28834	SI	COLUMBIA BANK	FAIR LAWN	NJ	44	4,566,589	11,131
204004	12010	SI	PROVIDENT BANK, THE	JERSEY CITY	NJ	88	7,651,685	32,964
2376	28866	SI	ORITANI BANK	TOWNSHIP OF WASHINGTON	NJ	26	2,973,394	19,917
3177	30273	SI	OCEAN CITY HOME BANK	OCEAN CITY	NJ	12	1,023,350	3,378
85472	28359	SI	OCEANFIRST BANK	TOMS RIVER	NJ	23	2,271,284	10,045
35570	28892	SI	INVESTORS BANK	SHORT HILLS	NJ	131	16,593,090	56,320
797775	30052	SI	BOILING SPRINGS SAVINGS BANK	RUTHERFORD	NJ	18	1,404,355	3,460
