List of Banks in Peer Group -- 102 Insured savings banks having assets between $300 million and $1 billion

Reporting Period End Date	06/30/2016
Number of Banks in Peer Group	229

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
542667	19525	SI	MT. MCKINLEY BANK	FAIRBANKS	AK	5	405,049	2,148
2132370	33114	SI	UNITED BUSINESS BANK, F.S.B.	OAKLAND	CA	8	411,674	2,017
26176	30306	SI	BROADWAY FEDERAL BANK, F.S.B.	LOS ANGELES	CA	3	391,320	1,402
208570	30722	SI	UNIVERSAL BANK	WEST COVINA	CA	5	345,255	992
258306	16101	SI	MILFORD BANK THE	MILFORD	CT	8	401,867	428
311603	18200	SI	DIME BANK	NORWICH	CT	12	784,249	1,150
626101	15912	SI	SAVINGS BANK OF DANBURY	DANBURY	CT	15	923,194	3,989
345309	18238	SI	CHELSEA GROTON BANK	NORWICH	CT	14	983,902	3,310
3664588	58741	SI	FIELDPOINT PRIVATE BANK & TRUST	GREENWICH	CT	1	814,388	1,497
961400	17262	SI	ESSEX SAVINGS BANK	ESSEX	CT	6	358,711	890
120609	18258	SI	THOMASTON SAVINGS BANK	THOMASTON	CT	12	894,832	2,019
92676	29632	SI	WINDSOR FEDERAL SAVINGS AND LOAN ASSOCIATION	WINDSOR	CT	7	424,053	1,445
65205	16636	SI	TORRINGTON SAVINGS BANK, THE	TORRINGTON	CT	8	806,818	2,052
831008	18194	SI	GUILFORD SAVINGS BANK, THE	GUILFORD	CT	7	629,476	2,187
545604	18229	SI	NORTHWEST COMMUNITY BANK	WINSTED	CT	5	344,974	934
73116	17123	SI	ARTISANS' BANK	WILMINGTON	DE	13	503,693	1,318
432478	30750	SI	SUNSHINE BANK	PLANT CITY	FL	12	500,562	429
408875	31390	SI	AXIOM BANK	MAITLAND	FL	21	686,259	1,802
543570	45826	SI	ATLANTIC COAST BANK	JACKSONVILLE	FL	11	874,930	2,970
3619739	35200	SI	FIRSTATLANTIC BANK	JACKSONVILLE	FL	8	426,933	1,840
88231	16418	SI	BANKSOUTH	GREENSBORO	GA	6	441,795	6,634
582971	28845	SI	FIRST FEDERAL SAVINGS BANK OF TWIN FALLS	TWIN FALLS	ID	11	581,848	1,575
3971	28865	SI	MIDCOUNTRY BANK	MARION	IL	23	757,212	268
133971	29800	SI	LISLE SAVINGS BANK	LISLE	IL	2	539,035	2,873
403870	29675	SI	IROQUOIS FEDERAL SAVINGS AND LOAN ASSOCIATION	WATSEKA	IL	5	583,471	2,026
2806877	35518	SI	FEDERAL SAVINGS BANK, THE	CHICAGO	IL	2	280,309	8,431
587677	28401	SI	EUREKA SAVINGS BANK	LA SALLE	IL	4	352,514	1,003
520777	28841	SI	COMMUNITY SAVINGS BANK	CHICAGO	IL	1	406,846	541
483274	29809	SI	FIRST SAVINGS BANK OF HEGEWISCH	CHICAGO	IL	11	615,180	1,404
687474	28211	SI	JACKSONVILLE SAVINGS BANK	JACKSONVILLE	IL	4	301,751	1,699
649874	28068	SI	ROYAL SAVINGS BANK	CHICAGO	IL	7	309,538	676
790271	29227	SI	WASHINGTON SAVINGS BANK	EFFINGHAM	IL	3	346,896	708
771878	28924	SI	FIRST FEDERAL SAVINGS BANK	OTTAWA	IL	12	375,227	1,124
757377	29009	SI	LIBERTY BANK FOR SAVINGS	CHICAGO	IL	5	823,917	1,618
867070	27664	SI	STERLING FEDERAL BANK, FEDERAL SAVINGS BANK	STERLING	IL	9	445,417	7
697147	17736	SI	TERRE HAUTE SAVINGS BANK	TERRE HAUTE	IN	7	320,011	631
716374	31223	SI	FIRST HARRISON BANK	CORYDON	IN	17	720,213	3,130
568470	29523	SI	PEOPLES BANK SB	MUNSTER	IN	16	874,174	4,470
391575	29566	SI	UNITED FIDELITY BANK, FSB	EVANSVILLE	IN	11	386,167	3,763
257578	31516	SI	FIRST FEDERAL SAVINGS BANK	ROCHESTER	IN	6	355,261	1,114
155245	9538	SI	LAPORTE SAVINGS BANK, THE	LA PORTE	IN	7	526,469	3,704
88772	29620	SI	UNITED COMMUNITY BANK	LAWRENCEBURG	IN	8	510,420	1,804
1011076	29877	SI	TOWN SQUARE BANK	ASHLAND	KY	10	436,153	1,523
255574	28316	SI	FIDELITY BANK	NEW ORLEANS	LA	18	797,040	3,000
517674	30441	SI	FIRST FEDERAL BANK OF LOUISIANA	LAKE CHARLES	LA	16	807,527	1,387
837970	27697	SI	FIFTH DISTRICT SAVINGS BANK	NEW ORLEANS	LA	6	399,558	1,138
804374	27654	SI	HOME FEDERAL BANK	SHREVEPORT	LA	7	362,067	1,873
794608	90179	SI	CHICOPEE SAVINGS BANK	CHICOPEE	MA	8	687,864	1,460
822275	28213	SI	WINTER HILL BANK, FSB	SOMERVILLE	MA	4	308,787	516
818401	90235	SI	MARLBOROUGH SAVINGS BANK	MARLBOROUGH	MA	7	523,032	1,224
765505	90297	SI	WEBSTER FIVE CENTS SAVINGS BANK	WEBSTER	MA	7	730,404	2,165
790703	33645	SI	LEE BANK	LEE	MA	5	316,622	386
837608	17797	SI	ROLLSTONE BANK & TRUST	FITCHBURG	MA	8	586,469	1,980
853804	90175	SI	BANK OF CANTON, THE	CANTON	MA	6	669,993	1,446
933377	26451	SI	FIDELITY CO-OPERATIVE BANK	FITCHBURG	MA	10	776,649	1,563
899008	90308	SI	WINCHESTER SAVINGS BANK	WINCHESTER	MA	6	532,243	858
453370	26575	SI	COASTAL HERITAGE BANK	WEYMOUTH	MA	9	487,636	731
447100	90282	SI	SPENCER SAVINGS BANK	SPENCER	MA	6	535,546	1,308
714978	26922	SI	COOPERATIVE BANK, THE	ROSLINDALE	MA	3	339,979	2,829
711801	90291	SI	SAVINGS BANK, THE	WAKEFIELD	MA	8	520,318	1,418
317100	90147	SI	NORTH MIDDLESEX SAVINGS BANK	AYER	MA	7	411,144	1,234
278078	26605	SI	WELLESLEY BANK	WELLESLEY	MA	6	621,798	2,015
183770	26634	SI	MECHANICS COOPERATIVE BANK	TAUNTON	MA	8	493,172	2,026
527600	90259	SI	NORTH EASTON SAVINGS BANK	SOUTH EASTON	MA	9	513,003	776
635907	90208	SI	PENTUCKET BANK	HAVERHILL	MA	6	643,682	2,339
627108	90203	SI	CAPE ANN SAVINGS BANK	GLOUCESTER	MA	4	522,055	1,385
343903	90140	SI	ADAMS COMMUNITY BANK	ADAMS	MA	8	473,995	1,409
408307	90146	SI	ATHOL SAVINGS BANK	ATHOL	MA	8	366,978	1,032
418100	90268	SI	SEAMENS BANK	PROVINCETOWN	MA	5	335,438	267
227777	29835	SI	MILFORD FEDERAL SAVINGS AND LOAN ASSOCIATION	MILFORD	MA	4	365,425	588
197302	90191	SI	EAGLE BANK	EVERETT	MA	5	420,385	511
179700	90181	SI	CLINTON SAVINGS BANK	CLINTON	MA	8	513,788	1,475
173575	26336	SI	VILLAGE BANK, THE	AUBURNDALE	MA	8	936,953	3,463
332402	90270	SI	RANDOLPH SAVINGS BANK	RANDOLPH	MA	5	392,771	719
375502	90141	SI	PROVIDENT BANK, THE	AMESBURY	MA	8	735,475	2,842
268976	27238	SI	WINCHESTER CO-OPERATIVE BANK	WINCHESTER	MA	1	595,448	1,949
264772	32551	SI	RADIUS BANK	BOSTON	MA	1	807,329	208
1013070	26555	SI	NORWOOD CO-OPERATIVE BANK	NORWOOD	MA	1	428,336	1,151
1004470	26523	SI	HOMETOWN BANK	OXFORD	MA	7	429,898	687
1002373	26455	SI	SAVERS CO-OPERATIVE BANK	SOUTHBRIDGE	MA	6	478,402	1,375
954279	26559	SI	STONEHAMBANK	STONEHAM	MA	2	520,818	1,306
952172	26444	SI	EVERETT CO-OPERATIVE BANK	EVERETT	MA	2	424,147	1,526
951102	90245	SI	MONSON SAVINGS BANK	MONSON	MA	4	322,694	775
963002	90311	SI	BAY STATE SAVINGS BANK	WORCESTER	MA	8	369,654	595
946171	26601	SI	BEVERLY BANK	BEVERLY	MA	4	380,338	982
632607	90206	SI	GREENFIELD SAVINGS BANK	GREENFIELD	MA	7	749,703	2,566
541307	27015	SI	ADMIRALS BANK	BOSTON	MA	2	441,943	-1,772
97804	90253	SI	MOUNTAINONE BANK	NORTH ADAMS	MA	7	850,263	1,971
87579	28368	SI	MIDDLESEX FEDERAL SAVINGS, F.A.	SOMERVILLE	MA	3	373,995	415
67209	90251	SI	NEWBURYPORT FIVE CENTS SAVINGS BANK	NEWBURYPORT	MA	8	731,681	2,690
154770	26395	SI	MUTUALONE BANK	FRAMINGHAM	MA	4	675,443	3,048
161273	26484	SI	NORTH SHORE BANK, A CO-OPERATIVE BANK	PEABODY	MA	12	752,845	1,605
119779	26517	SI	CAPE COD CO-OPERATIVE BANK	YARMOUTH PORT	MA	10	833,804	1,814
109574	26411	SI	HAVERHILL BANK	HAVERHILL	MA	8	364,402	703
59370	30680	SI	FIRST SHORE FEDERAL SAVINGS AND LOAN ASSOCIATION	SALISBURY	MD	8	306,825	803
86675	29613	SI	ROSEDALE FEDERAL SAVINGS AND LOAN ASSOCIATION	NOTTINGHAM	MD	8	812,919	4,612
538473	32363	SI	PRESIDENTIAL BANK, FSB	BETHESDA	MD	10	563,916	3,508
365576	28589	SI	HAMILTON BANK	BALTIMORE	MD	7	455,156	15
411473	32367	SI	SEVERN SAVINGS BANK, FSB	ANNAPOLIS	MD	4	767,012	13,551
390372	28780	SI	ARUNDEL FEDERAL SAVINGS BANK	GLEN BURNIE	MD	5	457,345	772
4155841	59004	SI	BAY BANK, FSB	COLUMBIA	MD	11	476,614	718
643078	32360	SI	EASTERN SAVINGS BANK FEDERAL SAVINGS BANK	HUNT VALLEY	MD	5	351,950	2,375
401906	19532	SI	SKOWHEGAN SAVINGS BANK	SKOWHEGAN	ME	17	570,954	1,863
548203	17476	SI	MECHANICS SAVINGS BANK	AUBURN	ME	4	379,045	1,401
583905	17897	SI	KENNEBEC SAVINGS BANK	AUGUSTA	ME	4	817,794	3,341
499501	17741	SI	BIDDEFORD SAVINGS BANK	BIDDEFORD	ME	5	417,589	1,165
433505	17749	SI	BATH SAVINGS INSTITUTION	BATH	ME	10	795,642	3,376
339607	17743	SI	SACO & BIDDEFORD SAVINGS INSTITUTION	SACO	ME	6	874,079	3,485
111205	17115	SI	SANFORD INSTITUTION FOR SAVINGS	SANFORD	ME	9	506,958	1,532
132107	17751	SI	ANDROSCOGGIN SAVINGS BANK	LEWISTON	ME	12	852,635	2,768
366078	28593	SI	STURGIS BANK & TRUST COMPANY	STURGIS	MI	11	374,856	1,405
707877	28918	SI	WOLVERINE BANK, F.S.B.	MIDLAND	MI	3	387,356	2,245
745374	30985	SI	FIRST FEDERAL OF NORTHERN MICHIGAN	ALPENA	MI	8	333,157	357
2860459	35115	SI	AUTO CLUB TRUST, FSB	DEARBORN	MI	4	313,288	-427
796572	29042	SI	HOME FEDERAL SAVINGS BANK	ROCHESTER	MN	12	644,311	3,644
685779	27932	SI	RIVERWOOD BANK	BEMIDJI	MN	10	335,358	918
950178	29047	SI	FIRST FEDERAL BANK OF KANSAS CITY	KANSAS CITY	MO	12	619,344	1,335
2744782	34934	SI	LITTLE BANK, SSB, THE	KINSTON	NC	6	361,628	1,556
42372	30315	SI	FIRST FEDERAL SAVINGS BANK OF LINCOLNTON	LINCOLNTON	NC	4	352,034	1,519
342175	29663	SI	ASHEVILLE SAVINGS BANK, SSB	ASHEVILLE	NC	13	780,975	2,993
416674	29771	SI	KS BANK, INC.	SMITHFIELD	NC	10	344,059	1,074
864471	27619	SI	PIEDMONT FEDERAL SAVINGS BANK	WINSTON SALEM	NC	10	896,424	1,195
637170	29140	SI	AMERICAN FEDERAL BANK	FARGO	ND	13	535,076	2,871
385471	31999	SI	MADISON COUNTY BANK	MADISON	NE	5	352,417	2,207
529275	29692	SI	LINCOLN FEDERAL SAVINGS BANK OF NEBRASKA	LINCOLN	NE	14	341,576	691
491402	17951	SI	FRANKLIN SAVINGS BANK	FRANKLIN	NH	7	425,863	704
670878	27824		SALEM CO-OPERATIVE BANK	SALEM	NH	2	394,621	846
477303	18031	SI	WOODSVILLE GUARANTY SAVINGS BANK	WOODSVILLE	NH	9	429,129	1,292
576608	17180	SI	MEREDITH VILLAGE SAVINGS BANK	MEREDITH	NH	11	785,314	2,812
74403	17960	SI	MERRIMACK COUNTY SAVINGS BANK	CONCORD	NH	8	747,060	1,874
119872	29744	SI	FEDERAL SAVINGS BANK	DOVER	NH	5	307,023	405
598002	18030	SI	SAVINGS BANK OF WALPOLE	WALPOLE	NH	5	364,688	684
