List of Banks in Peer Group -- 102M Mutually-owned insured savings banks having assets between $300 million and $1 billion

Reporting Period End Date	06/30/2013
Number of Banks in Peer Group	123

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
542667	19525	SI	MT. MCKINLEY BANK	FAIRBANKS	AK	5	325,837	1,912
545604	18229	SI	NORTHWEST COMMUNITY BANK	WINSTED	CT	6	320,134	669
626101	15912	SI	SAVINGS BANK OF DANBURY	DANBURY	CT	14	761,605	1,867
831008	18194	SI	GUILFORD SAVINGS BANK, THE	GUILFORD	CT	7	526,510	1,846
961400	17262	SI	ESSEX SAVINGS BANK	ESSEX	CT	6	320,920	904
65205	16636	SI	TORRINGTON SAVINGS BANK, THE	TORRINGTON	CT	8	784,467	2,132
120609	18258	SI	THOMASTON SAVINGS BANK	THOMASTON	CT	10	749,396	1,354
258306	16101	SI	MILFORD BANK THE	MILFORD	CT	8	398,355	439
311603	18200	SI	DIME BANK	NORWICH	CT	11	728,219	1,913
345309	18238	SI	CHELSEA GROTON BANK	NORWICH	CT	14	880,242	2,910
507509	18199	SI	NEWTOWN SAVINGS BANK	NEWTOWN	CT	14	946,274	697
73116	17123	SI	ARTISANS' BANK	WILMINGTON	DE	13	475,499	-4,731
582971	28845	SI	FIRST FEDERAL SAVINGS BANK OF TWIN FALLS	TWIN FALLS	ID	11	502,139	1,473
587677	28401	SI	EUREKA SAVINGS BANK	LA SALLE	IL	4	387,389	720
757377	29009	SI	LIBERTY BANK FOR SAVINGS	CHICAGO	IL	5	850,165	1,276
867070	27664	SI	STERLING FEDERAL BANK, FEDERAL SAVINGS BANK	STERLING	IL	9	458,398	-619
771878	28924	SI	FIRST FEDERAL SAVINGS BANK	OTTAWA	IL	12	389,346	1,546
133971	29800	SI	LISLE SAVINGS BANK	LISLE	IL	2	528,581	1,935
221476	29786	SI	FIRST BANK & TRUST, S.B.	PARIS	IL	6	390,175	1,544
520777	28841	SI	COMMUNITY SAVINGS BANK	CHICAGO	IL	1	415,501	-562
483274	29809	SI	FIRST SAVINGS BANK OF HEGEWISCH	CHICAGO	IL	9	559,098	1,867
517674	30441	SI	FIRST FEDERAL BANK OF LOUISIANA	LAKE CHARLES	LA	16	760,213	1,081
255574	28316	SI	FIDELITY HOMESTEAD SAVINGS BANK	NEW ORLEANS	LA	17	856,787	207
837970	27697	SI	FIFTH DISTRICT SAVINGS BANK	NEW ORLEANS	LA	6	369,288	1,106
853804	90175	SI	BANK OF CANTON, THE	CANTON	MA	6	634,526	1,195
765505	90297	SI	WEBSTER FIVE CENTS SAVINGS BANK	WEBSTER	MA	7	551,977	1,724
771609	90196	SI	BAYCOAST BANK	FALL RIVER	MA	16	964,031	1,397
818401	90235	SI	MARLBOROUGH SAVINGS BANK	MARLBOROUGH	MA	6	456,749	1,437
711801	90291	SI	SAVINGS BANK, THE	WAKEFIELD	MA	8	450,580	1,046
527600	90259	SI	NORTH EASTON SAVINGS BANK	SOUTH EASTON	MA	9	478,997	697
627108	90203	SI	CAPE ANN SAVINGS BANK	GLOUCESTER	MA	3	419,494	1,161
635907	90208	SI	PENTUCKET BANK	HAVERHILL	MA	5	637,184	2,299
1002373	26455	SI	SAVERS CO-OPERATIVE BANK	SOUTHBRIDGE	MA	6	425,026	922
1004470	26523	SI	HOMETOWN BANK, A COOPERATIVE BANK	OXFORD	MA	7	330,351	1,585
899008	90308	SI	WINCHESTER SAVINGS BANK	WINCHESTER	MA	6	501,872	1,068
952172	26444	SI	EVERETT CO-OPERATIVE BANK	EVERETT	MA	1	332,990	1,854
954279	26559	SI	STONEHAMBANK	STONEHAM	MA	2	456,795	1,539
