List of Banks in Peer Group -- 102S Stock-owned insured savings banks having assets between $300 million and $1 billion

Reporting Period End Date	09/30/2009
Number of Banks in Peer Group	61

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
407506	18198	SI	NAUGATUCK SAVINGS BANK	NAUGATUCK	CT	14	798,514	1,347
967877	29952	SI	GEORGE WASHINGTON SAVINGS BANK	ORLAND PARK	IL	4	415,031	-12,389
568470	29523	SI	PEOPLES BANK SB	MUNSTER	IN	11	668,674	1,456
627407	23524	SI	SOUTHBRIDGE SAVINGS BANK	SOUTHBRIDGE	MA	10	441,367	-1,163
447100	90282	SI	SPENCER SAVINGS BANK	SPENCER	MA	5	377,355	-1,268
161273	26484	SI	NORTH SHORE BANK, A CO-OPERATIVE BANK	PEABODY	MA	8	460,454	1,302
66172	26646	SI	CENTRAL CO-OPERATIVE BANK	SOMERVILLE	MA	10	560,444	157
933377	26451	SI	FIDELITY CO-OPERATIVE BANK	FITCHBURG	MA	7	495,927	1,330
911405	23288	SI	RIVER BANK	NORTH ANDOVER	MA	7	778,242	3,636
859002	90188	SI	EASTHAMPTON SAVINGS BANK	EASTHAMPTON	MA	8	799,176	4,028
833404	23286	SI	FALL RIVER FIVE CENTS SAVINGS BANK	FALL RIVER	MA	13	703,795	798
180078	26396	SI	COMMUNITY BANK, A MASSACHUSETTS CO-OPERATIVE BANK, THE	BROCKTON	MA	7	387,709	-304
351207	90265	SI	LEGACY BANKS	PITTSFIELD	MA	17	930,290	-3,896
772008	90303	SI	SOUTH SHORE SAVINGS BANK	SOUTH WEYMOUTH	MA	15	951,715	3,427
794608	90179	SI	CHICOPEE SAVINGS BANK	CHICOPEE	MA	8	528,927	-1,301
332402	90270	SI	RANDOLPH SAVINGS BANK	RANDOLPH	MA	7	395,032	163
97804	90253	SI	HOOSAC BANK	NORTH ADAMS	MA	2	348,273	468
632607	90206	SI	GREENFIELD SAVINGS BANK	GREENFIELD	MA	6	610,991	2,148
699105	90169	SI	BRIDGEWATER SAVINGS BANK	RAYNHAM	MA	8	398,150	1,480
289702	17658	SI	NORWAY SAVINGS BANK	NORWAY	ME	21	916,652	3,992
