List of Banks in Peer Group -- 103 Insured savings banks having assets between $100 million and $300 million

Reporting Period End Date	09/30/2024
Number of Banks in Peer Group	130

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
814074	31127	SI	FIRST FEDERAL BANK, A FSB	TUSCALOOSA	AL	3	176,119	-238
2059990	33818	SI	PRIORITY BANK	FAYETTEVILLE	AR	3	113,902	1,766
229070	31406	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF SAN RAFAEL	SAN RAFAEL	CA	5	228,396	-383
2921659	35164	SI	CAPITAL BANK AND TRUST COMPANY	IRVINE	CA	1	178,748	61,953
1493319	33103	SI	GATEWAY BANK, F.S.B.	OAKLAND	CA	1	227,419	-2,521
705378	29066	SI	DEL NORTE BANK, A SAVINGS AND LOAN ASSOCIATION	DEL NORTE	CO	2	140,141	844
256076	28315	SI	RG BANK, A SAVINGS AND LOAN ASSOCIATION	MONTE VISTA	CO	3	134,047	149
206473	30707	SI	EQUITABLE SAVINGS AND LOAN ASSOCIATION	STERLING	CO	10	155,659	-56
388874	30388	SI	GUNNISON SAVINGS AND LOAN ASSOCIATION	GUNNISON	CO	1	104,182	-185
221775	31823	SI	INTERAMERICAN BANK, A FEDERAL SAVINGS BANK	MIAMI	FL	5	264,514	1,565
1163283	27153	SI	CITIZENS BANK AND TRUST, INC.	TRENTON	GA	3	125,212	1,453
126375	29772	SI	VIDALIA FEDERAL SAVINGS BANK	VIDALIA	GA	2	217,945	-1,810
156970	29357	SI	FAMILY BANK	PELHAM	GA	3	147,757	1,259
828174	29164	SI	FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF VALDOSTA	VALDOSTA	GA	3	227,280	1,222
658474	28103	SI	COLLINSVILLE BUILDING AND LOAN ASSOCIATION	COLLINSVILLE	IL	1	122,721	46
615879	27910	SI	CENTRAL SAVINGS, F.S.B.	CHICAGO	IL	4	110,618	494
441078	30819	SI	COMMUNITY PARTNERS SAVINGS BANK	SALEM	IL	3	249,722	229
656779	27767	SI	UNION FEDERAL SAVINGS AND LOAN ASSOCIATION	KEWANEE	IL	7	151,422	117
2949970	35393	SI	UNITED TRUST BANK	PALOS HEIGHTS	IL	1	154,015	542
305077	29384	SI	PERU FEDERAL SAVINGS BANK	PERU	IL	2	196,683	848
467470	28425	SI	CENTRAL FEDERAL SAVINGS AND LOAN ASSOCIATION	CICERO	IL	3	199,448	4
775773	27683	SI	NORTH SHORE TRUST AND SAVINGS	WAUKEGAN	IL	3	264,701	63
324975	29535	SI	DEWITT SAVINGS BANK	CLINTON	IL	2	142,601	-14
346771	28445	SI	FIRST FEDERAL SAVINGS BANK OF CHAMPAIGN-URBANA	CHAMPAIGN	IL	2	195,120	2,920
142179	30357	SI	STREATOR HOME SAVINGS BANK	STREATOR	IL	1	164,255	-86
820477	29980	SI	MIDLAND FEDERAL SAVINGS AND LOAN ASSOCIATION	BRIDGEVIEW	IL	4	115,208	-1,194
817477	29121	SI	UNION SAVINGS BANK	FREEPORT	IL	5	182,230	-85
708379	28925	SI	SECURITY SAVINGS BANK	MONMOUTH	IL	2	248,141	981
399973	29645	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF CENTRAL ILLINOIS, S.B.	SHELBYVILLE	IL	3	205,715	1,819
