List of Banks in Peer Group -- 103M Mutually-owned insured savings banks having assets between $100 million and $300 million

Reporting Period End Date	09/30/2005
Number of Banks in Peer Group	77

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
542667	19525	SI	MT. MCKINLEY BANK	FAIRBANKS	AK	4	221,982	2,233
545604	18229	SI	NORTHWEST COMMUNITY BANK	WINSTED	CT	7	277,565	946
820301	18237	SI	JEWETT CITY SAVINGS BANK	JEWETT CITY	CT	3	216,761	1,436
822408	18209	SI	LITCHFIELD BANCORP	LITCHFIELD	CT	5	176,065	642
113003	18227	SI	STAFFORD SAVINGS BANK	STAFFORD SPRINGS	CT	3	188,464	1,462
961400	17262	SI	ESSEX SAVINGS BANK	ESSEX	CT	4	222,269	1,553
218878	27723	SI	SECURITY BANK, S.B.	SPRINGFIELD	IL	4	177,817	-43
221476	29786	SI	FIRST BANK & TRUST, S.B.	PARIS	IL	4	229,066	1,082
536479	30600	SI	LINCOLN PARK SAVINGS BANK	CHICAGO	IL	4	256,676	683
825977	28243	SI	WAUKEGAN SAVINGS AND LOAN, S.B.	WAUKEGAN	IL	3	125,944	-659
899370	28938	SI	HARVARD SAVINGS BANK	HARVARD	IL	2	112,440	514
708379	28925	SI	SECURITY SAVINGS BANK	MONMOUTH	IL	2	127,065	453
790271	29227	SI	WASHINGTON SAVINGS BANK	EFFINGHAM	IL	1	180,547	951
649874	28068	SI	ROYAL SAVINGS BANK	CHICAGO	IL	3	116,891	-117
697147	17736	SI	TERRE HAUTE SAVINGS BANK	TERRE HAUTE	IN	3	185,503	523
577472	28807	SI	WEST END BANK, S. B.	RICHMOND	IN	4	144,735	565
841472	27742	SI	MUTUAL SAVINGS BANK	FRANKLIN	IN	5	121,919	297
155245	9538	SI	LA PORTE SAVINGS BANK, THE	LA PORTE	IN	4	261,691	589
1014376	30270	SI	CITIZENS SAVINGS BANK	BOGALUSA	LA	7	149,242	617
963002	90311	SI	BAY STATE SAVINGS BANK	WORCESTER	MA	7	263,265	1,090
949305	21920	SI	MILLBURY SAVINGS BANK	MILLBURY	MA	2	163,487	954
951102	90245	SI	MONSON SAVINGS BANK	MONSON	MA	3	174,005	970
127701	90148	SI	BARRE SAVINGS BANK	BARRE	MA	3	122,744	158
182401	90187	SI	EAST BRIDGEWATER SAVINGS BANK	EAST BRIDGEWATER	MA	3	117,226	228
196800	90190	SI	DUKES COUNTY SAVINGS BANK	EDGARTOWN	MA	6	261,882	1,669
447100	90282	SI	SPENCER SAVINGS BANK	SPENCER	MA	5	275,366	1,622
343903	90140	SI	SOUTH ADAMS SAVINGS BANK	ADAMS	MA	3	188,796	695
408307	90146	SI	ATHOL SAVINGS BANK	ATHOL	MA	8	261,917	1,225
418100	90268	SI	SEAMENS BANK	PROVINCETOWN	MA	5	246,271	1,239
528102	90258	SI	NORTH BROOKFIELD SAVINGS BANK	NORTH BROOKFIELD	MA	4	157,435	1,132
818401	90235	SI	MARLBOROUGH SAVINGS BANK	MARLBOROUGH	MA	5	266,994	1,401
774105	23299	SI	WILLIAMSTOWN SAVINGS BANK	WILLIAMSTOWN	MA	1	220,015	644
704906	90299	SI	WESTBOROUGH BANK, THE	WESTBOROUGH	MA	5	278,706	686
654300	90229	SI	WASHINGTON SAVINGS BANK	LOWELL	MA	3	152,270	345
523974	32327	SI	SAINT CASIMIRS SAVINGS BANK	BALTIMORE	MD	4	115,733	702
499501	17741	SI	BIDDEFORD SAVINGS BANK	BIDDEFORD	ME	3	231,548	712
548203	17476	SI	MECHANICS' SAVINGS BANK	AUBURN	ME	4	231,219	1,436
472979	28471	SI	ROXBORO SAVINGS BANK, SSB	ROXBORO	NC	2	146,080	1,279
491402	17951	SI	FRANKLIN SAVINGS BANK	FRANKLIN	NH	7	269,596	1,029
92706	18028	SI	SUGAR RIVER SAVINGS BANK	NEWPORT	NH	5	197,431	1,590
47500	18038	SI	CLAREMONT SAVINGS BANK	CLAREMONT	NH	5	275,545	2,213
591209	17443	SI	PISCATAQUA SAVINGS BANK	PORTSMOUTH	NH	1	171,297	985
598002	18030	SI	SAVINGS BANK OF WALPOLE	WALPOLE	NH	3	225,567	787
657178	30072	SI	SCHUYLER SAVINGS BANK	KEARNY	NJ	1	120,088	301
564678	28708	SI	GSL SAVINGS BANK	GUTTENBERG	NJ	3	108,813	365
820178	28191	SI	AUDUBON SAVINGS BANK	AUDUBON	NJ	3	156,106	669
927479	29941	SI	BOGOTA SAVINGS BANK	BOGOTA	NJ	2	222,868	1,716
147679	28729	SI	GLEN ROCK SAVINGS BANK	GLEN ROCK	NJ	3	110,390	219
1008076	28222	SI	HADDON SAVINGS BANK	HADDON HEIGHTS	NJ	2	258,683	771
166111	16030	SI	NORTH COUNTRY SAVINGS BANK, THE	CANTON	NY	4	224,792	732
191805	23047	SI	COMMUNITY MUTUAL SAVINGS BANK	MOUNT VERNON	NY	5	114,770	1,201
298218	15990	SI	WATERTOWN SAVINGS BANK	WATERTOWN	NY	5	288,359	1,789
341310	15987	SI	WALDEN SAVINGS BANK	WALDEN	NY	9	229,831	1,360
425108	15969	SI	RONDOUT SAVINGS BANK	KINGSTON	NY	4	188,006	879
605610	16039	SI	SAWYER SAVINGS BANK	SAUGERTIES	NY	3	150,462	767
72678	28348	SI	BELMONT SAVINGS BANK	BELLAIRE	OH	4	265,922	1,468
87476	31539	SI	WILMINGTON SAVINGS BANK, THE	WILMINGTON	OH	1	167,541	1,979
45775	28908	SI	IRON WORKERS SAVINGS BANK	ASTON	PA	3	128,578	518
206174	28701	SI	AMBLER SAVINGS BANK	AMBLER	PA	3	208,896	637
357777	30637	SI	GREENVILLE SAVINGS BANK	GREENVILLE	PA	2	139,460	720
459372	28836	SI	UNITED SAVINGS BANK	PHILADELPHIA	PA	5	230,468	863
660570	30085	SI	COATESVILLE SAVINGS BANK	COATESVILLE	PA	4	250,586	454
678070	30154	SI	SEWICKLEY SAVINGS BANK	SEWICKLEY	PA	3	254,121	2,237
582177	30464	SI	HUNTINGDON VALLEY BANK	HUNTINGDON VALLEY	PA	5	168,633	275
904171	27763	SI	INDIANA FIRST SAVINGS BANK	INDIANA	PA	4	171,622	403
854173	30121	SI	INVESTMENT SAVINGS BANK	ALTOONA	PA	2	102,632	355
805876	30119	SI	C&G SAVINGS BANK	ALTOONA	PA	6	115,595	394
777870	27711	SI	ALTOONA FIRST SAVINGS BANK	ALTOONA	PA	6	164,031	641
743679	30117	SI	RELIANCE SAVINGS BANK	ALTOONA	PA	8	280,647	739
539872	28515	SI	CUERO STATE BANK, S.S.B.	CUERO	TX	4	177,987	870
279	28868	SI	MINEOLA COMMUNITY BANK, SSB	MINEOLA	TX	4	124,581	699
303701	14136	SI	WELLS RIVER SAVINGS BANK	WELLS RIVER	VT	3	112,020	973
1018927	57633	SI	1ST SECURITY BANK OF WASHINGTON	MOUNTLAKE TERRACE	WA	13	253,833	1,596
313577	28530	SI	MARSHFIELD SAVINGS BANK	MARSHFIELD	WI	2	159,209	1,098
315674	28531	SI	HARTFORD SAVINGS BANK	HARTFORD	WI	3	216,605	951
255873	30248	SI	HOME SAVINGS BANK	MADISON	WI	5	133,396	376
596978	29745	SI	MARATHON SAVINGS BANK	WAUSAU	WI	4	144,191	808
