List of Banks in Peer Group -- 103S Stock-owned insured savings banks having assets between $100 million and $300 million

Reporting Period End Date	09/30/2007
Number of Banks in Peer Group	32

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
890603	18223	SI	COLLINSVILLE SAVINGS SOCIETY	COLLINSVILLE	CT	2	140,299	549
2140348	55130	SI	ALLIED FIRST BANK, SB	OSWEGO	IL	1	157,718	63
446877	30864	SI	MCHENRY SAVINGS BANK	MCHENRY	IL	5	279,738	154
817477	29121	SI	UNION SAVINGS BANK	FREEPORT	IL	5	153,336	154
687474	28211	SI	JACKSONVILLE SAVINGS BANK	JACKSONVILLE	IL	4	275,881	515
253440	17524	SI	CAPAHA BANK SB	TAMMS	IL	6	167,245	811
1006577	26467	SI	LOWELL CO-OPERATIVE BANK	LOWELL	MA	2	119,311	-859
61476	26590	SI	PILGRIM BANK	COHASSET	MA	2	131,486	213
551904	23345	SI	SOUTH COASTAL BANK	ROCKLAND	MA	4	206,373	-1,308
790703	33645	SI	LEE BANK	LEE	MA	3	282,568	1,450
1006670	29873	SI	MOORESVILLE SAVINGS BANK, INC., SSB	MOORESVILLE	NC	3	151,345	280
2744782	34934	SI	LITTLE BANK, SSB, THE	KINSTON	NC	5	249,540	1,786
55176	30668	SI	HOME SAVINGS BANK OF ALBEMARLE, INC., SSB	ALBEMARLE	NC	3	278,455	586
392778	30428	SI	CENTURY SAVINGS BANK	VINELAND	NJ	6	238,777	711
849777	30099	SI	METUCHEN SAVINGS BANK	METUCHEN	NJ	2	274,344	242
793571	30022	SI	MILLINGTON SAVINGS BANK	MILLINGTON	NJ	4	284,152	1,140
468673	29695	SI	HOME LOAN SAVINGS BANK, THE	COSHOCTON	OH	4	157,254	588
940674	30219	SI	HOME SAVINGS BANK	KENT	OH	3	101,786	307
943675	29011	SI	MECHANICS SAVINGS BANK, THE	MANSFIELD	OH	5	300,427	2,213
2781152	34977	SI	ARLINGTON BANK, THE	UPPER ARLINGTON	OH	3	188,315	919
865674	28179	SI	NORTH AKRON SAVINGS BANK	AKRON	OH	5	171,686	-117
609373	30693	SI	VALLEY SAVINGS BANK	CUYAHOGA FALLS	OH	3	113,582	-29
164377	28793	SI	SHARON SAVINGS BANK	DARBY	PA	5	175,064	249
827971	31188	SI	NORTH PENN BANK	SCRANTON	PA	5	117,906	309
552974	32135	SI	SHELBY SAVINGS BANK, SSB	CENTER	TX	3	170,753	2,290
623454	1184	SI	BANK AND TRUST, S.S.B. THE	DEL RIO	TX	5	275,025	2,817
105053	1176	SI	FIRST STAR BANK, S.S.B.	BREMOND	TX	4	120,614	1,174
2678449	34669	SI	SYNERGY BANK, S.S.B.	WACO	TX	4	105,957	248
171768	12299	SI	LONE STAR BANK, S.S.B.	MOULTON	TX	4	122,855	1,158
766164	23498	SI	EQUITY BANK, SSB	DALLAS	TX	1	184,366	95
2643595	34585	SI	PACIFIC CREST SAVINGS BANK	LYNNWOOD	WA	1	144,659	1,612
2756767	35043	SI	SUNSET BANK & SAVINGS	WAUKESHA	WI	3	140,805	292
