List of Banks in Peer Group -- 104 Insured savings banks having assets less than $100 million

Reporting Period End Date	12/31/2008
Number of Banks in Peer Group	91

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
441078	30819	SI	MARION COUNTY SAVINGS BANK	SALEM	IL	1	93,825	640
482370	30656	SI	NORTH COUNTY SAVINGS BANK	RED BUD	IL	2	30,693	76
490179	28611	SI	PULASKI SAVINGS BANK	CHICAGO	IL	1	42,132	-16
587574	31813	SI	ARCOLA HOMESTEAD SAVINGS BANK	ARCOLA	IL	1	10,531	-286
593977	30568	SI	SOUTH END SAVINGS, SB	HOMEWOOD	IL	1	32,844	66
627377	28723	SI	FIRST SAVINGS BANK	DANVILLE	IL	1	36,187	203
776275	27685	SI	FLORA SAVINGS BANK	FLORA	IL	1	26,850	9
873679	31004	SI	TWIN OAKS SAVINGS BANK	MARSEILLES	IL	2	64,712	282
2797153	34856	SI	LINCOLN STATE BANK, S.B.	ROCHELLE	IL	1	42,309	115
857576	28151	SI	WEST TOWN SAVINGS BANK	CICERO	IL	2	58,022	-571
835378	30043	SI	BEARDSTOWN SAVINGS, S.B.	BEARDSTOWN	IL	2	48,543	-215
365875	30713	SI	AMERICAN UNION SAVINGS AND LOAN ASSOCIATION, S.B.	CHICAGO	IL	1	7,453	-11
343770	29677	SI	NASHVILLE SAVINGS BANK	NASHVILLE	IL	1	31,737	217
341972	31369	SI	TREMONT SAVINGS BANK	TREMONT	IL	2	43,898	-85
324975	29535	SI	DEWITT SAVINGS BANK	CLINTON	IL	2	78,308	332
322476	30618	SI	WABASH SAVINGS BANK	MOUNT CARMEL	IL	1	11,094	-30
254670	29416	SI	COLUMBUS SAVINGS BANK	CHICAGO	IL	1	23,261	120
253776	30241	SI	FIRST SAVANNA SAVINGS BANK	SAVANNA	IL	1	11,464	-16
285777	29532	SI	NOKOMIS SAVINGS BANK	NOKOMIS	IL	1	27,596	53
142571	29831	SI	HIBERNIA HOMESTEAD BANK	NEW ORLEANS	LA	1	50,481	-466
114774	30332	SI	ABBEVILLE BUILDING AND LOAN, A STATE CHARTERED SAVINGS BANK	ABBEVILLE	LA	1	30,734	216
875909	90240	SI	MERRIMAC SAVINGS BANK	MERRIMAC	MA	2	57,062	-394
3437166	58133	SI	PATRIOT COMMUNITY BANK	WOBURN	MA	1	56,378	-223
198103	90273	SI	GRANITE SAVINGS BANK	ROCKPORT	MA	1	59,307	145
57572	26594	SI	FAMILYFIRST BANK	WARE	MA	3	60,969	-209
59679	26583	SI	ECONOMY CO-OPERATIVE BANK	MERRIMAC	MA	1	23,767	41
379470	26450	SI	CANTON CO-OPERATIVE BANK	CANTON	MA	1	84,470	259
931270	26567	SI	NORTH CAMBRIDGE CO-OPERATIVE BANK	CAMBRIDGE	MA	1	87,852	163
1006577	26467	SI	LOWELL CO-OPERATIVE BANK	LOWELL	MA	2	97,446	-3,857
948278	26576	SI	WRENTHAM CO-OPERATIVE BANK	WRENTHAM	MA	2	93,913	504
164975	26513	SI	STOUGHTON CO-OPERATIVE BANK	STOUGHTON	MA	2	95,546	236
157379	26512	SI	METHUEN CO-OPERATIVE BANK	METHUEN	MA	1	71,655	50
152673	27293	SI	ATHOL-CLINTON CO-OPERATIVE BANK	ATHOL	MA	2	95,999	130
272870	26715	SI	MEETINGHOUSE BANK	DORCHESTER	MA	1	55,183	35
269478	26453	SI	EQUITABLE CO-OPERATIVE BANK	LYNN	MA	2	96,827	-1,912
266879	26556	SI	COLONIAL CO-OPERATIVE BANK	GARDNER	MA	3	72,506	99
508270	27567	SI	GLEN BURNIE MUTUAL SAVINGS BANK	GLEN BURNIE	MD	1	64,832	81
360777	31266	SI	JACKSON SAVINGS BANK, SSB	SYLVA	NC	2	30,656	182
563774	29485	SI	ROANOKE VALLEY SAVINGS BANK, SSB	ROANOKE RAPIDS	NC	1	44,606	1
971379	31345	SI	HERTFORD SAVINGS BANK, SSB	HERTFORD	NC	1	15,604	-82
444677	27897	SI	BLACK MOUNTAIN SAVINGS BANK, SSB	BLACK MOUNTAIN	NC	1	32,314	98
800479	29061	SI	TARBORO SAVINGS BANK, SSB	TARBORO	NC	1	26,571	30
247476	28314	SI	ROANOKE RAPIDS SAVINGS BANK, SSB	ROANOKE RAPIDS	NC	1	51,449	-12
258379	32348	SI	TAYLORSVILLE SAVINGS BANK, SSB	TAYLORSVILLE	NC	3	84,300	-404
564678	28708	SI	GSL SAVINGS BANK	GUTTENBERG	NJ	1	90,481	184
644776	29170	SI	UNITED ROOSEVELT SAVINGS BANK	CARTERET	NJ	1	88,409	160
643274	27847	SI	PIONEER SAVINGS BANK, THE	CLEVELAND	OH	1	23,419	40
666273	27808	SI	BRAMBLE SAVINGS BANK	MILFORD	OH	2	53,145	-1,306
320070	28555	SI	VALLEY CENTRAL SAVINGS BANK	READING	OH	1	80,960	625
995674	29858	SI	STRASBURG SAVINGS	STRASBURG	OH	1	40,499	500
3444566	58022	SI	FIRST BEXLEY BANK	BEXLEY	OH	1	72,965	-311
840578	28085	SI	NELSONVILLE HOME & SAVINGS	NELSONVILLE	OH	1	15,961	24
819172	29975	SI	PEOPLES SAVINGS BANK, THE	URBANA	OH	2	83,502	154
3017737	57089	SI	COTTAGE SAVINGS BANK	CINCINNATI	OH	1	39,715	-10
28572	32284	SI	COLUMBIA SAVINGS BANK, THE	CINCINNATI	OH	1	63,928	-166
493077	30744	SI	BELPRE SAVINGS BANK	BELPRE	OH	2	48,240	148
97279	32292	SI	WOODSFIELD SAVINGS BANK	WOODSFIELD	OH	1	32,882	120
203575	28677	SI	CONNEAUT SAVINGS BANK, THE	CONNEAUT	OH	3	76,732	374
404774	28416	SI	KEYSTONE STATE SAVINGS BANK	SHARPSBURG	PA	1	25,768	-97
19972	34711	SI	FARMERS BUILDING AND SAVINGS BANK	ROCHESTER	PA	1	55,174	408
18377	34440	SI	BALLY SAVINGS BANK	BALLY	PA	1	27,421	80
885579	33802	SI	TIOGA-FRANKLIN SAVINGS BANK	PHILADELPHIA	PA	1	23,013	95
815277	35497	SI	QUAINT OAK BANK	SOUTHAMPTON	PA	1	75,026	462
725376	29967	SI	UNION BUILDING AND LOAN SAVINGS BANK	WEST BRIDGEWATER	PA	1	39,026	134
1225798	27385	SI	PORT RICHMOND SAVINGS	PHILADELPHIA	PA	1	53,961	478
476276	34130	SI	PUBLIC SAVINGS BANK	HUNTINGDON VALLEY	PA	1	43,994	-181
373272	29430	SI	COMPASS SAVINGS BANK	WILMERDING	PA	1	48,470	-501
646471	30031	SI	HUNTINGDON SAVINGS BANK	HUNTINGDON	PA	1	12,492	47
821278	57125	SI	CHELTEN HILLS SAVINGS BANK	ABINGTON	PA	1	29,143	2
572776	28770	SI	CROYDON SAVINGS BANK	CROYDON	PA	1	12,256	73
277277	30431	SI	SLOVAK SAVINGS BANK	PITTSBURGH	PA	1	47,353	118
218775	27033	SI	UNITED-AMERICAN SAVINGS BANK, THE	PITTSBURGH	PA	2	55,039	-105
416272	30619	SI	ABBEVILLE SAVINGS AND LOAN, SSB	ABBEVILLE	SC	1	92,067	212
3347911	58082	SI	LIBERTAD BANK, SSB	AUSTIN	TX	1	40,602	-1,241
14977	30291	SI	FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB	LITTLEFIELD	TX	2	45,175	183
3634433	58710	SI	FOUNDERS BANK, SSB	SUGAR LAND	TX	1	49,207	-1,641
3630323	58716	SI	THIRD COAST BANK, SSB	HUMBLE	TX	2	38,911	-1,847
3599578	58342	SI	OASIS BANK, SSB	HOUSTON	TX	2	22,761	-2,195
3597677	58560	SI	PROVIDENCE BANK OF TEXAS, SSB	SOUTHLAKE	TX	1	37,905	-1,025
3595637	58577	SI	PIONEER BANK, SSB	DRIPPING SPRINGS	TX	1	43,773	-667
675079	31936	SI	FAYETTE SAVINGS BANK, SSB	LA GRANGE	TX	4	66,976	427
959779	30951	SI	TEXAS SAVINGS BANK, STATE SAVINGS BANK	SNYDER	TX	2	86,645	1,230
935858	26424	SI	COLORADO VALLEY BANK SSB	LA GRANGE	TX	2	31,529	-83
822556	20099	SI	TEXAS EXCHANGE BANK, SSB	CROWLEY	TX	1	36,873	-2,786
821652	16218	SI	TEXAS STAR BANK, SSB	LOTT	TX	2	56,655	363
260868	22327	SI	SPIRIT OF TEXAS BANK, SSB	COLLEGE STATION	TX	2	43,434	-273
575375	28790	SI	SUPERIOR SAVINGS BANK	SUPERIOR	WI	3	65,879	67
465672	30516	SI	TOMAHAWK COMMUNITY BANK S.S.B.	TOMAHAWK	WI	1	82,787	534
411576	30585	SI	MAYVILLE SAVINGS BANK	MAYVILLE	WI	1	42,062	30
208972	29691	SI	KEYSAVINGS BANK	WISCONSIN RAPIDS	WI	2	76,224	-288
276775	30426	SI	MILTON SAVINGS BANK	MILTON	WI	1	17,526	-178
