List of Banks in Peer Group -- 104M Mutually-owned insured savings banks having assets less than $100 million

Reporting Period End Date	12/31/2008
Number of Banks in Peer Group	61

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
253776	30241	SI	FIRST SAVANNA SAVINGS BANK	SAVANNA	IL	1	11,464	-16
254670	29416	SI	COLUMBUS SAVINGS BANK	CHICAGO	IL	1	23,261	120
322476	30618	SI	WABASH SAVINGS BANK	MOUNT CARMEL	IL	1	11,094	-30
324975	29535	SI	DEWITT SAVINGS BANK	CLINTON	IL	2	78,308	332
343770	29677	SI	NASHVILLE SAVINGS BANK	NASHVILLE	IL	1	31,737	217
365875	30713	SI	AMERICAN UNION SAVINGS AND LOAN ASSOCIATION, S.B.	CHICAGO	IL	1	7,453	-11
285777	29532	SI	NOKOMIS SAVINGS BANK	NOKOMIS	IL	1	27,596	53
441078	30819	SI	MARION COUNTY SAVINGS BANK	SALEM	IL	1	93,825	640
482370	30656	SI	NORTH COUNTY SAVINGS BANK	RED BUD	IL	2	30,693	76
490179	28611	SI	PULASKI SAVINGS BANK	CHICAGO	IL	1	42,132	-16
593977	30568	SI	SOUTH END SAVINGS, SB	HOMEWOOD	IL	1	32,844	66
627377	28723	SI	FIRST SAVINGS BANK	DANVILLE	IL	1	36,187	203
776275	27685	SI	FLORA SAVINGS BANK	FLORA	IL	1	26,850	9
835378	30043	SI	BEARDSTOWN SAVINGS, S.B.	BEARDSTOWN	IL	2	48,543	-215
873679	31004	SI	TWIN OAKS SAVINGS BANK	MARSEILLES	IL	2	64,712	282
114774	30332	SI	ABBEVILLE BUILDING AND LOAN, A STATE CHARTERED SAVINGS BANK	ABBEVILLE	LA	1	30,734	216
142571	29831	SI	HIBERNIA HOMESTEAD BANK	NEW ORLEANS	LA	1	50,481	-466
157379	26512	SI	METHUEN CO-OPERATIVE BANK	METHUEN	MA	1	71,655	50
164975	26513	SI	STOUGHTON CO-OPERATIVE BANK	STOUGHTON	MA	2	95,546	236
198103	90273	SI	GRANITE SAVINGS BANK	ROCKPORT	MA	1	59,307	145
57572	26594	SI	FAMILYFIRST BANK	WARE	MA	3	60,969	-209
266879	26556	SI	COLONIAL CO-OPERATIVE BANK	GARDNER	MA	3	72,506	99
269478	26453	SI	EQUITABLE CO-OPERATIVE BANK	LYNN	MA	2	96,827	-1,912
272870	26715	SI	MEETINGHOUSE BANK	DORCHESTER	MA	1	55,183	35
875909	90240	SI	MERRIMAC SAVINGS BANK	MERRIMAC	MA	2	57,062	-394
931270	26567	SI	NORTH CAMBRIDGE CO-OPERATIVE BANK	CAMBRIDGE	MA	1	87,852	163
948278	26576	SI	WRENTHAM CO-OPERATIVE BANK	WRENTHAM	MA	2	93,913	504
508270	27567	SI	GLEN BURNIE MUTUAL SAVINGS BANK	GLEN BURNIE	MD	1	64,832	81
563774	29485	SI	ROANOKE VALLEY SAVINGS BANK, SSB	ROANOKE RAPIDS	NC	1	44,606	1
