List of Banks in Peer Group -- 104S Stock-owned insured savings banks having assets less than $100 million

Reporting Period End Date	12/31/2005
Number of Banks in Peer Group	27

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
341972	31369	SI	TREMONT SAVINGS BANK	TREMONT	IL	2	40,515	332
587574	31813	SI	ARCOLA HOMESTEAD SAVINGS BANK	ARCOLA	IL	1	4,906	-213
857576	28151	SI	WEST TOWN SAVINGS BANK	CICERO	IL	2	54,849	316
2797153	34856	SI	LINCOLN STATE BANK, S.B.	ROCHELLE	IL	1	41,201	262
855778	30118	SI	MUTUAL COMMUNITY SAVINGS BANK INC, SSB	DURHAM	NC	3	91,533	-383
802174	30079	SI	ANSON BANK & TRUST CO.	WADESBORO	NC	1	37,175	119
377506	18037	SI	SIWOOGANOCK BANK	LANCASTER	NH	3	80,796	552
644776	29170	SI	UNITED ROOSEVELT SAVINGS BANK	CARTERET	NJ	1	100,996	483
940674	30219	SI	HOME SAVINGS BANK	KENT	OH	3	94,429	335
262273	30281	SI	PERPETUAL SAVINGS BANK	WELLSVILLE	OH	4	70,829	465
840578	28085	SI	NELSONVILLE HOME & SAVINGS	NELSONVILLE	OH	1	16,659	107
385976	28749	SI	INDIAN VILLAGE COMMUNITY BANK	GNADENHUTTEN	OH	3	97,184	-47
643274	27847	SI	PIONEER SAVINGS BANK, THE	CLEVELAND	OH	1	23,128	153
28572	32284	SI	COLUMBIA SAVINGS BANK, THE	CINCINNATI	OH	1	69,726	366
97279	32292	SI	WOODSFIELD SAVINGS BANK	WOODSFIELD	OH	1	32,899	235
3017737	57089	SI	COTTAGE SAVINGS BANK	MONTGOMERY	OH	1	33,902	803
3269974	57550	SI	EMERALD BANK	DUBLIN	OH	1	14,839	-782
3369007	57949	SI	BENCHMARK BANK	GAHANNA	OH	1	16,943	-699
995674	29858	SI	STRASBURG SAVINGS	STRASBURG	OH	1	40,585	754
476276	34130	SI	PUBLIC SAVINGS BANK	WILLOW GROVE	PA	1	26,578	138
105053	1176	SI	FIRST STATE BANK-BREMOND, SSB	BREMOND	TX	4	90,254	1,039
959779	30951	SI	TEXAS SAVINGS BANK, STATE SAVINGS BANK	SNYDER	TX	1	49,317	1,069
675079	31936	SI	FAYETTE SAVINGS BANK, SSB	LA GRANGE	TX	4	58,979	550
791072	31043	SI	INTERSTATE BANK, SSB	PERRYTON	TX	2	79,150	1,664
821652	16218	SI	TEXAS STAR BANK, SSB	LOTT	TX	2	37,441	308
2678449	34669	SI	SYNERGY BANK, SSB	WACO	TX	2	83,959	635
2848493	35322	SI	CAPITAL SAVINGS BANK, S.S.B.	EL PASO	TX	1	50,871	775
