List of Banks in Peer Group -- 13 Insured commercial banks having assets between $50 million and $100 million, with 2 or fewer full service banking offices and not located in a metropolitan statistical area

Reporting Period End Date	12/31/2023
Number of Banks in Peer Group	248

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
42037	70	NM	PEOPLES EXCHANGE BANK	MONROEVILLE	AL	1	97,237	619
351131	5605	NM	BANK OF BREWTON	BREWTON	AL	2	51,425	-62
496434	2794	NM	DOZIER BANK	DOZIER	AL	1	52,451	230
560438	49	NM	BANK OF EVERGREEN	EVERGREEN	AL	1	73,377	351
1474309	32968	NM	COMMUNITY BANK & TRUST-ALABAMA	UNION SPRINGS	AL	1	52,824	40
3254297	57640	NM	BANK OF WALKER COUNTY	JASPER	AL	2	91,635	986
977045	93	NM	RIVERSIDE BANK	SPARKMAN	AR	2	61,651	905
741648	16395	NM	SECURITY BANK	STEPHENS	AR	1	65,945	822
476445	15547	SM	BANK OF LAKE VILLAGE	LAKE VILLAGE	AR	2	87,771	1,886
311144	16282	NM	BANK OF BEARDEN	BEARDEN	AR	1	75,151	1,816
399357	11261	NM	MCCLAVE STATE BANK	MC CLAVE	CO	1	58,137	1,087
587752	3047	N	FIRST COLORADO NATIONAL BANK	PAONIA	CO	2	81,067	524
89135	18136	N	FIRST NATIONAL BANK OF WAUCHULA	WAUCHULA	FL	1	88,133	801
102333	10074	NM	APEX BANKING COMPANY OF GEORGIA	IRWINTON	GA	1	51,386	-361
7634	15904	NM	FOUR COUNTY BANK, THE	ALLENTOWN	GA	1	88,048	1,601
37	10057	NM	BANK OF HANCOCK COUNTY	SPARTA	GA	1	77,715	565
140634	2157	NM	FIRST STATE BANK OF RANDOLPH COUNTY	CUTHBERT	GA	2	88,057	316
176437	5699	NM	BANK OF WRIGHTSVILLE	WRIGHTSVILLE	GA	1	80,433	1,466
598132	19680	NM	SECURITY STATE BANK, THE	MCRAE-HELENA	GA	1	57,780	1,166
610539	5686	NM	BANK OF EDISON, THE	EDISON	GA	1	73,122	609
649632	16609	NM	ROCHELLE STATE BANK	ROCHELLE	GA	1	57,709	-2,250
618647	4457	SM	FIRST HERITAGE BANK	SHENANDOAH	IA	2	62,043	400
746942	8499	NM	UNION STATE BANK	GREENFIELD	IA	2	92,775	571
700140	1860	NM	MONTEZUMA STATE BANK	MONTEZUMA	IA	1	54,403	985
818540	4477	N	FIRST NATIONAL BANK OF MANNING, THE	MANNING	IA	1	83,312	114
821643	11343	NM	ASHTON STATE BANK	ASHTON	IA	1	53,386	801
856542	5792	NM	BREDA SAVINGS BANK	BREDA	IA	1	93,053	1,036
943143	251	NM	FIRST SECURITY BANK	MAPLETON	IA	2	72,098	341
944748	8503	NM	FARMERS STATE BANK	MARCUS	IA	1	77,271	525
3285246	57910	NM	FIRST STATE BANK	NASHUA	IA	1	61,386	771
595944	11352	NM	SANBORN SAVINGS BANK	SANBORN	IA	1	82,489	1,423
550448	13715	NM	STATE BANK, THE	SPIRIT LAKE	IA	2	83,839	439
472045	966	NM	HOME STATE BANK	ROYAL	IA	1	57,553	668
404943	12417	NM	TRI-VALLEY BANK	RANDOLPH	IA	2	79,957	487
286840	8513	NM	STATE SAVINGS BANK	RAKE	IA	1	79,588	1,226
316934	12121	NM	BUCKLEY STATE BANK	BUCKLEY	IL	1	55,989	656
321330	11324	NM	FARMERS AND MERCHANTS STATE BANK OF BUSHNELL	BUSHNELL	IL	2	89,927	1,129
333940	3826	N	FIRST NATIONAL BANK OF OKAWVILLE, THE	OKAWVILLE	IL	1	72,948	271
371849	11715	NM	BANK OF YATES CITY	YATES CITY	IL	2	84,939	562
474245	9273	NM	VILLA GROVE STATE BANK	VILLA GROVE	IL	1	85,699	1,019
411240	3827	N	OLD EXCHANGE NATIONAL BANK OF OKAWVILLE, THE	OKAWVILLE	IL	1	80,821	651
413347	10437	NM	FIRST STATE BANK OF OLMSTED	OLMSTED	IL	2	69,147	481
419947	9274	NM	HILL-DODGE BANKING COMPANY, THE	WARSAW	IL	1	56,640	1,047
478533	12395	NM	LENA STATE BANK	LENA	IL	1	98,906	940
489249	3805	SM	KINMUNDY BANK	KINMUNDY	IL	1	64,862	1,270
207041	3770	N	FIRST NATIONAL BANK OF BROWNSTOWN, THE	BROWNSTOWN	IL	1	52,108	472
242	3850	SM	FIRST COMMUNITY BANK XENIA-FLORA	XENIA	IL	2	54,271	751
104542	16318	NM	MARSEILLES BANK	MARSEILLES	IL	1	70,375	-76
108746	16198	N	MASON CITY NATIONAL BANK	MASON CITY	IL	1	80,525	1,085
122546	3834	N	MIDWEST NATIONAL BANK	SANDOVAL	IL	1	89,349	931
2811086	34900	NM	PREFERRED BANK	CASEY	IL	2	65,448	140
944935	10820	NM	STATE BANK OF INDUSTRY	INDUSTRY	IL	1	59,190	532
923949	16344	NM	STATE BANK OF PEARL CITY, THE	PEARL CITY	IL	2	76,683	282
830645	11319	NM	LONGVIEW COMMUNITY BANK	MOUNT PULASKI	IL	2	92,842	607
822631	19796	NM	MIDLAND COMMUNITY BANK	KINCAID	IL	2	73,629	777
771047	931	NM	CITIZENS STATE BANK OF MILFORD	MILFORD	IL	1	58,612	536
775241	19230	N	COMMUNITY NATIONAL BANK IN MONMOUTH	MONMOUTH	IL	1	56,816	398
695947	10883	NM	BANK OF BLUFFS	BLUFFS	IL	2	62,622	590
724940	10469	NM	FARMERS & MERCHANTS BANK OF HUTSONVILLE	HUTSONVILLE	IL	1	53,977	538
503547	1829	SM	FAIRMOUNT STATE BANK, THE	FAIRMOUNT	IN	1	57,077	290
540850	12139	NM	FORD COUNTY STATE BANK	SPEARVILLE	KS	1	51,122	110
422059	13957	NM	KANSASLAND BANK	QUINTER	KS	2	56,543	-600
358756	13584	NM	TAMPA STATE BANK	TAMPA	KS	2	69,360	158
392152	8108	SM	NEW CENTURY BANK	BELLEVILLE	KS	2	54,741	1,608
206950	16788	NM	UNION STATE BANK	UNIONTOWN	KS	2	66,486	920
71859	13959	NM	CBW BANK	WEIR	KS	1	85,217	2,736
354	14083	NM	BISON STATE BANK	BISON	KS	2	57,783	-1,027
14753	18101	NM	FARMERS STATE BANK OF BUCKLIN, KANSAS, THE	BUCKLIN	KS	1	62,194	793
235950	15237	NM	JOHNSON STATE BANK	JOHNSON	KS	2	95,749	832
209559	4792	SM	FNB WASHINGTON	WASHINGTON	KS	1	86,210	1,053
275657	10503	SM	FIRST STATE BANK, THE	NESS CITY	KS	1	83,020	479
195157	4770	N	ELEVATE BANK, NATIONAL ASSOCIATION	SEDAN	KS	2	58,255	435
197254	4774	N	FIRST NATIONAL BANK OF SPEARVILLE	SPEARVILLE	KS	1	55,187	631
738657	17607	NM	CITY STATE BANK, THE	FORT SCOTT	KS	2	52,793	555
636753	4654	N	FIRST NATIONAL BANK OF DIGHTON, THE	DIGHTON	KS	1	73,185	663
844455	13798	N	FIRST NATIONAL BANK IN FREDONIA	FREDONIA	KS	1	91,785	1,072
871358	9661	SM	BANK OF HOLYROOD, THE	HOLYROOD	KS	1	69,965	800
723756	14636	SM	PEOPLES BANK	COLDWATER	KS	1	52,629	252
923350	4668	N	FIRST NATIONAL BANK IN FRANKFORT	FRANKFORT	KS	1	56,993	502
973252	12865	NM	SWEDISH-AMERICAN STATE BANK	COURTLAND	KS	1	61,873	790
2921622	35442	NM	CITIZENS BANK OF CUMBERLAND COUNTY, INC.	BURKESVILLE	KY	1	89,875	1,585
835613	8121	NM	SECURITY BANK AND TRUST COMPANY	MAYSVILLE	KY	2	70,293	869
839817	288	NM	FARMERS & TRADERS BANK OF CAMPTON	CAMPTON	KY	1	69,025	801
782548	304	NM	CLINTON BANK	CLINTON	KY	1	65,092	392
131717	5838	NM	FARMERS STATE BANK, INC	BOONEVILLE	KY	2	65,699	797
417710	22355	NM	PINNACLE BANK, INC	VANCEBURG	KY	2	52,454	508
502447	9669	NM	FREDONIA VALLEY BANK	FREDONIA	KY	2	99,488	869
122153	8799	NM	JACKSON PARISH BANK	JONESBORO	LA	1	60,571	510
188739	17621	NM	BASILE STATE BANK	BASILE	LA	2	65,152	1,644
923257	9328	NM	PEOPLES BANK	CHATHAM	LA	1	85,559	-36
1002458	12722	NM	SICILY ISLAND STATE BANK	SICILY ISLAND	LA	2	78,164	1,700
931355	19354	NM	HODGE BANK & TRUST COMPANY	HODGE	LA	1	93,805	2,593
779641	14999	NM	PORT AUSTIN STATE BANK, THE	PORT AUSTIN	MI	1	68,378	914
654047	12893	NM	FIRST STATE BANK OF DECATUR	DECATUR	MI	1	54,145	153
753641	23126	SM	HURON STATE BANK	ROGERS CITY	MI	1	82,839	1,092
292850	5076	N	FIRST NATIONAL BANK OF WAKEFIELD, THE	WAKEFIELD	MI	2	55,961	310
358448	12899	NM	MAYVILLE STATE BANK	MAYVILLE	MI	2	99,226	776
293352	8822	NM	ADRIAN STATE BANK	ADRIAN	MN	1	59,824	799
311658	5117	N	FIRST NATIONAL BANK OF COLERAINE, THE	COLERAINE	MN	2	100,020	316
339353	5107	NM	FIRST SECURITY BANK - CANBY	CANBY	MN	2	82,690	1,352
343958	8833	NM	CURRIE STATE BANK	CURRIE	MN	2	90,894	1,166
192651	8840	NM	PEOPLES STATE BANK OF WELLS	WELLS	MN	1	61,490	953
172251	10969	NM	RANDALL STATE BANK	RANDALL	MN	2	58,117	758
283157	1401	NM	STATE BANK OF DANVERS	BENSON	MN	1	65,225	408
269759	8845	NM	FARMERS AND MERCHANTS STATE BANK OF APPLETON	APPLETON	MN	1	63,061	1,371
270353	1391	NM	ARLINGTON STATE BANK	ARLINGTON	MN	2	61,839	500
272058	17062	NM	STATE BANK OF BELLINGHAM	BELLINGHAM	MN	1	52,844	391
273653	9727	NM	CONCORDE BANK	BLOMKEST	MN	2	75,802	1,077
211851	18378	NM	SECURITY STATE BANK OF WANAMINGO, INCORPORATED	WANAMINGO	MN	1	82,992	1,522
208459	9336	N	STEARNS BANK OF UPSALA, NATIONAL ASSOCIATION	UPSALA	MN	1	61,657	891
88259	10960	NM	JANESVILLE STATE BANK	JANESVILLE	MN	1	90,312	952
112556	8858	NM	STATE BANK OF CHANDLER	CHANDLER	MN	1	66,209	579
77150	15621	NM	FIRST FARMERS & MERCHANTS STATE BANK OF GRAND MEADOW	GRAND MEADOW	MN	2	92,859	1,703
21359	22263	SM	AMERICAN STATE BANK OF GRYGLA	GRYGLA	MN	2	71,328	812
457	10202	NM	LOWRY STATE BANK	LOWRY	MN	1	74,090	1,022
58355	9733	NM	VANTAGE BANK	KENT	MN	2	62,425	875
60554	10162	NM	FIRST STATE BANK MINNESOTA	LE ROY	MN	2	91,538	1,212
726458	5221	N	FIRST NATIONAL BANK OF OSAKIS, THE	OSAKIS	MN	1	91,954	437
721752	9340	NM	FARMERS & MERCHANTS STATE BANK OF NEW YORK MILLS, INCORPORATED	NEW YORK MILLS	MN	1	78,639	496
803658	1929	NM	FARMERS STATE BANK OF TRIMONT	TRIMONT	MN	2	77,022	903
804150	9747	NM	VERGAS STATE BANK	VERGAS	MN	1	54,444	281
918356	18719	NM	GRAND TIMBER BANK	MCGREGOR	MN	1	57,081	915
876157	14574	NM	ODIN STATE BANK	ODIN	MN	1	68,541	649
897451	15578	NM	INTEGRITY BANK PLUS	WABASSO	MN	2	86,632	1,190
840354	5278	NM	FIRST FINANCIAL BANK IN WINNEBAGO	WINNEBAGO	MN	1	55,809	681
984454	15597	NM	SECURITY STATE BANK OF KENYON	KENYON	MN	1	70,962	2,625
1015458	5175	NM	GLOBAL INNOVATIONS BANK	KIESTER	MN	1	52,866	501
1017555	8535	NM	FIRST COMMUNITY BANK	LESTER PRAIRIE	MN	2	83,595	752
3139321	57468	NM	COMMUNITY BANK OWATONNA	OWATONNA	MN	1	88,501	353
2724766	35094	NM	COMMUNITY BANK OF MEMPHIS	MEMPHIS	MO	1	52,631	431
941541	12226	SM	PEOPLES BANK OF ALTENBURG	ALTENBURG	MO	2	80,013	1,180
848453	13960	NM	BANK OF HOUSTON, THE	HOUSTON	MO	1	56,147	438
809379	29093	SM	INVESTORS COMMUNITY BANK	CHILLICOTHE	MO	1	91,324	715
790150	8584	SM	BANK OF IBERIA	IBERIA	MO	2	65,821	386
772754	1945	NM	METZ BANKING COMPANY	NEVADA	MO	2	97,545	839
699253	12457	NM	CITIZENS BANK OF EDINA, THE	EDINA	MO	1	92,505	2,166
753052	8594	NM	MONTROSE SAVINGS BANK	MONTROSE	MO	1	55,027	868
203052	15101	NM	SENATH STATE BANK	SENATH	MO	2	98,459	1,962
503640	16247	NM	NEIGHBORS BANK	CLARENCE	MO	1	67,216	-4,487
659640	15817	NM	GENESIS BANK	BENOIT	MS	1	44,123	3,637
666358	22502	SM	FIRST CITIZENS BANK OF BUTTE	BUTTE	MT	1	80,970	564
670654	20657	NM	FIRST SECURITY BANK OF DEER LODGE	DEER LODGE	MT	1	85,451	2,228
608358	18164	NM	GARFIELD COUNTY BANK	JORDAN	MT	2	90,338	1,111
647955	20162	NM	ASCENT BANK	HELENA	MT	2	89,636	429
625056	20479	NM	FIRST SECURITY BANK OF ROUNDUP	ROUNDUP	MT	1	88,561	1,401
678258	16477	NM	STATE BANK OF LAKOTA	LAKOTA	ND	1	66,039	1,093
856458	17813	NM	BANK OF HAZELTON	HAZELTON	ND	1	56,357	905
837653	3919	SM	HEARTLAND STATE BANK	EDGELEY	ND	2	65,975	694
890957	17922	NM	STRASBURG STATE BANK	STRASBURG	ND	1	95,919	1,255
997557	8383	NM	FIRST STATE BANK OF HARVEY	HARVEY	ND	2	89,518	750
969059	10253	NM	FIRST SECURITY BANK - WEST	BEULAH	ND	2	72,751	759
238250	13196	NM	PEOPLES STATE BANK	WESTHOPE	ND	2	80,369	905
157155	11475	NM	THAYER COUNTY BANK	HEBRON	NE	1	77,144	648
42457	12246	NM	COMMERCIAL BANK	NELSON	NE	1	63,591	741
45056	9818	NM	PLATTE VALLEY BANK	NORTH BEND	NE	1	99,709	1,059
2750	5408	NM	GENOA COMMUNITY BANK	GENOA	NE	1	68,494	786
111157	19087	NM	BANK OF LINDSAY	LINDSAY	NE	1	81,595	522
114859	5438	SM	FIRST BANK AND TRUST COMPANY	MINDEN	NE	1	96,063	258
563457	5422	N	FIRST NATIONAL BANK OF JOHNSON	JOHNSON	NE	2	94,309	66
570651	8333	NM	FIRST TRI-COUNTY BANK	SWANTON	NE	2	73,556	215
485054	16154	SM	BANK OF ELGIN	ELGIN	NE	1	75,149	1,496
416357	13251	NM	CHAMBERS STATE BANK	CHAMBERS	NE	2	75,511	1,100
332756	9812	NM	ADAMS STATE BANK	ADAMS	NE	1	68,956	537
382256	5478	SM	STANTON STATE BANK	STANTON	NE	2	59,173	73
924553	1986	NM	COMMERCIAL STATE BANK	REPUBLICAN CITY	NE	1	67,968	424
926650	14069	NM	STATE BANK OF SCOTIA	SCOTIA	NE	1	60,215	365
1004256	16110	SM	BUTTE STATE BANK	BUTTE	NE	2	53,446	253
1007958	14581	NM	CLARKSON BANK	CLARKSON	NE	1	72,421	685
911759	9819	NM	NEBRASKA STATE BANK	OSHKOSH	NE	1	63,380	2,953
861854	15364	NM	FIRST STATE BANK	RANDOLPH	NE	1	68,656	1,035
711753	14026	NM	SCRIBNER BANK	SCRIBNER	NE	1	86,814	1,976
735414	6530	N	FIRST NATIONAL BANK OF BLANCHESTER, THE	BLANCHESTER	OH	1	80,969	638
378110	389	NM	PEOPLES BANK, THE	GAMBIER	OH	2	58,769	116
