List of Banks in Peer Group -- 14 Insured commercial banks having assets less than $50 million, with 2 or more full service banking offices and located in a metropolitan statistical area

Reporting Period End Date	03/31/2013
Number of Banks in Peer Group	72

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2587998	34527	NM	CENTRAL ARIZONA BANK	SCOTTSDALE	AZ	2	31,460	-52
3304428	58066	SM	GOLD CANYON BANK	GOLD CANYON	AZ	2	43,342	-531
3480069	58426	N	WEST VALLEY NATIONAL BANK	AVONDALE	AZ	3	40,568	-260
3586925	58611	N	SUNBANK, NATIONAL ASSOCIATION	PHOENIX	AZ	13	34,535	-69
2845205	35354	N	ARMED FORCES BANK OF CALIFORNIA, NATIONAL ASSOCIATION	SAN DIEGO	CA	8	19,421	-13
2380470	34112	SM	PREMIER BANK	DENVER	CO	2	48,275	-258
67254	27010	NM	YOUNG AMERICANS BANK	DENVER	CO	2	15,129	-262
2145389	33872	NM	GREAT EASTERN BANK OF FLORIDA	MIAMI	FL	2	46,233	-328
760939	9070	NM	FIRST BANK OF PIKE	MOLENA	GA	3	38,923	17
370833	16584	NM	CARVER STATE BANK	SAVANNAH	GA	2	42,735	9
362043	16094	NM	EXCHANGE STATE BANK, THE	SPRINGVILLE	IA	3	46,070	27
84046	10123	NM	FIRST TRUST & SAVINGS BANK	CORALVILLE	IA	2	48,802	45
190246	16311	SM	LINN COUNTY STATE BANK	COGGON	IA	2	30,603	49
225942	18463	NM	HERITAGE BANK	MARION	IA	3	36,437	5
868844	225	NM	PEOPLES SAVINGS BANK	CRAWFORDSVILLE	IA	2	35,926	96
2856939	35432	SM	FRONTIER SAVINGS BANK	COUNCIL BLUFFS	IA	2	34,082	36
846132	10803	NM	DEWEY BANK	DEWEY	IL	2	28,272	61
807946	17690	NM	SOUTH PORTE BANK	MARION	IL	2	17,944	-130
617538	8492	NM	GLASFORD STATE BANK	GLASFORD	IL	2	35,168	31
638346	11724	NM	UNITED COMMUNITY BANK	OAKWOOD	IL	2	41,239	85
238045	15807	NM	SIDELL STATE BANK	SIDELL	IL	2	28,058	-3
307932	3615	N	FIRST NATIONAL BANK OF CATLIN, THE	CATLIN	IL	2	48,140	60
509642	17355	NM	BANK OF MODESTO	MODESTO	IL	2	45,859	65
