List of Banks in Peer Group -- 15 Insured commercial banks having assets less than $50 million, with 2 or more full service banking offices and not located in a metropolitan statistical area

Reporting Period End Date	03/31/2005
Number of Banks in Peer Group	364

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
139834	22523	NM	CITIZENS STATE BANK	VERNON	AL	2	49,520	210
290838	15270	NM	CITIZENS BANK OF VALLEY HEAD, THE	VALLEY HEAD	AL	2	21,989	8
401447	15810	NM	FARMERS BANK	HAMBURG	AR	2	35,845	292
454340	18987	NM	FIRST STATE BANK	CROSSETT	AR	2	28,167	43
78241	21379	N	FIRST NATIONAL BANK OF MCGEHEE, THE	MCGEHEE	AR	2	45,974	90
519146	21805	SM	FIRST STATE BANK OF DEQUEEN	DEQUEEN	AR	2	47,916	129
592448	1299	NM	FIRST STATE BANK	PARKIN	AR	2	22,310	32
596642	5629	NM	HOMEBANK OF ARKANSAS	PORTLAND	AR	4	37,842	24
712648	12531	NM	PEOPLES BANK, THE	MAGNOLIA	AR	3	49,874	242
855143	15035	NM	BANK OF AUGUSTA, THE	AUGUSTA	AR	2	49,428	108
2837059	35335	SM	SOUTHERN BANK OF COMMERCE	PARAGOULD	AR	4	36,517	80
587752	3047	N	FIRST NATIONAL BANK OF PAONIA, THE	PAONIA	CO	2	44,817	28
569459	24575	N	FIRST NATIONAL BANK OF LAKE CITY & CREEDE	LAKE CITY	CO	2	32,807	58
463351	22324	SM	OLATHE STATE BANK	OLATHE	CO	2	41,604	171
464956	22508	NM	PAONIA STATE BANK	PAONIA	CO	2	45,596	90
475653	17411	NM	MOUNTAIN VALLEY BANK	WALDEN	CO	4	36,460	-25
187451	9216	NM	KIT CARSON STATE BANK	KIT CARSON	CO	3	49,607	60
340555	3045	N	FIRST NATIONAL BANK OF ORDWAY, THE	ORDWAY	CO	2	40,692	62
713038	14794	NM	BANK OF JACKSON COUNTY	GRACEVILLE	FL	2	33,732	74
527730	11293	NM	BANK OF THOMAS COUNTY	THOMASVILLE	GA	2	40,008	128
575133	17073	NM	PEOPLES BANK, THE	WILLACOOCHEE	GA	2	45,095	146
563934	19819	N	FIRST NATIONAL BANK OF CHATTOOGA COUNTY	SUMMERVILLE	GA	2	41,247	175
413570	26879	NM	LIBERTY BANK & TRUST	TOCCOA	GA	2	24,604	21
140634	2157	NM	FIRST STATE BANK OF RANDOLPH COUNTY	CUTHBERT	GA	2	47,788	118
894834	13832	NM	BANK OF LENOX	LENOX	GA	3	35,296	42
959630	16281	NM	BANK OF LUMBER CITY	LUMBER CITY	GA	2	20,944	63
972143	18518	NM	WESTSIDE STATE BANK	WESTSIDE	IA	4	48,077	142
1009840	13736	NM	MAYNARD SAVINGS BANK	MAYNARD	IA	2	39,786	53
