List of Banks in Peer Group -- 16 Insured commercial banks having assets less than $50 million, with 1 full service banking offices and located in a metropolitan statistical area

Reporting Period End Date	09/30/2010
Number of Banks in Peer Group	192

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2877484	35314	NM	ALAMERICA BANK	BIRMINGHAM	AL	1	52,400	-1,736
50546	1298	NM	LITTLE RIVER BANK	LEPANTO	AR	1	47,872	45
733540	8730	NM	BANK OF RISON, THE	RISON	AR	1	29,488	455
733661	25803	NM	RANCHO SANTA FE THRIFT AND LOAN ASSOCIATION	SAN MARCOS	CA	1	40,916	869
89162	26839	NM	WELLS FARGO CENTRAL BANK	CALABASAS	CA	1	22,059	4
154257	26853	SM	CENTENNIAL BANK	CENTENNIAL	CO	1	32,937	-969
67254	27010	NM	YOUNG AMERICANS BANK	DENVER	CO	1	13,991	-466
499154	90040	NM	HOME LOAN STATE BANK	GRAND JUNCTION	CO	1	43,534	-34
2914905	57041	NM	COMMUNITY'S BANK, THE	BRIDGEPORT	CT	1	42,384	-357
1404940	27575	NM	BANK OF NEW CASTLE	NEW CASTLE	DE	1	16,054	5
1007734	22205	NM	BARWICK BANKING COMPANY	BARWICK	GA	1	12,139	-94
501039	12078	NM	GREENVILLE BANKING COMPANY, THE	GREENVILLE	GA	1	27,782	125
34836	11297	NM	WOODBURY BANKING COMPANY, THE	WOODBURY	GA	1	30,532	130
191449	8516	NM	SWISHER TRUST & SAVINGS BANK	SWISHER	IA	1	42,523	190
90047	13990	NM	PALO SAVINGS BANK	PALO	IA	1	31,008	451
337247	9104	NM	AMERICAN SAVINGS BANK	TRIPOLI	IA	1	46,209	486
507349	9106	NM	FARMERS STATE BANK	YALE	IA	1	40,819	290
440446	10131	SM	WEST CHESTER SAVINGS BANK	WASHINGTON	IA	1	48,747	149
591740	11351	NM	PEOPLES TRUST AND SAVINGS BANK	RIVERSIDE	IA	1	24,410	209
617341	16432	NM	WALKER STATE BANK	WALKER	IA	1	32,113	322
656247	25668	NM	FARMERS SAVINGS BANK	FREDERIKA	IA	1	40,858	251
694146	15930	NM	MAXWELL STATE BANK	MAXWELL	IA	1	23,869	320
754246	4476	N	FIRST NATIONAL BANK OF LOGAN, THE	LOGAN	IA	1	23,999	155
764843	219	NM	BUFFALO SAVINGS BANK	BUFFALO	IA	1	37,425	-7
824242	13774	NM	BENTON COUNTY STATE BANK	BLAIRSTOWN	IA	1	37,763	411
862945	19293	NM	CENTER POINT BANK AND TRUST COMPANY	CENTER POINT	IA	1	29,241	255
2774707	34619	NM	ITS BANK	JOHNSTON	IA	1	5,288	139
1006344	22312	N	COLUMBIA NATIONAL BANK	COLUMBIA	IL	1	39,836	129
3353154	58216	N	HARRIS CENTRAL NATIONAL ASSOCIATION	ROSELLE	IL	1	4,528	25
3373947	57759	NM	ALL AMERICAN BANK	DES PLAINES	IL	1	37,051	-905
864341	19430	N	PEKIN NATIONAL BANK	PEKIN	IL	1	23,432	14
928645	20930	NM	HEIGHTS BANK, THE	PEORIA HEIGHTS	IL	1	42,768	580
948036	11329	NM	JOY STATE BANK	JOY	IL	1	39,772	267
772745	14321	SM	FIRST ILLINOIS BANK	EAST SAINT LOUIS	IL	1	49,566	660
767246	10872	NM	CHESTERFIELD STATE BANK	CHESTERFIELD	IL	1	16,193	140
760340	16752	N	NATIONAL BANK OF ST. ANNE	SAINT ANNE	IL	1	44,746	41
713047	20769	NM	BANK OF MONTGOMERY	MONTGOMERY	IL	1	34,397	171
632139	3684	N	FIRST NATIONAL BANK OF IVESDALE, THE	IVESDALE	IL	1	12,272	31
604640	10878	NM	WATERMAN STATE BANK	WATERMAN	IL	1	44,172	280
613334	3671	N	FIRST NATIONAL BANK IN GEORGETOWN	GEORGETOWN	IL	1	37,927	295
655530	11681	NM	ANCHOR STATE BANK	ANCHOR	IL	1	13,340	1
362940	5730	NM	STATE BANK OF ST. JACOB	SAINT JACOB	IL	1	46,400	775
418436	19105	NM	PEOPLES BANK OF MACON	MACON	IL	1	17,606	89
423841	17401	NM	WENONA STATE BANK	WENONA	IL	1	30,912	102
246237	11311	NM	STATE BANK OF CERRO GORDO	CERRO GORDO	IL	1	24,273	47
295646	13902	NM	FARMERS STATE BANK OF MEDORA	MEDORA	IL	1	18,998	120
302133	10471	SM	CAMP GROVE STATE BANK	CAMP GROVE	IL	1	18,368	165
306739	5718	SM	STATE BANK OF BLUE MOUND, THE	BLUE MOUND	IL	1	30,597	196
315339	10856	NM	BRIMFIELD BANK	BRIMFIELD	IL	1	49,425	184
105044	17032	NM	MAROA FORSYTH COMMUNITY BANK	MAROA	IL	1	21,455	31
33839	10075	NM	PEOPLES STATE BANK OF COLFAX	COLFAX	IL	1	28,030	247
322449	8067	NM	COMMUNITY STATE BANK	BROOK	IN	1	44,349	355
320856	15083	NM	ALLIANT BANK	SEDGWICK	KS	1	14,772	-535
274052	14024	NM	FARMERS AND MERCHANTS BANK OF MOUND CITY, KANSAS	MOUND CITY	KS	1	40,434	365
418856	8110	NM	STATE BANK OF SPRING HILL, THE	SPRING HILL	KS	1	41,003	68
427456	15353	NM	TROY STATE BANK, THE	TROY	KS	1	24,678	67
