List of Banks in Peer Group -- 17 Insured commercial banks having assets less than $50 million, with 1 full service banking offices and not located in a metropolitan statistical area

Reporting Period End Date	03/31/2019
Number of Banks in Peer Group	217

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
177135	22549	SM	FIRST PROGRESSIVE BANK	BREWTON	AL	1	29,946	-10
470434	9614	NM	PEOPLES BANK OF RED LEVEL, THE	RED LEVEL	AL	1	15,093	50
496434	2794	N	FIRST NATIONAL BANK OF DOZIER, THE	DOZIER	AL	1	32,998	30
1474309	32968	NM	COMMUNITY BANK & TRUST-ALABAMA	UNION SPRINGS	AL	1	46,360	121
454340	18987	NM	FIRST STATE BANK	CROSSETT	AR	1	32,843	115
691042	107	NM	MERCHANTS & PLANTERS BANK, THE	CLARENDON	AR	1	43,637	55
378044	5619	NM	COMMUNITY STATE BANK	BRADLEY	AR	1	17,754	63
306056	3018	N	FIRST NATIONAL BANK OF FLEMING, THE	FLEMING	CO	1	22,270	51
399357	11261	NM	MCCLAVE STATE BANK	MC CLAVE	CO	1	42,328	204
598132	19680	NM	SECURITY STATE BANK, THE	MCRAE	GA	1	45,676	207
610539	5686	NM	BANK OF EDISON, THE	EDISON	GA	1	49,235	92
649632	16609	NM	ROCHELLE STATE BANK	ROCHELLE	GA	1	27,588	33
102333	10074	NM	WILKINSON COUNTY BANK	IRWINTON	GA	1	48,661	143
92144	17551	NM	COMMUNITY STATE BANK	PATON	IA	1	46,635	123
200042	15308	NM	STATE BANK OF WAPELLO	WAPELLO	IA	1	36,987	66
343248	4494	N	FIRST NATIONAL BANK OF PRIMGHAR, THE	PRIMGHAR	IA	1	31,681	55
359744	8519	NM	WHITE STATE BANK	SOUTH ENGLISH	IA	1	38,215	138
297547	9102	NM	ROWLEY SAVINGS BANK	ROWLEY	IA	1	15,685	22
672041	10896	NM	FARMERS AND TRADERS SAVINGS BANK	DOUDS	IA	1	20,854	23
675341	10120	NM	AMERICAN TRUST & SAVINGS BANK	LOWDEN	IA	1	34,757	41
616849	12859	NM	VICTOR STATE BANK	VICTOR	IA	1	34,640	66
602842	17441	NM	DYSART STATE BANK	DYSART	IA	1	13,543	-18
700140	1860	NM	MONTEZUMA STATE BANK	MONTEZUMA	IA	1	35,302	89
