List of Banks in Peer Group -- 2 Insured commercial banks having assets between $10 billion and $100 billion

Reporting Period End Date	03/31/2025
Number of Banks in Peer Group	115

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
3348888	57993	NM	SERVISFIRST BANK	HOMEWOOD	AL	32	17,739,282	63,813
311845	8728	SM	ARVEST BANK	FAYETTEVILLE	AR	220	27,640,054	20,989
107244	110	NM	BANK OZK	LITTLE ROCK	AR	230	38,466,359	171,959
663245	3890	SM	SIMMONS BANK	PINE BLUFF	AR	225	26,956,961	42,691
456045	11241	SM	CENTENNIAL BANK	CONWAY	AR	215	22,741,761	119,266
3138146	57512	SM	WESTERN ALLIANCE BANK	PHOENIX	AZ	34	83,470,305	195,149
1443266	25178	N	BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION	SAN FRANCISCO	CA	1	15,944,000	22,000
871769	1225	SM	FARMERS AND MERCHANTS BANK OF LONG BEACH	LONG BEACH	CA	27	11,557,518	16,814
933966	21716	NM	CITIZENS BUSINESS BANK	ONTARIO	CA	62	15,473,711	52,459
595869	18503	NM	CATHAY BANK	LOS ANGELES	CA	64	23,251,204	74,655
936462	1768	NM	MECHANICS BANK	WALNUT CREEK	CA	116	16,469,083	43,791
494261	24045	SM	BANC OF CALIFORNIA	LOS ANGELES	CA	81	33,482,193	63,722
197478	31628	SM	EAST WEST BANK	PASADENA	CA	96	76,096,558	292,590
671464	26610	NM	BANK OF HOPE	LOS ANGELES	CA	47	17,281,738	24,286
431172	32172	N	PACIFIC PREMIER BANK, NATIONAL ASSOCIATION	IRVINE	CA	57	18,099,221	41,069
3637685	58647	NM	FIRST FOUNDATION BANK	IRVINE	CA	30	12,577,006	7,729
63069	17281	N	CITY NATIONAL BANK	LOS ANGELES	CA	65	92,315,442	159,631
288853	18714	SM	FIRSTBANK	LAKEWOOD	CO	95	27,868,103	91,180
761806	18221	N	WEBSTER BANK, NATIONAL ASSOCIATION	STAMFORD	CT	197	79,838,764	233,962
2121196	33947	N	TD BANK USA, NATIONAL ASSOCIATION	WILMINGTON	DE	1	34,565,404	112,710
2735146	34775	N	EVERBANK, NATIONAL ASSOCIATION	JACKSONVILLE	FL	12	40,452,104	74,012
2193616	33893	SM	RAYMOND JAMES BANK	SAINT PETERSBURG	FL	1	42,162,180	141,788
83638	22953	N	AMERANT BANK, NATIONAL ASSOCIATION	CORAL GABLES	FL	19	10,045,527	15,177
34537	131	N	SEACOAST NATIONAL BANK	STUART	FL	79	15,579,024	31,980
814430	20234	N	CITY NATIONAL BANK OF FLORIDA	MIAMI	FL	30	27,547,011	55,245
1929247	33555	N	SOUTHSTATE BANK, N.A.	WINTER HAVEN	FL	339	65,032,626	108,622
3938186	58979	N	BANKUNITED, NATIONAL ASSOCIATION	MIAMI LAKES	FL	55	35,330,138	69,109
395238	873	SM	SYNOVUS BANK	COLUMBUS	GA	240	60,244,593	209,355
764030	20504	NM	AMERIS BANK	ATLANTA	GA	163	26,158,349	93,822
795968	18053	SM	BANK OF HAWAII	HONOLULU	HI	51	23,850,016	44,966
980661	17985	NM	FIRST HAWAIIAN BANK	HONOLULU	HI	48	24,143,006	61,605
416245	16450	SM	BUSEY BANK	CHAMPAIGN	IL	62	12,116,211	20,812
1842065	33306	SM	CIBC BANK USA	CHICAGO	IL	19	59,946,972	194,651
208244	3832	N	OLD NATIONAL BANK	EVANSVILLE	IN	281	54,126,148	156,314
963945	8056	NM	MERCHANTS BANK OF INDIANA	CARMEL	IN	7	17,768,888	59,355
17147	4365	NM	FIRST MERCHANTS BANK	MUNCIE	IN	110	18,504,846	57,504
128904	32773	NM	EASTERN BANK	BOSTON	MA	108	25,613,688	-214,466
613008	9712	NM	ROCKLAND TRUST COMPANY	ROCKLAND	MA	121	19,550,695	46,841
473501	23621	NM	BERKSHIRE BANK	PITTSFIELD	MA	84	11,906,720	27,586
506922	4865	SM	SANDY SPRING BANK	OLNEY	MD	53	14,015,522	2,089
2652092	34742	SM	EAGLEBANK	BETHESDA	MD	13	12,243,600	3,529
800657	12923	N	BREMER BANK, NATIONAL ASSOCIATION	SAINT PAUL	MN	67	16,514,524	34,774
936855	8273	N	UMB BANK, NATIONAL ASSOCIATION	KANSAS CITY	MO	193	60,226,808	100,390
853952	12633	SM	CENTRAL TRUST BANK, THE	JEFFERSON CITY	MO	147	19,313,961	85,730
601050	24998	SM	COMMERCE BANK	KANSAS CITY	MO	140	32,256,725	134,856
3076220	57358	SM	STIFEL BANK	SAINT LOUIS	MO	1	10,965,527	41,829
3076248	57311	SM	STIFEL BANK AND TRUST	SAINT LOUIS	MO	2	19,426,380	87,229
