List of Banks in Peer Group -- 201 Credit card specialty banks having assets greater than $ 3 billion

Reporting Period End Date	03/31/2013
Number of Banks in Peer Group	11

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1391778	27499	NM	COMENITY BANK	WILMINGTON	DE	1	6,790,731	113,707
1830035	33318	N	FIA CARD SERVICES, NATIONAL ASSOCIATION	WILMINGTON	DE	1	165,106,000	931,000
489913	23702	N	CHASE BANK USA, NATIONAL ASSOCIATION	NEWARK	DE	2	116,214,570	788,844
2980209	57203	NM	BARCLAYS BANK DELAWARE	WILMINGTON	DE	1	19,219,912	63,730
30810	5649	NM	DISCOVER BANK	GREENWOOD	DE	1	73,048,004	635,876
2502656	34351	NM	USAA SAVINGS BANK	LAS VEGAS	NV	1	15,595,165	140,082
1225761	27389	N	WELLS FARGO FINANCIAL NATIONAL BANK	LAS VEGAS	NV	1	5,060,373	63,872
2966306	35328	SI	AMERICAN EXPRESS BANK, FSB	SALT LAKE CITY	UT	1	40,571,690	440,191
1216022	27314	SI	GE CAPITAL RETAIL BANK	DRAPER	UT	2	34,847,829	158,258
1394676	27471	NM	AMERICAN EXPRESS CENTURION BANK	SALT LAKE CITY	UT	1	34,684,726	493,844
2253891	33954	N	CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION	GLEN ALLEN	VA	2	79,807,273	733,927
