List of Banks in Peer Group -- 2022 Denovo banks opened in 2022 having assets less than $750 million

Reporting Period End Date	09/30/2022
Number of Banks in Peer Group	12

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
5691319	59203	NM	SCOTTSDALE COMMUNITY BANK	SCOTTSDALE	AZ	1	19,565	-1,473
5758436	59283	NM	INTEGRO BANK	PHOENIX	AZ	1	27,397	-6,778
5758445	59273	NM	GAINEY BUSINESS BANK	SCOTTSDALE	AZ	1	17,032	-782
5755510	59204	NM	LEGACY BANK	MURRIETA	CA	1	25,872	-1,772
5724226	59281	NM	GULF COAST BUSINESS BANK	FORT MYERS	FL	1	28,130	-2,116
5673191	59278	NM	LOCALITY BANK	FORT LAUDERDALE	FL	1	60,622	-4,212
5686324	59285	NM	MOULTRIE BANK & TRUST	MOULTRIE	GA	1	31,937	-2,133
5660146	59287	NM	ENTREBANK	BLOOMINGTON	MN	1	41,012	-1,876
5784921	59312	NM	GS&L MUNICIPAL BANK	GOUVERNEUR	NY	1	34,091	44
5728916	59239	N	AGILITY BANK, N.A.	HOUSTON	TX	1	36,983	-5,826
5760439	59304	NM	TEXAS TRADITIONS BANK	KATY	TX	1	34,877	-1,808
5760662	59298	NM	BANK OF BURLINGTON	SOUTH BURLINGTON	VT	1	31,909	-514
