List of Banks in Peer Group -- 301 Bankers banks

Reporting Period End Date	06/30/2011
Number of Banks in Peer Group	19

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1443266	25178	N	BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION	SAN FRANCISCO	CA	1	18,341,259	140,418
2451240	34252	SM	PACIFIC COAST BANKERS' BANK	SAN FRANCISCO	CA	1	602,519	1,376
732758	23210	SM	BANKERS' BANK OF THE WEST	DENVER	CO	1	372,354	1,293
2722173	34858	SM	BANKERS BANK NORTHEAST	GLASTONBURY	CT	1	98,956	356
190639	24642	SM	INDEPENDENT BANKERS' BANK OF FLORIDA	LAKE MARY	FL	1	289,631	-2,029
1218446	27351	N	BANKERS' BANK OF KANSAS, NATIONAL ASSOCIATION	WICHITA	KS	1	128,002	528
1187551	27219	SM	BANKERS' BANK OF KENTUCKY, INC., THE	FRANKFORT	KY	1	62,545	258
734538	25247	N	FIRST NATIONAL BANKERS BANK	BATON ROUGE	LA	4	892,860	2,402
3284100	57821	NM	MARYLAND FINANCIAL BANK	TOWSON	MD	1	81,810	-34
930358	22180	SM	UNITED BANKERS BANK	BLOOMINGTON	MN	1	601,621	1,492
977250	25849	SM	MIDWEST INDEPENDENT BANK	JEFFERSON CITY	MO	1	315,257	184
3066155	57331	SM	NEBRASKA BANKERS' BANK	LINCOLN	NE	1	28,636	-71
155517	24493	SM	GREAT LAKES BANKERS BANK	WORTHINGTON	OH	1	102,087	103
859655	26677	SM	BANKERS BANK, THE	OKLAHOMA CITY	OK	1	180,978	870
2867056	35453	N	BANK OF AMERICA OREGON, NATIONAL ASSOCIATION	PORTLAND	OR	1	10,531,785	87,005
959715	24829	SM	ATLANTIC CENTRAL BANKERS BANK	CAMP HILL	PA	1	703,479	1,607
529958	23647	SM	TIB THE INDEPENDENT BANKERSBANK	IRVING	TX	5	2,367,735	7,877
77422	26871	SM	COMMUNITY BANKERS' BANK	MIDLOTHIAN	VA	1	154,272	166
408642	23537	SM	BANKERS' BANK	MADISON	WI	1	470,221	-686
