List of Banks in Peer Group -- 401 All Non-insured Non-deposit Trust Companies

Reporting Period End Date	12/31/2024
Number of Banks in Peer Group	56

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
5805451	57288	NC	WESTERN ALLIANCE TRUST COMPANY, NATIONAL ASSOCIATION	PHOENIX	AZ	1	52,839	-4,104
1444021	32961	NC	BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION	SAN FRANCISCO	CA	2	4,562,005	765,378
2845782	35413	NC	BESSEMER TRUST COMPANY OF CALIFORNIA, NATIONAL ASSOCIATION	SAN FRANCISCO	CA	1	15,609	743
812164	26474	NC	STATE STREET BANK AND TRUST COMPANY OF CALIFORNIA, NATIONAL ASSOCIATION	IRVINE	CA	1	8,863	295
670560	26732	NC	DEUTSCHE BANK NATIONAL TRUST COMPANY	LOS ANGELES	CA	1	434,647	11,501
5397639	59194	NC	ADP TRUST COMPANY NATIONAL ASSOCIATION	WILMINGTON	DE	1	42,110	25,276
3939240	58927	NC	EVERCORE TRUST COMPANY, NATIONAL ASSOCIATION	WILMINGTON	DE	1	13,823	791
2916963	57047	NC	U.S. BANK TRUST NATIONAL ASSOCIATION	WILMINGTON	DE	1	808,317	65,994
3310287	58011	NC	BESSEMER TRUST COMPANY OF DELAWARE, NATIONAL ASSOCIATION	WILMINGTON	DE	1	40,263	20,716
3066025	57337	NC	GOLDMAN SACHS TRUST COMPANY, NATIONAL ASSOCIATION, THE	WILMINGTON	DE	1	132,080	71,830
2531991	34465	NC	WELLS FARGO DELAWARE TRUST COMPANY, NATIONAL ASSOCIATION	WILMINGTON	DE	1	242,081	11,899
4146830	59047	NC	NEUBERGER BERMAN TRUST COMPANY OF DELAWARE NATIONAL ASSOCIATION	WILMINGTON	DE	1	7,368	352
4368351	59069	NC	KEY NATIONAL TRUST COMPANY OF DELAWARE	WILMINGTON	DE	1	7,857	1,110
4032791	59025	NC	BROWN BROTHERS HARRIMAN TRUST COMPANY OF DELAWARE, NA	WILMINGTON	DE	1	15,424	5,833
449038	25677	NC	CITICORP TRUST DELAWARE, NATIONAL ASSOCIATION	GREENVILLE	DE	1	25,252	2,081
4397164	59255	NC	CHILTON TRUST COMPANY, NATIONAL ASSOCIATION	PALM BEACH	FL	1	26,689	5,527
3952904	58999	NC	CANANDAIGUA NATIONAL TRUST COMPANY OF FLORIDA	SARASOTA	FL	1	4,877	599
2163477	33879	NC	RAYMOND JAMES TRUST, NATIONAL ASSOCIATION	SAINT PETERSBURG	FL	1	69,433	13,661
2262718	33962	NC	SYNOVUS TRUST COMPANY, NATIONAL ASSOCIATION	COLUMBUS	GA	1	147,961	20,385
2973041	57179	NC	FIRST COMMUNITY TRUST, NATIONAL ASSOCIATION	DUBUQUE	IA	1	13,779	1,009
2960788	57150	NC	WHEATON COLLEGE TRUST COMPANY, NATIONAL ASSOCIATION	WHEATON	IL	1	3,906	53
2719810	35063	NC	WINTRUST PRIVATE TRUST COMPANY, N.A.	LAKE FOREST	IL	1	126,019	3,783
2641827	34732	NC	NEW COVENANT TRUST COMPANY, NATIONAL ASSOCIATION	JEFFERSONVILLE	IN	1	7,863	562
1369870	27479	NC	FIRST FINANCIAL TRUST NATIONAL ASSOCIATION	WELLESLEY	MA	1	15,811	1,281
2600039	34629	NC	COMPUTERSHARE TRUST COMPANY, NATIONAL ASSOCIATION	CANTON	MA	1	1,140,981	346,478
692704	23741	NC	WELLINGTON TRUST COMPANY NATIONAL ASSOCIATION	BOSTON	MA	1	92,734	4,573
5591633	57418	NC	PLANTE MORAN TRUST, NATIONAL ASSOCIATION	SOUTHFIELD	MI	1	17,848	2,973
3089752	57405	NC	CETERA TRUST COMPANY, N.A.	SAINT PAUL	MN	1	17,297	501
5805817	59337	NC	DAYFORCE NATIONAL TRUST BANK	BLOOMINGTON	MN	1	16,719	3,449
2337335	34065	NC	UMB BANK & TRUST, NATIONAL ASSOCIATION	KANSAS CITY	MO	1	3,048	4
5859511	59344	NC	TIAA TRUST, NATIONAL ASSOCIATION	CHARLOTTE	NC	1	238,235	89,090
5805488	59349	NC	INSPIRE TRUST COMPANY, NATIONAL ASSOCIATION	RENO	NV	1	9,168	902
5805479	59346	NC	BESSEMER TRUST COMPANY OF NEVADA, NATIONAL ASSOCIATION	LAS VEGAS	NV	1	11,841	-2,506
4149037	59046	NC	NEUBERGER BERMAN TRUST COMPANY NATIONAL ASSOCIATION	NEW YORK	NY	1	23,988	1,490
2325882	34056	NC	DEUTSCHE BANK TRUST COMPANY, NATIONAL ASSOCIATION	NEW YORK	NY	1	158,530	8,582
52719	90544	NC	DEPOSITORY TRUST COMPANY, THE	BROOKLYN	NY	1	4,066,675	81,635
62110	26622	NC	ROCKEFELLER TRUST COMPANY, NATIONAL ASSOCIATION	NEW YORK	NY	1	15,644	1,602
931207	25824	NC	BROWN BROTHERS HARRIMAN TRUST COMPANY, N.A.	NEW YORK	NY	1	15,102	1,920
93619	24938	NC	STATE STREET BANK AND TRUST COMPANY, NATIONAL ASSOCIATION	NEW YORK	NY	1	41,549	7,105
2328285	34057	NC	PRIVATE TRUST COMPANY, NATIONAL ASSOCIATION, THE	CLEVELAND	OH	1	28,657	5,454
1820979	33239	NC	TRUST COMPANY OF TOLEDO, NATIONAL ASSOCIATION, THE	HOLLAND	OH	1	7,214	4,381
5887420	59357	NC	PREFERRED LEGACY NATIONAL TRUST BANK, THE	CANTON	OH	1	8,233	-567
5972661	59363	NC	PAYCOM NATIONAL TRUST BANK	OKLAHOMA CITY	OK	1	8,050	1,883
2567123	34588	NC	U.S. BANK TRUST COMPANY, NATIONAL ASSOCIATION	PORTLAND	OR	1	2,195,578	462,397
2826017	35317	NC	GLENMEDE TRUST COMPANY, NATIONAL ASSOCIATION, THE	PHILADELPHIA	PA	1	184,664	21,163
3229875	57793	NC	FIRST NATIONAL TRUST COMPANY	HERMITAGE	PA	1	46,028	18,446
3045383	57304	NC	VANGUARD NATIONAL TRUST COMPANY, NATIONAL ASSOCIATION	MALVERN	PA	1	139,355	4,521
2667920	34813	NC	U.S. BANK TRUST NATIONAL ASSOCIATION SD	SIOUX FALLS	SD	1	158,501	17,190
5561001	59276	NC	ANCHORAGE DIGITAL BANK NATIONAL ASSOCIATION	SIOUX FALLS	SD	1	51,144	22,259
2597232	59321	NC	HIGHTOWER TRUST COMPANY, NATIONAL ASSOCIATION, THE	HOUSTON	TX	1	18,268	309
6009630	59366	NC	FUNDBANK, NATIONAL ASSOCIATION	AUSTIN	TX	1	23,313	-5,966
2597223	57380	NC	LEGACY TRUST COMPANY, NATIONAL ASSOCIATION	HOUSTON	TX	1	34,480	3,568
688079	13718	NC	WELLS FARGO TRUST COMPANY, NATIONAL ASSOCIATION	OGDEN	UT	1	1,363,845	39,936
2797210	35248	NC	OLD POINT TRUST & FINANCIAL SERVICES, N.A.	NEWPORT NEWS	VA	1	7,458	520
1629903	27102	NC	ASSOCIATED TRUST COMPANY, NATIONAL ASSOCIATION	MILWAUKEE	WI	1	80,157	24,776
2912750	57081	NC	SECURITY NATIONAL TRUST CO.	WHEELING	WV	1	6,422	2,341
