List of Banks in Peer Group -- 5 Insured commercial banks having assets between $300 million and $1 billion

Reporting Period End Date	03/31/2023
Number of Banks in Peer Group	1293

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
451068	14885	NM	FIRST BANK	KETCHIKAN	AK	8	813,845	1,630
571265	26530	NM	DENALI STATE BANK	FAIRBANKS	AK	5	515,530	2,397
540739	20468	NM	FIRSTSTATE BANK	LINEVILLE	AL	3	300,278	787
541231	23152	NM	FIRST CITIZENS BANK	LUVERNE	AL	5	329,400	1,247
498531	26799	NM	EVABANK	EVA	AL	8	405,775	2,138
501132	16175	NM	WEST ALABAMA BANK & TRUST	REFORM	AL	13	883,481	2,392
504535	23815	NM	FIRST STATE BANK OF DEKALB COUNTY, INC.	FORT PAYNE	AL	5	310,719	1,684
449832	14184	NM	MARION COMMUNITY BANK	MARION	AL	6	311,556	167
430036	39	NM	ROBERTSON BANKING COMPANY	DEMOPOLIS	AL	8	444,616	1,941
330239	22271	N	FIRST NATIONAL BANK	HAMILTON	AL	5	396,492	2,247
353238	72	SM	CENTRAL STATE BANK	CALERA	AL	5	555,020	3,073
386731	861	NM	STATE BANK & TRUST	WINFIELD	AL	4	353,405	320
66275	29332	NM	FIRST SOUTHERN BANK	FLORENCE	AL	5	550,994	1,804
139133	2838	NM	AMERIFIRST BANK	MONTGOMERY	AL	5	305,999	718
246134	2829	NM	FIRST SOUTHERN STATE BANK	STEVENSON	AL	9	795,408	2,068
248633	23376	NM	FIRST JACKSON BANK	STEVENSON	AL	6	397,922	1,899
257233	2832	NM	FIRST BANK OF ALABAMA	TALLADEGA	AL	12	936,612	4,101
259330	17077	NM	FIRST US BANK	BIRMINGHAM	AL	15	998,489	2,397
288376	29548	NM	PINNACLE BANK	JASPER	AL	6	335,604	1,208
293437	52	NM	CITIZENS BANK OF WINFIELD, THE	WINFIELD	AL	1	356,564	397
655839	16595	NM	CCB COMMUNITY BANK	ANDALUSIA	AL	4	610,476	2,677
672537	54	NM	EXCHANGE BANK OF ALABAMA, THE	ALTOONA	AL	5	377,647	976
929932	2777	NM	MIDSOUTH BANK	DOTHAN	AL	12	608,723	1,826
1160509	27118	NM	PREMIER BANK OF THE SOUTH	CULLMAN	AL	9	313,416	1,196
1188987	27233	NM	PEOPLES INDEPENDENT BANK	BOAZ	AL	9	426,163	1,465
1222519	27381	NM	FIRST METRO BANK	MUSCLE SHOALS	AL	11	886,182	3,448
3034257	57124	NM	FIRST COMMUNITY BANK OF CENTRAL ALABAMA	WETUMPKA	AL	8	568,439	3,381
3194692	57554	NM	TRADITIONS BANK	CULLMAN	AL	6	662,620	2,520
3217331	57540	NM	HOMETOWN BANK OF ALABAMA, THE	ONEONTA	AL	4	487,810	1,888
3385744	58111	SM	NOBLEBANK & TRUST	ANNISTON	AL	6	392,508	1,315
3531176	58357	NM	SOUTHERN INDEPENDENT BANK	OPP	AL	3	328,158	965
