List of Banks in Peer Group -- 6 Insured commercial banks having assets between $100 million and $300 million, with 3 or more full service banking offices and located in a metropolitan statistical area

Reporting Period End Date	06/30/2020
Number of Banks in Peer Group	374

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
112332	2804	N	FIRST NATIONAL BANK OF HARTFORD	HARTFORD	AL	3	125,831	384
117038	2805	NM	HNB FIRST BANK	HEADLAND	AL	3	167,261	1,126
117775	29731	NM	SOUTHERN BANK COMPANY, THE	GADSDEN	AL	4	99,184	117
139133	2838	NM	AMERIFIRST BANK	MONTGOMERY	AL	4	194,406	898
244037	2828	NM	FRIEND BANK	SLOCOMB	AL	5	140,718	1,213
290838	15270	NM	MERIT BANK	HUNTSVILLE	AL	4	106,203	-1,491
292234	19440	NM	FIRST FINANCIAL BANK	BESSEMER	AL	8	183,555	1,132
432432	41	NM	PHENIX-GIRARD BANK	PHENIX CITY	AL	4	206,127	2,061
434539	1735	NM	FARMERS & MERCHANTS BANK	PIEDMONT	AL	4	246,380	1,003
467733	5602	NM	UNION STATE BANK	PELL CITY	AL	13	210,289	274
563336	23523	NM	CITIZENS' BANK, INC.	ROBERTSDALE	AL	3	116,740	449
1402384	27560	NM	NORTH ALABAMA BANK	HAZEL GREEN	AL	4	122,037	631
2915126	35514	NM	CHEAHA BANK	OXFORD	AL	4	222,137	1,683
3385744	58111	SM	NOBLEBANK & TRUST	ANNISTON	AL	6	283,023	1,515
1397471	91280	SM	BANK OF LITTLE ROCK	LITTLE ROCK	AR	5	206,309	863
1879016	33470	NM	TODAY'S BANK	HUNTSVILLE	AR	8	266,721	967
2716828	34887	SM	PREMIER BANK OF ARKANSAS	MARION	AR	3	170,901	789
539377	32025	SM	UNITED BANK	SPRINGDALE	AR	4	206,654	1,088
400945	5636	NM	BANK OF GRAVETTE	GRAVETTE	AR	3	133,070	133
325141	1296	NM	FARMERS BANK	GREENWOOD	AR	11	227,183	1,447
126049	5634	SM	CONNECT BANK	STAR CITY	AR	5	98,499	724
10849	15050	NM	FIRST STATE BANK	LONOKE	AR	6	257,508	492
3131400	57279	NM	COMMERCE BANK OF ARIZONA, INC.	TUCSON	AZ	4	266,689	885
2963275	57137	NM	MISSION BANK	KINGMAN	AZ	3	129,384	389
3480069	58426	N	WEST VALLEY NATIONAL BANK	GOODYEAR	AZ	4	98,174	827
3637706	58500	NM	COMMUNITY VALLEY BANK	EL CENTRO	CA	6	220,160	1,439
2925620	35366	N	CHINO COMMERCIAL BANK, NATIONAL ASSOCIATION	CHINO	CA	4	254,702	1,378
3216316	57444	NM	AMERICAN CONTINENTAL BANK	CITY OF INDUSTRY	CA	5	272,679	818
297761	22460	NM	MONTEREY COUNTY BANK	MONTEREY	CA	4	179,860	1,115
351560	23864	NM	SUMMIT BANK	OAKLAND	CA	3	286,155	1,555
403067	25644	N	BEACON BUSINESS BANK, NATIONAL ASSOCIATION	SAN FRANCISCO	CA	3	155,105	-209
478766	23754	SM	LIBERTY BANK	SOUTH SAN FRANCISCO	CA	3	286,514	670
534466	25869	NM	METROPOLITAN BANK	OAKLAND	CA	4	175,261	534
962966	26881	N	GOLDEN PACIFIC BANK, NATIONAL ASSOCIATION	SACRAMENTO	CA	3	145,929	-154
550354	19351	NM	BANK OF ESTES PARK	ESTES PARK	CO	3	132,861	819
643658	17782	N	PIKES PEAK NATIONAL BANK	COLORADO SPRINGS	CO	4	96,687	-29
651756	17244	NM	BANK OF DENVER, THE	DENVER	CO	4	246,216	838
427858	23404	N	EVERGREEN NATIONAL BANK	EVERGREEN	CO	4	120,047	251
3160978	57587	NM	INTEGRITY BANK & TRUST	MONUMENT	CO	4	226,846	1,273
3411773	58508	NM	FIRST FARMBANK	GREELEY	CO	5	269,931	1,072
2506328	34328	NM	CACHE BANK & TRUST	GREELEY	CO	3	104,347	-272
939070	28167	SM	EASTERN CONNECTICUT SAVINGS BANK	NORWICH	CT	5	199,579	21
2467670	34193	NM	APPLIED BANK	WILMINGTON	DE	3	172,212	778
1940747	33565	N	DESJARDINS BANK, NATIONAL ASSOCIATION	HALLANDALE	FL	4	221,812	334
2233875	33959	N	NATBANK, NATIONAL ASSOCIATION	HOLLYWOOD	FL	3	185,862	622
3404999	58113	NM	FLAGSHIP BANK	CLEARWATER	FL	6	194,565	-741
3468450	58377	NM	CENTRAL BANK	TAMPA	FL	3	225,357	580
2953418	35430	NM	OPTIMUMBANK	FORT LAUDERDALE	FL	3	144,205	-421
2710554	34747	NM	HILLSBORO BANK	PLANT CITY	FL	3	163,724	900
2860039	35212	NM	COMMUNITY BANK OF THE SOUTH	MERRITT ISLAND	FL	3	170,612	1,112
483537	26687	NM	PNB COMMUNITY BANK	NICEVILLE	FL	3	108,697	323
374774	33026	NM	SURETY BANK	DELAND	FL	4	137,808	1,388
61832	3579	N	FIRST NATIONAL BANK OF MOUNT DORA, THE	MOUNT DORA	FL	4	265,072	1,786
82033	26829	N	FIRST NATIONAL BANK OF PASCO	DADE CITY	FL	5	196,136	642
318947	20761	NM	HERITAGE FIRST BANK	ROME	GA	3	155,409	564
469737	175	NM	COMMERCIAL BANK, THE	CRAWFORD	GA	5	260,338	2,536
450632	22092	N	FIRST NATIONAL COMMUNITY BANK	CHATSWORTH	GA	6	291,446	1,678
773032	879	NM	FARMERS STATE BANK	LINCOLNTON	GA	3	134,409	1,235
752831	148	NM	BANK OF MADISON	MADISON	GA	3	246,829	1,946
564838	12079	NM	CITIZENS COMMUNITY BANK	HAHIRA	GA	4	150,199	771
2921211	35236	NM	CENTURY BANK OF GEORGIA	CARTERSVILLE	GA	3	221,145	1,548
1459799	33010	NM	FIRST PEOPLES BANK	PINE MOUNTAIN	GA	3	193,196	759
2354323	34138	NM	GREATER COMMUNITY BANK	ROME	GA	4	244,828	1,150
3671997	58584	NM	AMERICAN PRIDE BANK	MACON	GA	4	204,495	982
2705112	34686	NM	CHARTER BANK	JOHNSTON	IA	4	172,259	1,320
566243	956	SM	GLENWOOD STATE BANK	GLENWOOD	IA	3	238,575	1,119
764142	14352	NM	FEDERATION BANK	WASHINGTON	IA	4	136,831	559
767040	15414	NM	LEGACY BANK	ALTOONA	IA	4	122,615	895
677448	5821	NM	FIRST STATE BANK	LYNNVILLE	IA	5	200,794	1,971
771748	15427	NM	CHELSEA SAVINGS BANK	BELLE PLAINE	IA	4	124,214	792
805045	10132	NM	EXCHANGE STATE BANK	COLLINS	IA	3	115,606	574
882541	12717	NM	BRIDGE COMMUNITY BANK	MOUNT VERNON	IA	3	105,471	704
893640	16438	NM	NXT BANK	CENTRAL CITY	IA	5	260,004	946
931944	17993	NM	KEYSTONE SAVINGS BANK	KEYSTONE	IA	5	148,250	808
300942	19540	NM	PIONEER BANK	SERGEANT BLUFF	IA	4	195,852	1,107
212344	11759	NM	CITIZENS STATE BANK	WYOMING	IA	3	98,714	679
185448	232	NM	SOLON STATE BANK	SOLON	IA	3	100,335	1,206
190947	16177	NM	FIRST STATE BANK	STUART	IA	4	109,206	273
145741	15610	NM	FARMERS & MERCHANTS STATE BANK	WINTERSET	IA	3	194,197	1,123
148340	14982	NM	UNION STATE BANK	WINTERSET	IA	3	100,832	431
427960	22993	NM	TWIN RIVER BANK	LEWISTON	ID	4	110,261	1,405
3010363	57074	NM	BANKCDA	COEUR D'ALENE	ID	4	154,685	489
2847085	35229	NM	SOUTHERN ILLINOIS BANK	JOHNSTON CITY	IL	5	119,376	579
2598396	34526	NM	PRAIRIE COMMUNITY BANK	MARENGO	IL	3	134,302	112
2533119	34416	SM	NORTHSIDE COMMUNITY BANK	GURNEE	IL	4	261,439	1,236
453839	22034	NM	FIRST STATE BANK OF BLOOMINGTON	BLOOMINGTON	IL	4	130,261	858
439730	10855	NM	STATE BANK OF BEMENT	BEMENT	IL	3	104,839	221
487142	11750	NM	BANK OF KAMPSVILLE	KAMPSVILLE	IL	4	113,152	458
285348	22971	NM	STATE BANK	WONDER LAKE	IL	7	238,671	-114
353546	3749	N	FIRST NATIONAL BANK IN TREMONT, THE	TREMONT	IL	3	125,026	410
380533	1786	NM	LONGVIEW BANK	OGDEN	IL	7	216,353	1,265
141341	10828	NM	BANK OF CARBONDALE, THE	CARBONDALE	IL	4	244,676	1,333
238139	3702	SM	FIRST BANK OF MANHATTAN	MANHATTAN	IL	3	183,075	402
266244	12706	NM	STATE BANK	WATERLOO	IL	4	204,353	839
25647	22536	NM	FIRST SECURE BANK AND TRUST CO.	PALOS HILLS	IL	4	231,303	850
37949	11711	NM	BANK OF RANTOUL	RANTOUL	IL	3	236,885	2,481
936837	11699	NM	GOODFIELD STATE BANK	GOODFIELD	IL	4	141,788	2,060
