List of Banks in Peer Group -- 7 Insured commercial banks having assets between $100 million and $300 million, with 3 or more full service banking offices and not located in a metropolitan statistical area

Reporting Period End Date	06/30/2022
Number of Banks in Peer Group	471

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
253730	9615	NM	SWEET WATER STATE BANK	SWEET WATER	AL	4	118,570	702
250430	21050	NM	FIRST STATE BANK OF THE SOUTH, INC.	SULLIGENT	AL	5	120,053	605
291330	1744	NM	FIRST BANK	WADLEY	AL	5	125,430	719
382537	51	NM	BANK OF VERNON, THE	VERNON	AL	5	245,597	1,227
386432	20429	NM	LIBERTY BANK	GERALDINE	AL	6	189,035	870
411231	16386	NM	BRANTLEY BANK & TRUST COMPANY	BRANTLEY	AL	3	106,363	322
420877	31479	NM	FIRST FIDELITY BANK	FORT PAYNE	AL	3	144,811	601
446130	13887	NM	FARMERS AND MERCHANTS BANK	LAFAYETTE	AL	3	259,081	1,372
449430	16910	NM	22ND STATE BANK	LOUISVILLE	AL	6	203,413	408
466932	2787	NM	COMMUNITY NEIGHBOR BANK	CAMDEN	AL	3	136,992	675
470032	50	NM	COMMUNITY SPIRIT BANK	RED BAY	AL	3	183,373	826
670430	2779	N	FIRST NATIONAL BANK AND TRUST	ATMORE	AL	3	210,767	801
3282012	57569	NM	PEOPLESTRUST BANK	HAMILTON	AL	3	142,704	795
3633016	58636	NM	FIRST CAHAWBA BANK	SELMA	AL	3	184,937	367
712648	12531	NM	PEOPLES BANK, THE	MAGNOLIA	AR	4	232,426	2,127
799948	3896	N	FIRST NATIONAL BANK OF LAWRENCE COUNTY AT WALNUT RIDGE, THE	WALNUT RIDGE	AR	6	282,889	1,035
843542	94	SM	FIRST STATE BANK OF WARREN	WARREN	AR	3	115,612	512
855143	15035	NM	RIVERWIND BANK	AUGUSTA	AR	4	129,859	417
864846	3854	SM	BANK OF 1889	BERRYVILLE	AR	10	283,740	1,812
931047	11243	SM	BANK OF SALEM	SALEM	AR	3	178,682	1,736
942847	5624	NM	BODCAW BANK	STAMPS	AR	3	185,304	1,290
644842	8735	NM	MERCHANTS AND FARMERS BANK	DUMAS	AR	3	198,658	851
629148	105	SM	BANK OF CAVE CITY	CAVE CITY	AR	5	160,246	901
455945	99	NM	BANK OF DELIGHT	DELIGHT	AR	3	165,509	1,364
458142	109	NM	HORATIO STATE BANK	HORATIO	AR	3	247,395	1,684
379649	11252	N	FIRST NATIONAL BANK OF IZARD COUNTY	CALICO ROCK	AR	5	210,517	1,437
314444	1028	SM	FBT BANK & MORTGAGE	FORDYCE	AR	4	210,226	1,363
22048	1753	NM	UNION BANK & TRUST COMPANY	MONTICELLO	AR	3	275,972	2,372
45047	14534	N	FIRST NATIONAL BANK AT PARIS, THE	PARIS	AR	6	239,705	2,370
98351	1779	NM	CITIZENS STATE BANK OF OURAY, THE	OURAY	CO	5	168,514	453
276551	3029	N	FIRST NATIONAL BANK OF HUGO	HUGO	CO	3	148,663	464
387055	1778	NM	STATE BANK, THE	LA JUNTA	CO	3	131,040	432
474058	14584	N	FIRST NATIONAL BANK IN TRINIDAD	TRINIDAD	CO	3	276,418	415
541754	22447	NM	WRAY STATE BANK	WRAY	CO	3	195,796	832
1008209	2496	N	NATIONAL IRON BANK, THE	SALISBURY	CT	4	264,438	1,281
853934	17734	NM	COMMUNITY STATE BANK	STARKE	FL	4	207,160	238
535931	16396	NM	LAFAYETTE STATE BANK	MAYO	FL	4	174,428	448
297631	21163	NM	CREWS BANK & TRUST	ARCADIA	FL	3	226,613	819
333034	872	NM	STATE BANK OF COCHRAN	COCHRAN	GA	4	261,395	2,089
280138	21526	NM	WEST CENTRAL GEORGIA BANK	THOMASTON	GA	3	151,955	865
199436	19590	NM	ALTAMAHA BANK AND TRUST COMPANY	VIDALIA	GA	4	266,797	2,226
204237	877	NM	MAGNOLIA STATE BANK	EASTMAN	GA	4	211,482	640
101439	15336	NM	DURDEN BANKING COMPANY, INCORPORATED	TWIN CITY	GA	4	261,109	2,238
113030	19720	NM	FARMERS STATE BANK	DUBLIN	GA	3	159,203	836
514936	22138	NM	RABUN COUNTY BANK	CLAYTON	GA	3	264,045	1,045
364131	16780	NM	GREAT OAKS BANK	EASTMAN	GA	6	295,502	1,274
424633	17126	NM	WILCOX COUNTY STATE BANK	ABBEVILLE	GA	4	146,279	730
611031	16152	NM	PEOPLES BANK, THE	EATONTON	GA	3	212,403	220
948531	5704	NM	BANK OF NEWINGTON	NEWINGTON	GA	3	182,306	1,631
986935	155	NM	BANK OF ALAPAHA	ALAPAHA	GA	4	241,740	924
989534	16228	NM	WHEELER COUNTY STATE BANK	ALAMO	GA	3	128,763	555
995571	32532	NM	SOUTH GEORGIA BANK	GLENNVILLE	GA	4	213,502	1,962
807432	8028	NM	MOUNT VERNON BANK	VIDALIA	GA	3	157,498	791
