List of Banks in Peer Group -- 8 Insured commercial banks having assets between $100 million and $300 million, with 2 or fewer full service banking offices and located in a metropolitan statistical area

Reporting Period End Date	12/31/2013
Number of Banks in Peer Group	433

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
112332	2804	N	FIRST NATIONAL BANK OF HARTFORD	HARTFORD	AL	1	126,840	175
117038	2805	N	HEADLAND NATIONAL BANK, THE	HEADLAND	AL	2	103,702	101
194936	77	NM	BANKSOUTH	DOTHAN	AL	2	178,087	2,655
477639	18600	NM	SUNSOUTH BANK	DOTHAN	AL	2	173,741	-4,933
586335	9057	NM	BANK OF MOUNDVILLE	MOUNDVILLE	AL	1	111,001	548
3642308	58703	NM	FIRST PARTNERS BANK	BIRMINGHAM	AL	2	171,163	1,976
3720608	58783	NM	OAKWORTH CAPITAL BANK	BIRMINGHAM	AL	1	250,868	2,808
1879016	33470	NM	FIRST STATE BANK OF NORTHWEST ARKANSAS	HUNTSVILLE	AR	2	96,031	1,109
2594240	34562	SM	CAPITAL BANK, THE	LITTLE ROCK	AR	1	151,901	82
2716828	34887	SM	FIRST COMMUNITY BANK OF EASTERN ARKANSAS	MARION	AR	2	135,901	1,255
2939391	57058	SM	PEOPLES BANK	SHERIDAN	AR	2	110,525	1,645
3149012	57479	NM	BILTMORE BANK OF ARIZONA, THE	PHOENIX	AZ	2	297,888	1,718
3592047	58405	N	GOLDWATER BANK, NATIONAL ASSOCIATION	SCOTTSDALE	AZ	1	119,093	-851
3383599	58186	NM	PINNACLE BANK	SCOTTSDALE	AZ	2	103,062	1,322
3388482	58281	NM	AMERICAN RIVIERA BANK	SANTA BARBARA	CA	2	174,100	1,401
3367067	57989	NM	PAN PACIFIC BANK	FREMONT	CA	1	106,349	254
3367964	58098	NM	BANK OF SANTA BARBARA, THE	SANTA BARBARA	CA	2	145,282	1,569
3357385	58069	NM	BANK OF SAN FRANCISCO	SAN FRANCISCO	CA	1	137,804	1,037
3302312	57816	NM	BANK OF SANTA CLARITA	SANTA CLARITA	CA	2	245,237	1,004
3320576	57734	N	EH NATIONAL BANK	BEVERLY HILLS	CA	1	200,997	-1,861
3392292	58159	NM	COMMUNITY BUSINESS BANK	WEST SACRAMENTO	CA	2	157,422	1,078
3398623	58090	NM	FRESNO FIRST BANK	FRESNO	CA	1	217,574	26
3409462	58191	NM	COMMUNITY 1ST BANK	AUBURN	CA	2	211,629	1,866
3435948	58224	N	NORTHERN CALIFORNIA NATIONAL BANK	CHICO	CA	1	138,064	821
3440803	58278	NM	GOLDEN VALLEY BANK	CHICO	CA	1	136,446	1,347
3451050	58276	NM	RIVER VALLEY COMMUNITY BANK	YUBA CITY	CA	2	153,662	1,246
3459346	58261	NM	PREMIER BUSINESS BANK	LOS ANGELES	CA	2	134,890	3,266
3462074	58349	NM	PROAMERICA BANK	LOS ANGELES	CA	1	151,430	4,520
3464368	58138	N	BANK OF NAPA, NATIONAL ASSOCIATION	NAPA	CA	1	152,158	1,926
3470930	58218	NM	FRIENDLY HILLS BANK	WHITTIER	CA	2	105,505	372
3471209	58329	NM	NEW RESOURCE BANK	SAN FRANCISCO	CA	1	206,394	1,129
3597305	58462	SM	CAPITAL BANK	SAN JUAN CAPISTRANO	CA	1	159,144	2,047
