List of Banks in Peer Group -- ALCOM All Insured Commercial Banks in Alabama

Reporting Period End Date	03/31/2012
Number of Banks in Peer Group	134

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
42037	70	NM	PEOPLES EXCHANGE BANK OF MONROE COUNTY	MONROEVILLE	AL	2	63,730	103
51730	22131	NM	CITY BANK OF HARTFORD	HARTFORD	AL	2	57,028	47
60330	22537	NM	PEOPLES BANK OF ALABAMA	CULLMAN	AL	28	500,266	1,741
60433	20329	N	COMMUNITY BANK, NATIONAL ASSOCIATION	MOBILE	AL	3	97,500	68
66275	29332	NM	FIRST SOUTHERN BANK	FLORENCE	AL	5	177,286	328
112332	2804	N	FIRST NATIONAL BANK OF HARTFORD	HARTFORD	AL	1	148,756	-400
113937	46	NM	MERCHANTS BANK OF ALABAMA	CULLMAN	AL	6	240,236	375
117038	2805	N	HEADLAND NATIONAL BANK, THE	HEADLAND	AL	2	107,817	4
117775	29731	NM	SOUTHERN BANK COMPANY, THE	GADSDEN	AL	4	106,324	-26
134437	5598	NM	TROY BANK & TRUST COMPANY	TROY	AL	9	827,981	1,224
139133	2838	NM	AMERIFIRST BANK	UNION SPRINGS	AL	3	147,727	114
139834	22523	NM	CITIZENS STATE BANK	VERNON	AL	2	92,511	302
147633	18637	NM	MERCHANTS BANK	JACKSON	AL	4	209,323	346
177135	22549	SM	FIRST PROGRESSIVE BANK	BREWTON	AL	1	29,921	4
180537	22621	N	TOWN-COUNTRY NATIONAL BANK	CAMDEN	AL	1	93,765	431
186838	14720	NM	FIRST COMMUNITY BANK	CHATOM	AL	10	329,446	815
194936	77	NM	BANKSOUTH	DOTHAN	AL	2	192,350	241
209830	17892	NM	PRIMESOUTH BANK	TALLASSEE	AL	3	165,930	246
233031	12368	SM	REGIONS BANK	BIRMINGHAM	AL	1633	122,345,739	273,207
244037	2828	N	SLOCOMB NATIONAL BANK, THE	SLOCOMB	AL	2	72,269	161
246134	2829	NM	FIRST SOUTHERN STATE BANK	STEVENSON	AL	7	331,454	552
248633	23376	NM	FIRST JACKSON BANK	STEVENSON	AL	6	217,677	595
250430	21050	NM	FIRST STATE BANK OF THE SOUTH, INC.	SULLIGENT	AL	5	98,597	233
253730	9615	NM	SWEET WATER STATE BANK	SWEET WATER	AL	4	85,684	355
257233	2832	N	FIRST NATIONAL BANK OF TALLADEGA, THE	TALLADEGA	AL	3	410,491	-311
259330	17077	NM	FIRST UNITED SECURITY BANK	THOMASVILLE	AL	18	617,704	-1,141
288376	29548	NM	PINNACLE BANK	JASPER	AL	7	205,310	450
290838	15270	NM	CITIZENS BANK OF VALLEY HEAD, THE	VALLEY HEAD	AL	3	26,642	39
291330	1744	NM	FIRST BANK	WADLEY	AL	5	68,455	96
291732	1745	NM	FARMERS & MERCHANTS BANK	WATERLOO	AL	2	66,148	407
292234	19440	NM	FIRST FINANCIAL BANK	BESSEMER	AL	9	203,827	181
293437	52	NM	CITIZENS BANK OF WINFIELD, THE	WINFIELD	AL	1	216,403	800
305433	1746	NM	ESCAMBIA COUNTY BANK	FLOMATON	AL	1	88,617	80
320034	1730	NM	PEOPLES BANK OF GREENSBORO	GREENSBORO	AL	1	90,398	297
330239	22271	N	FIRST NATIONAL BANK	HAMILTON	AL	7	284,744	1,407
351131	5605	NM	BANK OF BREWTON	BREWTON	AL	2	56,781	75
353238	72	SM	CENTRAL STATE BANK	CALERA	AL	4	158,396	412
358233	5608	NM	BANK OF WEDOWEE	WEDOWEE	AL	3	121,855	89
359838	862	NM	BANK OF YORK	YORK	AL	2	85,176	162
374130	16369	NM	CITIZENS BANK, THE	ENTERPRISE	AL	2	86,868	226
376237	855	NM	MERCHANTS & FARMERS BANK OF GREENE COUNTY	EUTAW	AL	1	56,728	133
