List of Banks in Peer Group -- ARCOM All Insured Commercial Banks in Arkansas

Reporting Period End Date	03/31/2021
Number of Banks in Peer Group	85

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
10849	15050	NM	FIRST STATE BANK	LONOKE	AR	6	262,612	696
12946	1291	SM	FARMERS BANK & TRUST COMPANY	MAGNOLIA	AR	16	1,810,955	6,319
22048	1753	NM	UNION BANK & TRUST COMPANY	MONTICELLO	AR	3	255,327	937
23643	90	SM	COMMERCIAL BANK & TRUST COMPANY	MONTICELLO	AR	1	239,690	752
27847	1527	SM	DIAMOND BANK	MURFREESBORO	AR	16	708,649	2,241
29476	31711	NM	RIVERBANK	POCAHONTAS	AR	3	95,668	140
33147	1027	SM	FARMERS BANK AND TRUST COMPANY	BLYTHEVILLE	AR	3	318,615	1,375
34742	13083	SM	FIRST WESTERN BANK	BOONEVILLE	AR	11	499,777	1,725
42448	3887	N	FIRST NATIONAL BANK	PARAGOULD	AR	19	1,846,990	5,102
45047	14534	N	FIRST NATIONAL BANK AT PARIS, THE	PARIS	AR	6	224,266	1,029
48374	28905	SM	FIRST FINANCIAL BANK	EL DORADO	AR	17	1,540,447	6,129
49241	19371	N	RELYANCE BANK, NATIONAL ASSOCIATION	PINE BLUFF	AR	19	999,640	2,469
78241	21379	SM	FIRST NATURALSTATE BANK	MCGEHEE	AR	3	78,965	165
86349	14597	SM	UNION BANK OF MENA, THE	MENA	AR	3	318,676	1,584
99143	16464	NM	MERCHANTS & PLANTERS BANK	NEWPORT	AR	8	339,992	394
100843	1294	SM	FNBC BANK	ASH FLAT	AR	12	579,791	2,904
107244	110	NM	BANK OZK	LITTLE ROCK	AR	233	26,969,304	148,416
114840	13632	SM	FIRST STATE BANK	RUSSELLVILLE	AR	4	393,266	1,360
126049	5634	SM	CONNECT BANK	STAR CITY	AR	5	104,789	657
168571	28812	NM	ARMOR BANK	FORREST CITY	AR	7	242,046	40
173342	5628	SM	PIGGOTT STATE BANK	PIGGOTT	AR	2	112,844	339
192147	8738	SM	CITIZENS BANK & TRUST COMPANY	VAN BUREN	AR	6	478,395	1,888
244149	13303	NM	BANK OF ENGLAND	ENGLAND	AR	6	626,163	16,089
251745	3863	N	FIRST NATIONAL BANK OF EASTERN ARKANSAS	FORREST CITY	AR	14	515,598	786
261940	3869	NM	ANSTAFF BANK	GREEN FOREST	AR	12	873,774	3,085
311144	16282	NM	BANK OF BEARDEN	BEARDEN	AR	1	82,830	77
311845	8728	SM	ARVEST BANK	FAYETTEVILLE	AR	261	24,805,145	87,734
314444	1028	SM	FBT BANK & MORTGAGE	FORDYCE	AR	4	200,347	1,380
325141	1296	NM	FARMERS BANK	GREENWOOD	AR	11	247,342	744
329345	88	NM	GENERATIONS BANK	ROGERS	AR	10	657,830	2,070
335346	15729	NM	PARTNERS BANK	HELENA	AR	7	333,402	516
378044	5619	NM	COMMUNITY STATE BANK	BRADLEY	AR	1	27,991	179
379649	11252	N	FIRST NATIONAL BANK OF IZARD COUNTY	CALICO ROCK	AR	5	186,092	671
397540	3864	N	FIRST NATIONAL BANK OF FORT SMITH, THE	FORT SMITH	AR	14	1,743,275	7,062
400945	5636	NM	BANK OF GRAVETTE	GRAVETTE	AR	3	137,675	156
453446	3873	SM	EAGLE BANK AND TRUST COMPANY	LITTLE ROCK	AR	13	454,393	2,567
455945	99	NM	BANK OF DELIGHT	DELIGHT	AR	3	161,594	446
456045	11241	SM	CENTENNIAL BANK	CONWAY	AR	159	16,667,850	92,566
458142	109	NM	HORATIO STATE BANK	HORATIO	AR	2	240,417	1,003
458544	18519	NM	FIRST SERVICE BANK	GREENBRIER	AR	10	443,362	2,144
466240	16849	NM	FIRST ARKANSAS BANK AND TRUST	JACKSONVILLE	AR	21	889,858	4,814
476445	15547	SM	BANK OF LAKE VILLAGE	LAKE VILLAGE	AR	2	71,543	210
514048	5635	NM	CS BANK	EUREKA SPRINGS	AR	6	438,127	1,684
517049	5615	NM	CHAMBERS BANK	DANVILLE	AR	23	1,091,814	5,235
519146	21805	SM	FIRST STATE BANK OF DEQUEEN	DE QUEEN	AR	6	307,019	1,517
539377	32025	SM	UNITED BANK	SPRINGDALE	AR	4	220,670	682
592448	1299	SM	EVOLVE BANK & TRUST	WEST MEMPHIS	AR	5	674,303	4,229
596642	5629	NM	HOMEBANK OF ARKANSAS	PORTLAND	AR	5	74,422	2
629148	105	SM	BANK OF CAVE CITY	CAVE CITY	AR	5	150,558	421
644842	8735	NM	MERCHANTS AND FARMERS BANK	DUMAS	AR	2	176,137	430
663245	3890	SM	SIMMONS BANK	PINE BLUFF	AR	199	22,637,594	74,658
673440	5633	NM	FIRST SECURITY BANK	SEARCY	AR	79	7,162,680	29,446
676049	5623	NM	SMACKOVER STATE BANK	SMACKOVER	AR	2	191,186	362
677644	16216	SM	FARMERS & MERCHANTS BANK, THE	STUTTGART	AR	21	1,667,792	3,083
691042	107	NM	MERCHANTS & PLANTERS BANK, THE	CLARENDON	AR	1	43,315	5
705444	3858	SM	ARKANSAS COUNTY BANK	DEWITT	AR	3	191,791	404
712648	12531	NM	PEOPLES BANK, THE	MAGNOLIA	AR	3	215,861	1,266
733540	8730	SM	GATEWAY BANK	RISON	AR	2	88,940	356
741648	16395	NM	SECURITY BANK	STEPHENS	AR	1	67,723	257
748441	81	SM	WARREN BANK AND TRUST COMPANY	WARREN	AR	2	133,698	204
799948	3896	N	FIRST NATIONAL BANK OF LAWRENCE COUNTY AT WALNUT RIDGE, THE	WALNUT RIDGE	AR	6	270,861	436
843542	94	SM	FIRST STATE BANK OF WARREN	WARREN	AR	3	120,263	172
848248	19644	SM	FIDELITY BANK	WEST MEMPHIS	AR	4	496,456	1,551
852544	1528	SM	SOUTHERN BANCORP BANK	ARKADELPHIA	AR	40	1,698,247	4,124
855143	15035	NM	RIVERWIND BANK	AUGUSTA	AR	3	131,141	155
856748	17211	SM	CITIZENS BANK, THE	BATESVILLE	AR	19	1,104,388	1,911
864846	3854	N	FIRST NATIONAL BANK OF NORTH ARKANSAS	BERRYVILLE	AR	10	241,297	927
897648	11242	NM	MCGEHEE BANK	MCGEHEE	AR	1	143,406	744
