List of Banks in Peer Group -- AZCOM All Insured Commercial Banks in Arizona

Reporting Period End Date	09/30/2018
Number of Banks in Peer Group	15

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
3634394	58402	NM	METRO PHOENIX BANK	PHOENIX	AZ	1	183,624	2,374
3596894	58271	NM	REPUBLIC BANK OF ARIZONA	PHOENIX	AZ	1	115,569	781
3667132	58678	NM	GATEWAY COMMERCIAL BANK	MESA	AZ	1	123,327	986
3592047	58405	N	GOLDWATER BANK, NATIONAL ASSOCIATION	PHOENIX	AZ	1	157,758	-1,325
3383599	58186	NM	PINNACLE BANK	SCOTTSDALE	AZ	4	205,296	388
3187612	57620	NM	ARIZONA BANK & TRUST	PHOENIX	AZ	7	643,078	8,387
1897270	33508	NM	STATE BANK OF ARIZONA	LAKE HAVASU CITY	AZ	9	637,309	6,582
2963275	57137	NM	MISSION BANK	KINGMAN	AZ	3	110,093	609
2358769	57197	N	BNC NATIONAL BANK	GLENDALE	AZ	13	971,738	6,736
3048487	57298	NM	1ST BANK YUMA	YUMA	AZ	5	323,670	3,260
3154780	57411	NM	HORIZON COMMUNITY BANK	LAKE HAVASU CITY	AZ	5	280,796	1,600
3480069	58426	N	WEST VALLEY NATIONAL BANK	GOODYEAR	AZ	3	54,199	-580
3131400	57279	NM	COMMERCE BANK OF ARIZONA, INC.	TUCSON	AZ	4	197,535	1,516
3138146	57512	SM	WESTERN ALLIANCE BANK	PHOENIX	AZ	38	20,976,432	331,864
2919423	35547	N	CANYON COMMUNITY BANK, NATIONAL ASSOCIATION	TUCSON	AZ	2	96,972	-615
