List of Banks in Peer Group -- BKR Bankers banks

Reporting Period End Date	06/30/2014
Number of Banks in Peer Group	16

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2451240	34252	SM	PACIFIC COAST BANKERS' BANK	WALNUT CREEK	CA	1	576,862	2,305
732758	23210	SM	BANKERS' BANK OF THE WEST	DENVER	CO	1	332,332	2,398
2722173	34858	SM	BANKERS BANK NORTHEAST	GLASTONBURY	CT	1	139,341	95
190639	24642	SM	INDEPENDENT BANKERS' BANK OF FLORIDA	LAKE MARY	FL	1	182,216	-679
1218446	27351	SM	BANKERS' BANK OF KANSAS	WICHITA	KS	1	167,097	433
1187551	27219	SM	BANKERS' BANK OF KENTUCKY, INC., THE	FRANKFORT	KY	1	63,136	84
734538	25247	N	FIRST NATIONAL BANKERS BANK	BATON ROUGE	LA	4	795,926	2,005
3284100	57821	NM	MARYLAND FINANCIAL BANK	TOWSON	MD	1	60,443	-35
930358	22180	SM	UNITED BANKERS BANK	BLOOMINGTON	MN	1	712,249	2,639
977250	25849	SM	MIDWEST INDEPENDENT BANK	JEFFERSON CITY	MO	2	350,704	529
155517	24493	SM	GREAT LAKES BANKERS BANK	WORTHINGTON	OH	1	99,391	157
859655	26677	SM	BANKERS BANK, THE	OKLAHOMA CITY	OK	1	209,720	90
959715	24829	SM	ATLANTIC COMMUNITY BANKERS BANK	CAMP HILL	PA	1	565,236	2,258
529958	23647	SM	TIB THE INDEPENDENT BANKERSBANK	IRVING	TX	5	2,355,601	9,434
77422	26871	SM	COMMUNITY BANKERS' BANK	MIDLOTHIAN	VA	1	146,521	283
408642	23537	SM	BANKERS' BANK	MADISON	WI	1	443,062	1,815
