List of Banks in Peer Group -- CACOM All Insured Commercial Banks in California

Reporting Period End Date	09/30/2017
Number of Banks in Peer Group	163

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
63069	17281	N	CITY NATIONAL BANK	LOS ANGELES	CA	72	46,217,320	295,874
398668	23472	N	BANK OF NEW YORK MELLON TRUST COMPANY, NATIONAL ASSOCIATION, THE	LOS ANGELES	CA	1	2,116,608	74,551
403067	25644	N	TRANS PACIFIC NATIONAL BANK	SAN FRANCISCO	CA	3	130,969	1,068
519360	23749	N	MISSION NATIONAL BANK	SAN FRANCISCO	CA	3	288,593	1,865
534466	25869	NM	METROPOLITAN BANK	OAKLAND	CA	4	157,909	1,603
733661	25803	NM	RANCHO SANTA FE THRIFT AND LOAN ASSOCIATION	SAN MARCOS	CA	1	78,860	687
735768	24655	NM	AMERICAN RIVER BANK	SACRAMENTO	CA	11	648,665	3,862
739560	19222	NM	FREMONT BANK	FREMONT	CA	20	3,701,790	38,213
855563	25726	NM	MURPHY BANK	FRESNO	CA	1	244,073	4,330
871769	1225	SM	FARMERS AND MERCHANTS BANK OF LONG BEACH	LONG BEACH	CA	24	6,876,317	53,305
930965	18618	NM	MANUFACTURERS BANK	LOS ANGELES	CA	10	2,580,583	12,176
933863	24074	NM	REDDING BANK OF COMMERCE	REDDING	CA	9	1,180,077	8,983
933966	21716	NM	CITIZENS BUSINESS BANK	ONTARIO	CA	50	8,277,457	88,688
936462	1768	NM	MECHANICS BANK	WALNUT CREEK	CA	35	5,559,511	24,607
962966	26881	N	GOLDEN PACIFIC BANK, NATIONAL ASSOCIATION	SACRAMENTO	CA	3	125,427	770
972769	22366	NM	GBC INTERNATIONAL BANK	LOS ANGELES	CA	8	486,090	2,150
1216826	27330	SM	SILVERGATE BANK	LA JOLLA	CA	5	1,037,062	6,451
1377521	27477	N	MERCHANTS BANK OF CALIFORNIA, NATIONAL ASSOCIATION	CARSON	CA	1	40,057	-6,869
1412712	27572	N	COMMUNITY WEST BANK, NATIONAL ASSOCIATION	GOLETA	CA	7	753,179	4,810
1418255	32908	NM	TUSTIN COMMUNITY BANK	TUSTIN	CA	1	74,381	867
1436204	32779	NM	BANK OF MARIN	CORTE MADERA	CA	22	2,079,129	15,782
1443266	25178	N	BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION	SAN FRANCISCO	CA	1	22,540,333	275,000
1462986	33013	N	ASIAN PACIFIC NATIONAL BANK	SAN GABRIEL	CA	2	57,693	380
1864197	33457	SM	OAK VALLEY COMMUNITY BANK	OAKDALE	CA	16	994,258	7,670
1918344	33539	NM	PREFERRED BANK	LOS ANGELES	CA	12	3,451,007	35,668
2047504	33806	NM	OPUS BANK	IRVINE	CA	53	7,693,747	46,442
2209553	33905	SM	HERITAGE BANK OF COMMERCE	SAN JOSE	CA	11	2,696,527	24,051
2297998	34010	NM	EVERTRUST BANK	PASADENA	CA	7	848,270	7,363
2332910	34496	NM	FIRST COMMERCIAL BANK (U.S.A)	ALHAMBRA	CA	6	525,696	5,845
2333140	34548	N	NEIGHBORHOOD NATIONAL BANK	SAN DIEGO	CA	3	59,852	-469
2483438	34210	NM	COMMUNITY BANK OF THE BAY	OAKLAND	CA	2	275,704	1,180
2717012	34940	SM	PACIFIC MERCANTILE BANK	COSTA MESA	CA	5	1,151,197	7,385
2734729	34788	NM	AMERICAN BUSINESS BANK	LOS ANGELES	CA	1	1,846,757	10,853
2736714	34805	SM	MISSION BANK	BAKERSFIELD	CA	7	576,439	4,826
2854494	35069	N	SOUTH COUNTY BANK, NATIONAL ASSOCIATION	RANCHO SANTA MARGARITA	CA	4	167,275	1,236
2867337	35361	NM	FIVE STAR BANK	ROCKLIN	CA	6	887,627	15,977
2907439	35331	N	CALIFORNIA FIRST NATIONAL BANK	IRVINE	CA	1	732,956	6,540
2925620	35366	N	CHINO COMMERCIAL BANK, NATIONAL ASSOCIATION	CHINO	CA	3	183,771	1,406
2997216	57073	NM	COMMUNITY BANK OF SANTA MARIA	SANTA MARIA	CA	3	259,314	1,298
3028902	57098	NM	PREMIER VALLEY BANK	FRESNO	CA	8	813,010	6,786
3039636	57101	NM	MISSION VALLEY BANK	SUN VALLEY	CA	2	321,651	3,443
3052813	57176	SM	COMMERCEWEST BANK	IRVINE	CA	2	511,712	3,932
3076284	57120	NM	UNITI BANK	BUENA PARK	CA	3	284,800	2,059
3076453	57044	N	BANK OF SOUTHERN CALIFORNIA, NATIONAL ASSOCIATION	SAN DIEGO	CA	7	435,072	2,830
3143805	57065	SM	PACIFIC COMMERCE BANK	LOS ANGELES	CA	6	529,217	4,426
3161144	57447	NM	UNITED AMERICAN BANK	SAN MATEO	CA	3	311,091	2,980
3189063	57417	NM	COMMERCIAL BANK OF CALIFORNIA	IRVINE	CA	6	813,638	4,268
3194638	57428	SM	SEACOAST COMMERCE BANK	SAN DIEGO	CA	3	597,919	4,696
1162017	27132	SM	UNITED SECURITY BANK	FRESNO	CA	12	795,596	7,668
996260	19416	NM	CTBC BANK CORP. (USA)	LOS ANGELES	CA	12	3,087,012	20,067
877369	23364	N	RABOBANK, NATIONAL ASSOCIATION	ROSEVILLE	CA	101	13,777,333	77,000
852263	10781	NM	SCOTT VALLEY BANK	YREKA	CA	12	670,170	4,482
808260	1331	NM	FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA	LODI	CA	24	2,972,194	25,391
804963	3514	NM	BANK OF THE WEST	SAN FRANCISCO	CA	542	85,011,252	416,067
802866	24735	SM	SILICON VALLEY BANK	SANTA CLARA	CA	6	46,852,546	358,796
770367	24315	NM	COMMUNITY BANK	PASADENA	CA	17	3,680,613	26,282
754068	25249	N	FIRST NATIONAL BANK OF SOUTHERN CALIFORNIA	RIVERSIDE	CA	3	238,679	3,521
703767	23030	NM	CENTRAL VALLEY COMMUNITY BANK	FRESNO	CA	23	1,436,882	14,259
697763	3430	SM	WESTAMERICA BANK	SAN RAFAEL	CA	82	5,363,777	46,018
696168	26704	NM	BALBOA THRIFT AND LOAN ASSOCIATION	CHULA VISTA	CA	4	251,689	1,024
685368	8472	NM	BANK OF RIO VISTA	RIO VISTA	CA	3	216,981	1,984
676160	21851	N	FAR EAST NATIONAL BANK	LOS ANGELES	CA	9	1,211,411	2,083
671464	26610	NM	BANK OF HOPE	LOS ANGELES	CA	65	13,531,792	126,429
670467	23275	NM	PLUMAS BANK	QUINCY	CA	13	679,488	7,304
662369	22597	NM	BANK OF THE SIERRA	PORTERVILLE	CA	35	2,022,359	15,671
657365	24170	NM	HANMI BANK	LOS ANGELES	CA	40	4,881,266	47,108
609467	23805	NM	UNITED PACIFIC BANK	CITY OF INDUSTRY	CA	2	127,070	661
595869	18503	NM	CATHAY BANK	LOS ANGELES	CA	59	14,049,986	149,714
561574	32203	NM	SUMMIT STATE BANK	SANTA ROSA	CA	5	528,427	2,813
514066	21956	NM	MONTECITO BANK & TRUST	SANTA BARBARA	CA	10	1,335,734	12,231
507068	8468	NM	EXCHANGE BANK	SANTA ROSA	CA	19	2,219,921	19,799
497570	32178	NM	LUTHER BURBANK SAVINGS	SANTA ROSA	CA	9	5,491,678	54,712
494261	24045	NM	PACIFIC WESTERN BANK	BEVERLY HILLS	CA	75	21,851,650	268,070
479268	1536	NM	BANK OF STOCKTON	STOCKTON	CA	19	2,670,685	27,663
478766	23754	SM	LIBERTY BANK	SOUTH SAN FRANCISCO	CA	3	274,466	952
431172	32172	SM	PACIFIC PREMIER BANK	IRVINE	CA	26	6,402,329	49,790
351560	23864	NM	SUMMIT BANK	OAKLAND	CA	3	251,337	1,860
300063	23086	N	NEW OMNI BANK, NATIONAL ASSOCIATION	ALHAMBRA	CA	2	434,146	2,932
299868	26363	NM	COMMUNITY COMMERCE BANK	CLAREMONT	CA	5	192,599	2,117
297761	22460	NM	MONTEREY COUNTY BANK	MONTEREY	CA	4	183,139	1,594
253468	18983	NM	RIVER CITY BANK	SACRAMENTO	CA	13	1,908,251	15,269
249564	3502	N	MERCHANTS NATIONAL BANK OF SACRAMENTO, THE	SACRAMENTO	CA	1	214,716	971
212465	22826	N	MUFG UNION BANK, NATIONAL ASSOCIATION	SAN FRANCISCO	CA	355	116,435,436	649,290
209362	24211	N	BANK OF WHITTIER, NATIONAL ASSOCIATION	WHITTIER	CA	2	58,784	163
206772	32277	NM	EASTERN INTERNATIONAL BANK	LOS ANGELES	CA	2	113,210	452
200378	35498	N	BANC OF CALIFORNIA, NATIONAL ASSOCIATION	SANTA ANA	CA	35	10,639,501	65,254
197478	31628	SM	EAST WEST BANK	PASADENA	CA	118	35,281,365	419,016
183668	21606	NM	BANK OF HEMET, THE	RIVERSIDE	CA	6	677,813	11,451
167565	25890	NM	WELLS FARGO BANK, LTD.	LOS ANGELES	CA	1	745,893	16,965
167060	18767	N	FIRST NATIONAL BANK OF NORTHERN CALIFORNIA	SOUTH SAN FRANCISCO	CA	12	1,248,924	10,196
146663	8011	NM	SAVINGS BANK OF MENDOCINO COUNTY	UKIAH	CA	9	1,057,927	8,377
140362	20164	NM	SUNWEST BANK	IRVINE	CA	8	1,012,724	11,712
118660	26271	NM	HOME BANK OF CALIFORNIA	SAN DIEGO	CA	1	155,572	3,365
100562	21943	NM	TRI COUNTIES BANK	CHICO	CA	67	4,517,653	38,988
50461	23242	NM	CALIFORNIA PACIFIC BANK	SAN FRANCISCO	CA	2	81,960	1,010
5461	19434	NM	BAC COMMUNITY BANK	STOCKTON	CA	11	600,668	3,915
5069	24332	NM	FIRST CREDIT BANK	WEST HOLLYWOOD	CA	2	487,921	21,004
783161	3440	NM	FIRST NORTHERN BANK OF DIXON	DIXON	CA	10	1,165,457	7,967
780562	25648	N	INTERNATIONAL CITY BANK, NATIONAL ASSOCIATION	LONG BEACH	CA	2	211,137	1,475
779968	23998	NM	STATE BANK OF INDIA (CALIFORNIA)	LOS ANGELES	CA	8	632,166	12,259
777366	20387	SM	BANK OF THE ORIENT	SAN FRANCISCO	CA	8	636,644	3,936
3212402	57463	NM	PACIFIC CITY BANK	LOS ANGELES	CA	13	1,313,000	14,261
3214059	57510	NM	AVIDBANK	PALO ALTO	CA	1	720,764	5,013
3216316	57444	NM	AMERICAN CONTINENTAL BANK	CITY OF INDUSTRY	CA	4	212,655	1,629
3224375	57585	NM	GOLDEN STATE BANK	GLENDALE	CA	2	171,665	1,628
3232204	57903	NM	FIRST COMMUNITY BANK	SANTA ROSA	CA	9	1,331,807	23,970
3235410	57591	NM	SANTA CRUZ COUNTY BANK	SANTA CRUZ	CA	5	601,948	5,913
3247589	57610	NM	REDWOOD CAPITAL BANK	EUREKA	CA	3	334,724	2,511
3281510	57716	SM	UNITED BUSINESS BANK	WALNUT CREEK	CA	18	1,159,867	6,253
3293540	57740	NM	PACIFIC VALLEY BANK	SALINAS	CA	3	244,137	1,353
3302312	57816	NM	BANK OF SANTA CLARITA	SANTA CLARITA	CA	1	318,536	1,445
3320576	57734	N	EH NATIONAL BANK	BEVERLY HILLS	CA	1	225,980	1,121
3337097	57873	SM	COMMONWEALTH BUSINESS BANK	LOS ANGELES	CA	8	954,809	11,130
3338357	57850	NM	OJAI COMMUNITY BANK	OJAI	CA	4	272,049	1,188
3353172	57904	NM	CALIFORNIA UNITED BANK	LOS ANGELES	CA	9	3,088,847	25,607
3357219	57944	NM	OPEN BANK	LOS ANGELES	CA	7	801,503	7,352
3357385	58069	NM	BANK OF SAN FRANCISCO	SAN FRANCISCO	CA	1	244,889	1,299
3374878	57966	NM	FIRST CHOICE BANK	CERRITOS	CA	5	878,047	6,400
3383076	58004	NM	TRI-VALLEY BANK	SAN RAMON	CA	2	141,853	3,634
3386264	58060	NM	FIRST GENERAL BANK	ROWLAND HEIGHTS	CA	5	882,354	10,698
3388482	58281	NM	AMERICAN RIVIERA BANK	SANTA BARBARA	CA	4	477,207	3,501
3390337	58037	NM	CALIFORNIA BUSINESS BANK	IRVINE	CA	1	83,704	-1,237
3392292	58159	NM	COMMUNITY BUSINESS BANK	WEST SACRAMENTO	CA	2	310,356	3,051
3394380	57974	N	CALIFORNIA INTERNATIONAL BANK, N.A.	ROSEMEAD	CA	2	55,955	-1,357
3398100	58325	SM	PRESIDIO BANK	SAN FRANCISCO	CA	5	724,065	4,875
3398623	58090	NM	FRESNO FIRST BANK	FRESNO	CA	1	357,825	2,829
3400928	58100	NM	PLAZA BANK	IRVINE	CA	7	1,205,018	12,870
3409462	58191	NM	COMMUNITY 1ST BANK	AUBURN	CA	3	380,501	2,008
3435948	58224	N	NORTHERN CALIFORNIA NATIONAL BANK	CHICO	CA	1	216,583	1,231
3440803	58278	NM	GOLDEN VALLEY BANK	CHICO	CA	1	217,310	1,401
3451050	58276	NM	RIVER VALLEY COMMUNITY BANK	YUBA CITY	CA	2	326,182	2,117
3453737	58275	SM	ALTAPACIFIC BANK	SANTA ROSA	CA	6	399,727	3,581
3455227	58297	NM	PINNACLE BANK	MORGAN HILL	CA	4	313,447	2,422
3459346	58261	NM	PREMIER BUSINESS BANK	LOS ANGELES	CA	6	530,735	3,924
3464368	58138	N	BANK OF NAPA, NATIONAL ASSOCIATION	NAPA	CA	1	249,096	1,351
3470154	58310	NM	US METRO BANK	GARDEN GROVE	CA	5	237,845	6,220
3470930	58218	SM	FRIENDLY HILLS BANK	WHITTIER	CA	2	145,751	525
3471209	58329	NM	NEW RESOURCE BANK	SAN FRANCISCO	CA	1	350,056	1,429
3485420	58411	SM	CORNERSTONE COMMUNITY BANK	RED BLUFF	CA	3	207,883	1,653
3488980	58360	NM	AMERICAS UNITED BANK	GLENDALE	CA	5	233,771	1,227
3490871	58415	SM	PACIFIC ENTERPRISE BANK	IRVINE	CA	1	488,232	2,692
3545258	58291	NM	SAN DIEGO PRIVATE BANK	CORONADO	CA	5	551,791	3,869
3546862	58234	NM	PACIFIC ALLIANCE BANK	ROSEMEAD	CA	2	262,591	1,721
3590977	58503	NM	FOLSOM LAKE BANK	FOLSOM	CA	3	201,074	-1,149
3594797	58485	NM	1ST CAPITAL BANK	SALINAS	CA	5	559,150	2,665
3597305	58462	SM	CAPITAL BANK	SAN JUAN CAPISTRANO	CA	2	302,689	4,845
3608751	58490	NM	BENEFICIAL STATE BANK	OAKLAND	CA	10	711,491	-175
3614958	58583	NM	CALIFORNIA BANK OF COMMERCE	LAFAYETTE	CA	3	788,783	5,787
3620539	58630	NM	BANK OF FEATHER RIVER	YUBA CITY	CA	1	99,819	692
3623110	58469	N	AMERICAN PLUS BANK, NATIONAL ASSOCIATION	ARCADIA	CA	3	472,179	4,970
3635029	58590	NM	COMMERCE BANK OF TEMECULA VALLEY	MURRIETA	CA	1	75,974	308
3637685	58647	NM	FIRST FOUNDATION BANK	IRVINE	CA	12	3,793,360	25,500
3637706	58500	NM	COMMUNITY VALLEY BANK	EL CENTRO	CA	5	159,344	1,266
3640283	58390	NM	GRANDPOINT BANK	LOS ANGELES	CA	14	3,220,139	26,030
3648337	58646	NM	LIGHTHOUSE BANK	SANTA CRUZ	CA	1	235,870	2,473
3655933	58588	NM	PARTNERS BANK OF CALIFORNIA	MISSION VIEJO	CA	1	186,969	479
3690635	58401	NM	MEGA BANK	SAN GABRIEL	CA	6	328,099	1,495
3750650	58728	NM	SUNCREST BANK	VISALIA	CA	5	472,527	3,274
3835454	58816	NM	ROYAL BUSINESS BANK	LOS ANGELES	CA	13	1,505,361	22,270
3885123	58828	NM	VALLEY REPUBLIC BANK	BAKERSFIELD	CA	4	619,001	4,319
3918898	58978	N	CIT BANK, NATIONAL ASSOCIATION	PASADENA	CA	70	43,174,866	363,915
4114567	59017	NM	FIRST REPUBLIC BANK	SAN FRANCISCO	CA	71	77,689,758	563,383
5086072	59094	NM	BLUE GATE BANK	COSTA MESA	CA	1	69,095	-3,725
