List of Banks in Peer Group -- CASVG All Insured Savings Banks in California

Reporting Period End Date	09/30/2013
Number of Banks in Peer Group	18

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
631570	30879	SI	PROVIDENT SAVINGS BANK, F.S.B.	RIVERSIDE	CA	15	1,201,021	12,000
2921659	35164	SI	CAPITAL BANK AND TRUST COMPANY	IRVINE	CA	1	80,736	10,755
208570	30722	SI	UNIVERSAL BANK	WEST COVINA	CA	5	338,451	140
773470	32282	SI	MALAGA BANK, FSB	PALOS VERDES ESTATES	CA	5	848,980	9,321
3918898	58978	SI	ONEWEST BANK, FSB	PASADENA	CA	75	25,231,350	221,286
200378	35498	SI	PACIFIC TRUST BANK	IRVINE	CA	18	1,898,880	9,525
109686	35448	SI	SIMPLICITY BANK	GLENDORA	CA	6	860,899	4,960
2917317	35546	SI	BOFI FEDERAL BANK	SAN DIEGO	CA	1	2,940,446	35,887
26176	30306	SI	BROADWAY FEDERAL BANK, F.S.B.	LOS ANGELES	CA	3	355,322	-501
497570	32178	SI	LUTHER BURBANK SAVINGS	SANTA ROSA	CA	8	3,623,144	45,575
2704740	34738	SI	FRONTIER BANK, FSB DBA EL PASEO BANK	PALM DESERT	CA	3	182,391	-1,480
1883321	26312	SI	FIRST AMERICAN TRUST, FSB	SANTA ANA	CA	9	1,875,747	12,212
229070	31406	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF SAN RAFAEL	SAN RAFAEL	CA	5	172,068	614
1493319	33103	SI	GATEWAY BANK, F.S.B.	OAKLAND	CA	3	219,668	-2,908
3708222	58706	SI	WEDBUSH BANK	LOS ANGELES	CA	1	255,264	1,534
3608751	58490	SI	ONE PACIFICCOAST BANK, FSB	OAKLAND	CA	4	294,377	-758
2132370	33114	SI	UNITED LABOR BANK, F.S.B.	OAKLAND	CA	8	276,047	849
961576	30953	SI	EL DORADO SAVINGS BANK, F.S.B.	PLACERVILLE	CA	35	1,825,108	6,146
