List of Banks in Peer Group -- CASVG All Insured Savings Banks in California

Reporting Period End Date	12/31/2013
Number of Banks in Peer Group	17

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1493319	33103	SI	GATEWAY BANK, F.S.B.	OAKLAND	CA	3	217,661	-3,742
3708222	58706	SI	WEDBUSH BANK	LOS ANGELES	CA	1	252,971	2,268
3608751	58490	SI	ONE PACIFICCOAST BANK, FSB	OAKLAND	CA	4	297,608	14
2132370	33114	SI	UNITED LABOR BANK, F.S.B.	OAKLAND	CA	9	293,884	2,676
961576	30953	SI	EL DORADO SAVINGS BANK, F.S.B.	PLACERVILLE	CA	35	1,835,515	9,834
109686	35448	SI	SIMPLICITY BANK	GLENDORA	CA	7	856,710	6,369
2917317	35546	SI	BOFI FEDERAL BANK	SAN DIEGO	CA	1	3,039,098	49,896
631570	30879	SI	PROVIDENT SAVINGS BANK, F.S.B.	RIVERSIDE	CA	15	1,189,068	13,740
2921659	35164	SI	CAPITAL BANK AND TRUST COMPANY	IRVINE	CA	1	78,187	14,738
208570	30722	SI	UNIVERSAL BANK	WEST COVINA	CA	5	334,185	306
773470	32282	SI	MALAGA BANK, FSB	PALOS VERDES ESTATES	CA	5	855,037	12,300
3918898	58978	SI	ONEWEST BANK, FSB	PASADENA	CA	75	24,788,132	305,010
497570	32178	SI	LUTHER BURBANK SAVINGS	SANTA ROSA	CA	8	3,626,894	60,095
2704740	34738	SI	FRONTIER BANK, FSB DBA EL PASEO BANK	PALM DESERT	CA	2	169,918	-698
1883321	26312	SI	FIRST AMERICAN TRUST, FSB	SANTA ANA	CA	9	1,960,224	15,325
229070	31406	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF SAN RAFAEL	SAN RAFAEL	CA	5	172,643	809
26176	30306	SI	BROADWAY FEDERAL BANK, F.S.B.	LOS ANGELES	CA	3	350,447	-148
