List of Banks in Peer Group -- COCOM All Insured Commercial Banks in Colorado

Reporting Period End Date	06/30/2022
Number of Banks in Peer Group	64

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
63050	17959	NM	DOLORES STATE BANK, THE	DOLORES	CO	4	365,906	2,442
67254	27010	NM	YOUNG AMERICANS BANK	DENVER	CO	2	23,047	-817
98351	1779	NM	CITIZENS STATE BANK OF OURAY, THE	OURAY	CO	5	168,514	453
106452	12594	NM	PUEBLO BANK AND TRUST COMPANY, THE	PUEBLO	CO	10	639,045	4,467
191355	14730	NM	FRONTIER BANK	LAMAR	CO	7	404,437	3,488
247551	3017	SM	HIGH PLAINS BANK	FLAGLER	CO	6	333,051	1,565
249658	3019	NM	ROCKY MOUNTAIN BANK AND TRUST	FLORENCE	CO	2	100,194	345
255659	16980	NM	BANK OF COLORADO	FORT COLLINS	CO	49	6,698,454	31,705
257756	23764	SM	FMS BANK	FORT MORGAN	CO	2	264,293	2,265
260055	23091	NM	ALPINE BANK	GLENWOOD SPRINGS	CO	38	6,235,484	32,427
276551	3029	N	FIRST NATIONAL BANK OF HUGO	HUGO	CO	3	148,663	464
285151	1141	SM	COLORADO BANK AND TRUST COMPANY OF LA JUNTA, THE	LA JUNTA	CO	2	184,772	1,399
288853	18714	SM	FIRSTBANK	LAKEWOOD	CO	103	29,064,271	184,127
306056	3018	N	FIRST NATIONAL BANK OF FLEMING, THE	FLEMING	CO	1	28,461	156
350750	18710	NM	NORTH VALLEY BANK	THORNTON	CO	2	227,376	2,810
357553	3063	N	FIRST PIONEER NATIONAL BANK	WRAY	CO	2	246,384	1,007
387055	1778	NM	STATE BANK, THE	LA JUNTA	CO	3	131,040	432
399357	11261	NM	MCCLAVE STATE BANK	MC CLAVE	CO	1	47,982	465
403254	13986	N	TRANSACT BANK, NATIONAL ASSOCIATION	DENVER	CO	1	15,480	-991
444556	3031	NM	POINTS WEST COMMUNITY BANK	WINDSOR	CO	20	855,142	4,877
455253	91005	NM	5STAR BANK	COLORADO SPRINGS	CO	5	382,120	3,006
474058	14584	N	FIRST NATIONAL BANK IN TRINIDAD	TRINIDAD	CO	3	276,418	415
474759	4767	N	SUNFLOWER BANK, NATIONAL ASSOCIATION	DENVER	CO	74	6,421,665	12,261
475653	17411	SM	MOUNTAIN VALLEY BANK	WALDEN	CO	7	488,911	1,173
479370	29783	SM	HIGH COUNTRY BANK	SALIDA	CO	5	449,465	1,777
480059	19381	NM	PARK STATE BANK & TRUST	WOODLAND PARK	CO	1	146,318	487
499154	90040	NM	HOME LOAN STATE BANK	GRAND JUNCTION	CO	2	201,486	521
502559	11259	SM	GUNNISON BANK AND TRUST COMPANY, THE	GUNNISON	CO	2	220,402	1,375
513256	3034	N	FIRST NATIONAL BANK OF LAS ANIMAS	LAS ANIMAS	CO	7	574,169	5,090
541754	22447	NM	WRAY STATE BANK	WRAY	CO	3	195,796	832
550354	19351	NM	BANK OF ESTES PARK	ESTES PARK	CO	3	165,429	580
587752	3047	N	FIRST COLORADO NATIONAL BANK	PAONIA	CO	2	84,411	336
621151	10407	NM	FARMERS STATE BANK OF BRUSH, THE	BRUSH	CO	2	123,862	567
643658	17782	N	PIKES PEAK NATIONAL BANK	COLORADO SPRINGS	CO	4	118,417	-116
651756	17244	NM	BANK OF DENVER, THE	DENVER	CO	4	290,051	910
664653	27026	N	NATIVE AMERICAN BANK, NATIONAL ASSOCIATION	DENVER	CO	2	173,622	391
775054	16125	NM	EASTERN COLORADO BANK, THE	CHEYENNE WELLS	CO	6	583,160	4,487
869953	13947	NM	ALAMOSA STATE BANK	ALAMOSA	CO	1	354,901	1,968
956956	1780	NM	FARMERS STATE BANK OF CALHAN	CALHAN	CO	3	380,135	2,540
968155	17872	N	FIRST NATIONAL BANK, CORTEZ	CORTEZ	CO	1	134,764	-137
982553	8321	NM	STOCKMENS BANK	COLORADO SPRINGS	CO	11	458,459	2,572
2317672	34040	SM	FIRST AMERICAN STATE BANK	GREENWOOD VILLAGE	CO	1	256,319	34
2515320	34401	NM	FORTIS PRIVATE BANK	DENVER	CO	3	1,121,530	4,970
2806635	35407	NM	YAMPA VALLEY BANK	STEAMBOAT SPRINGS	CO	2	519,729	4,774
2901558	57031	NM	CHAMPION BANK	PARKER	CO	1	79,272	85
3015939	57295	N	AMG NATIONAL TRUST BANK	BOULDER	CO	2	636,289	7,003
3020447	57335	SM	FARMERS BANK	AULT	CO	2	306,943	2,355
3022610	57280	SM	FLATIRONS BANK	BOULDER	CO	2	301,516	2,130
3158546	57607	NM	FIRST WESTERN TRUST BANK	DENVER	CO	13	2,553,005	10,691
3160978	57587	NM	INTEGRITY BANK & TRUST	MONUMENT	CO	4	325,447	1,942
3224302	57741	NM	FIRST SOUTHWEST BANK	ALAMOSA	CO	6	443,480	1,332
3271986	57857	NM	TIMBERLINE BANK	GRAND JUNCTION	CO	3	656,943	2,233
3322468	58025	SM	VERUS BANK OF COMMERCE	FORT COLLINS	CO	1	250,113	1,621
3397233	58534	N	SOLERA NATIONAL BANK	LAKEWOOD	CO	1	749,964	8,366
3411773	58508	NM	FIRST FARMBANK	GREELEY	CO	5	349,253	1,599
3465226	58458	NM	HTLF BANK	DENVER	CO	19	2,728,135	14,977
3591004	58826	NM	REDSTONE BANK	CENTENNIAL	CO	2	224,115	809
3617856	58732	NM	COMMUNITY STATE BANK	LAMAR	CO	2	159,281	1,197
3636259	58772	NM	MOUNTAIN VIEW BANK OF COMMERCE	WESTMINSTER	CO	1	168,294	937
4210227	59052	SM	NBH BANK	GREENWOOD VILLAGE	CO	80	7,100,043	42,417
828651	19220	SM	ANB BANK	DENVER	CO	29	3,488,702	28,974
433859	12372	NM	FOWLER STATE BANK	FOWLER	CO	1	123,373	681
427858	23404	N	EVERGREEN NATIONAL BANK	EVERGREEN	CO	4	147,832	48
809856	15759	SM	BANK OF BURLINGTON	BURLINGTON	CO	2	81,207	547
