List of Banks in Peer Group -- COSVG All Insured Savings Banks in Colorado

Reporting Period End Date	09/30/2012
Number of Banks in Peer Group	10

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
206473	30707	SI	EQUITABLE SAVINGS AND LOAN ASSOCIATION	STERLING	CO	10	180,176	1,178
313175	29439	SI	MORGAN FEDERAL BANK	FORT MORGAN	CO	1	103,940	601
388874	30388	SI	GUNNISON SAVINGS AND LOAN ASSOCIATION	GUNNISON	CO	2	106,554	107
945071	28208	SI	SAN LUIS VALLEY FEDERAL BANK	ALAMOSA	CO	3	242,602	1,359
1718469	33111	SI	COLORADO FEDERAL SAVINGS BANK	GREENWOOD VILLAGE	CO	1	1,700,794	4,261
3148033	57531	SI	GRAND MOUNTAIN BANK, FSB	GRANBY	CO	4	99,327	-915
401072	28860	SI	CENTURY SAVINGS AND LOAN ASSOCIATION	TRINIDAD	CO	1	104,738	214
705378	29066	SI	DEL NORTE BANK	DEL NORTE	CO	1	48,289	374
256076	28315	SI	RIO GRANDE SAVINGS AND LOAN ASSOCIATION	MONTE VISTA	CO	3	96,962	55
759072	30890	SI	AURORA BANK FSB	LITTLETON	CO	2	2,505,354	-216,775
