List of Banks in Peer Group -- CRC All credit card specialty banks

Reporting Period End Date	06/30/2009
Number of Banks in Peer Group	21

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2721877	34551	N	CREDICARD NATIONAL BANK	TUCSON	AZ	1	14,936	-978
455253	91005	NM	5STAR BANK	COLORADO SPRINGS	CO	3	161,210	-145
1830035	33318	N	FIA CARD SERVICES, NATIONAL ASSOCIATION	WILMINGTON	DE	1	145,669,052	-22,917,214
2980209	57203	NM	BARCLAYS BANK DELAWARE	WILMINGTON	DE	1	11,950,127	-157,747
489913	23702	N	CHASE BANK USA, NATIONAL ASSOCIATION	NEWARK	DE	2	93,871,191	-245,912
30810	5649	NM	DISCOVER BANK	GREENWOOD	DE	1	36,786,223	96,137
2687487	34535	N	TCM BANK, NATIONAL ASSOCIATION	TAMPA	FL	1	144,159	-1,335
3550131	58496	N	WACHOVIA CARD SERVICES, NATIONAL ASSOCIATION	ATLANTA	GA	1	2,746,098	-24,342
2914820	35466	SM	RBC BANK (GEORGIA)	ATLANTA	GA	1	9,794	-67
2689191	34540	N	INFIBANK, N.A.	ATLANTA	GA	1	370,785	-7,642
2931603	57079	NM	WORLD'S FOREMOST BANK	SIDNEY	NE	1	828,344	14,578
3385324	57969	N	TOWN NORTH BANK NEVADA, NATIONAL ASSOCIATION	HENDERSON	NV	1	279,359	-5,076
2502656	34351	NM	USAA SAVINGS BANK	LAS VEGAS	NV	1	6,702,677	112,250
1225761	27389	N	WELLS FARGO FINANCIAL NATIONAL BANK	LAS VEGAS	NV	1	2,529,705	10,244
1391778	27499	N	WORLD FINANCIAL NETWORK NATIONAL BANK	COLUMBUS	OH	1	1,396,826	63,794
526452	1673	NM	1ST FINANCIAL BANK USA	DAKOTA DUNES	SD	2	646,621	-2,823
486752	23360	N	CITIBANK (SOUTH DAKOTA), NATIONAL ASSOCIATION	SIOUX FALLS	SD	1	86,537,433	-504,704
1394676	27471	NM	AMERICAN EXPRESS CENTURION BANK	SALT LAKE CITY	UT	1	25,098,553	291,574
2615190	34519	NM	MERRICK BANK CORPORATION	SOUTH JORDAN	UT	1	1,157,557	-3,837
3224580	57570	NM	WORLD FINANCIAL CAPITAL BANK	SALT LAKE CITY	UT	1	307,086	2,851
2253891	33954	N	CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION	GLEN ALLEN	VA	2	40,125,718	-15,788
