List of Banks in Peer Group -- CTCOM All Insured Commercial Banks in Connecticut

Reporting Period End Date	06/30/2007
Number of Banks in Peer Group	23

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2236821	33928	N	PATRIOT NATIONAL BANK	STAMFORD	CT	16	694,544	1,410
509400	2521	N	CITIZENS NATIONAL BANK, THE	PUTNAM	CT	5	201,579	1,521
1439054	32836	NM	PRIME BANK	ORANGE	CT	1	40,681	283
115100	2526	N	FIRST NATIONAL BANK OF SUFFIELD, THE	SUFFIELD	CT	4	178,213	788
3295928	57858	N	RBS NATIONAL BANK	BRIDGEPORT	CT	1	496,041	3,679
2290887	33999	NM	SIMSBURY BANK AND TRUST COMPANY, INC., THE	SIMSBURY	CT	5	209,612	413
695705	2500	N	FIRST NATIONAL BANK OF LITCHFIELD, THE	LITCHFIELD	CT	9	494,375	1,260
965800	26948	NM	WILTON BANK, THE	WILTON	CT	1	103,086	930
3466988	58307	NM	BANK OF GREENWICH, THE	GREENWICH	CT	1	26,799	-1,279
2858205	35378	NM	VALLEY BANK	BRISTOL	CT	4	185,672	85
2756909	34876	N	CONNECTICUT COMMUNITY BANK, NATIONAL ASSOCIATION	WESTPORT	CT	9	362,522	1,683
2799399	35159	NM	CASTLE BANK AND TRUST COMPANY	MERIDEN	CT	2	60,998	-136
2914905	57041	NM	COMMUNITY'S BANK, THE	BRIDGEPORT	CT	1	28,575	-302
2996536	57138	NM	APPLE VALLEY BANK & TRUST COMPANY, THE	CHESHIRE	CT	3	62,549	-182
110404	18244	N	SUPERIOR SAVINGS OF NEW ENGLAND, NATIONAL ASSOCIATION	BRANFORD	CT	2	1,012,667	3,538
1008209	2496	N	NATIONAL IRON BANK, THE	SALISBURY	CT	4	95,019	256
761806	18221	N	WEBSTER BANK, NATIONAL ASSOCIATION	WATERBURY	CT	178	16,611,406	83,171
3047314	57251	NM	BANK OF SOUTHERN CONNECTICUT, THE	NEW HAVEN	CT	5	120,736	181
3109043	57368	NM	BANK OF NEW CANAAN, THE	NEW CANAAN	CT	2	152,598	219
821906	18467	NM	SALISBURY BANK AND TRUST COMPANY	LAKEVILLE	CT	6	442,074	1,890
3428258	58257	NM	DARIEN ROWAYTON BANK	DARIEN	CT	2	29,653	-1,456
3251081	57690	SM	CONNECTICUT BANK & TRUST COMPANY, THE	HARTFORD	CT	6	149,480	-1,230
3151837	57475	NM	CONNECTICUT RIVER COMMUNITY BANK	WETHERSFIELD	CT	2	130,571	29
