List of Banks in Peer Group -- CTCOM All Insured Commercial Banks in Connecticut

Reporting Period End Date	03/31/2014
Number of Banks in Peer Group	15

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2756909	34876	N	CONNECTICUT COMMUNITY BANK, NATIONAL ASSOCIATION	WESTPORT	CT	9	508,032	-2,889
2236821	33928	N	PATRIOT NATIONAL BANK	STAMFORD	CT	10	537,273	619
3466988	58307	NM	FIRST BANK OF GREENWICH, THE	COS COB	CT	1	146,308	133
509400	2521	N	CITIZENS NATIONAL BANK, THE	PUTNAM	CT	5	407,282	844
2290887	33999	NM	SIMSBURY BANK AND TRUST COMPANY, INC., THE	SIMSBURY	CT	4	406,813	116
821906	18467	NM	SALISBURY BANK AND TRUST COMPANY	LAKEVILLE	CT	8	586,834	615
1008209	2496	N	NATIONAL IRON BANK, THE	SALISBURY	CT	4	109,990	83
3428258	58257	NM	DARIEN ROWAYTON BANK	DARIEN	CT	3	347,564	704
1439054	32836	NM	PRIME BANK	ORANGE	CT	1	71,088	66
3109043	57368	NM	BANKWELL BANK	NEW CANAAN	CT	7	766,219	1,563
3715341	58785	NM	QUINNIPIAC BANK AND TRUST COMPANY	HAMDEN	CT	1	101,769	-44
115100	2526	N	FIRST NATIONAL BANK OF SUFFIELD, THE	SUFFIELD	CT	4	232,508	334
3843392	58952	SM	START COMMUNITY BANK	NEW HAVEN	CT	2	61,116	-471
761806	18221	N	WEBSTER BANK, NATIONAL ASSOCIATION	WATERBURY	CT	166	20,940,793	54,787
939070	28167	SM	EASTERN SAVINGS BANK	NORWICH	CT	4	176,946	-24
