List of Banks in Peer Group -- CTSVG All Insured Savings Banks in Connecticut

Reporting Period End Date	12/31/2015
Number of Banks in Peer Group	26

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
822408	18209	SI	LITCHFIELD BANCORP	LITCHFIELD	CT	5	218,883	850
633501	18203	SI	UNITED BANK	VERNON	CT	52	5,703,292	55,405
311603	18200	SI	DIME BANK	NORWICH	CT	11	771,805	2,386
151872	30365	SI	NAUGATUCK VALLEY SAVINGS AND LOAN	NAUGATUCK	CT	9	501,671	193
545604	18229	SI	NORTHWEST COMMUNITY BANK	WINSTED	CT	6	332,717	1,132
626101	15912	SI	SAVINGS BANK OF DANBURY	DANBURY	CT	15	890,455	6,224
961400	17262	SI	ESSEX SAVINGS BANK	ESSEX	CT	6	339,156	1,085
92676	29632	SI	WINDSOR FEDERAL SAVINGS AND LOAN ASSOCIATION	WINDSOR	CT	6	409,739	2,507
1009804	18208	SI	FARMINGTON BANK	FARMINGTON	CT	24	2,617,125	14,582
587800	17943	SI	LIBERTY BANK	MIDDLETOWN	CT	51	3,861,282	27,294
65205	16636	SI	TORRINGTON SAVINGS BANK, THE	TORRINGTON	CT	8	796,936	3,838
958204	18204	SI	FIRST COUNTY BANK	STAMFORD	CT	17	1,426,887	5,254
882701	18213	SI	FAIRFIELD COUNTY BANK	RIDGEFIELD	CT	17	1,531,542	9,176
443205	18190	SI	UNION SAVINGS BANK	DANBURY	CT	28	2,229,460	12,039
407506	18198	SI	ION BANK	NAUGATUCK	CT	18	1,071,467	3,510
1416279	32957	SI	PRUDENTIAL BANK AND TRUST, FSB	HARTFORD	CT	1	17,108	2,921
113003	18227	SI	STAFFORD SAVINGS BANK	STAFFORD SPRINGS	CT	3	223,852	2,825
820301	18237	SI	JEWETT CITY SAVINGS BANK	JEWETT CITY	CT	5	251,400	1,052
507509	18199	SI	NEWTOWN SAVINGS BANK	NEWTOWN	CT	14	1,031,343	5,037
3664588	58741	SI	FIELDPOINT PRIVATE BANK & TRUST	GREENWICH	CT	1	773,709	2,653
890603	18223	SI	COLLINSVILLE SAVINGS SOCIETY	COLLINSVILLE	CT	2	143,709	366
345309	18238	SI	CHELSEA GROTON BANK	NORWICH	CT	14	966,017	5,496
831008	18194	SI	GUILFORD SAVINGS BANK, THE	GUILFORD	CT	7	608,165	3,675
258306	16101	SI	MILFORD BANK THE	MILFORD	CT	8	399,758	821
120609	18258	SI	THOMASTON SAVINGS BANK	THOMASTON	CT	10	845,480	4,202
2881445	35394	SI	MASSMUTUAL TRUST COMPANY, FSB, THE	ENFIELD	CT	1	70,785	1,671
