List of Banks in Peer Group -- CTSVG All Insured Savings Banks in Connecticut

Reporting Period End Date	03/31/2024
Number of Banks in Peer Group	19

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
958204	18204	SI	FIRST COUNTY BANK	STAMFORD	CT	18	2,220,690	1,363
507509	18199	SI	NEWTOWN SAVINGS BANK	NEWTOWN	CT	16	1,862,981	1,296
345309	18238	SI	CHELSEA GROTON BANK	GROTON	CT	14	1,670,100	7,169
626101	15912	SI	SAVINGS BANK OF DANBURY, THE	DANBURY	CT	17	1,549,545	3,408
92676	29632		WINDSOR FEDERAL BANK	WINDSOR	CT	8	790,737	982
587800	17943	SI	LIBERTY BANK	MIDDLETOWN	CT	60	7,713,919	22,170
65205	16636	SI	TORRINGTON SAVINGS BANK, THE	TORRINGTON	CT	8	931,904	-42
407506	18198	SI	ION BANK	NAUGATUCK	CT	23	2,212,327	4,000
2881445	35394	SI	MASSMUTUAL TRUST COMPANY, FSB, THE	WINDSOR	CT	1	89,688	898
311603	18200	SI	DIME BANK	NORWICH	CT	15	1,195,524	870
113003	18227	SI	STAFFORD SAVINGS BANK	STAFFORD SPRINGS	CT	3	397,694	13,910
820301	18237	SI	JEWETT CITY SAVINGS BANK	JEWETT CITY	CT	7	416,569	926
882701	18213	SI	FAIRFIELD COUNTY BANK	RIDGEFIELD	CT	17	2,000,137	405
831008	18194	SI	GUILFORD SAVINGS BANK, THE	GUILFORD	CT	8	1,145,890	455
258306	16101	SI	MILFORD BANK THE	MILFORD	CT	8	605,880	314
120609	18258	SI	THOMASTON SAVINGS BANK	THOMASTON	CT	15	1,853,468	1,812
545604	18229	SI	NORTHWEST COMMUNITY BANK	WINSTED	CT	13	1,136,440	491
961400	17262	SI	ESSEX SAVINGS BANK	ESSEX	CT	6	505,335	943
443205	18190	SI	UNION SAVINGS BANK	DANBURY	CT	25	3,120,729	3,014
