List of Banks in Peer Group -- DECOM All Insured Commercial Banks in Delaware

Reporting Period End Date	06/30/2010
Number of Banks in Peer Group	18

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1404940	27575	NM	BANK OF NEW CASTLE	NEW CASTLE	DE	1	16,065	7
3592609	58498	NM	MIDCOAST COMMUNITY BANK	WILMINGTON	DE	2	169,016	556
272218	680	SM	WILMINGTON TRUST COMPANY	WILMINGTON	DE	44	9,238,423	-129,829
304913	26392	NM	DEUTSCHE BANK TRUST COMPANY DELAWARE	WILMINGTON	DE	1	456,100	5,824
817824	6384	N	PNC BANK, NATIONAL ASSOCIATION	WILMINGTON	DE	2475	257,320,034	1,206,969
2467670	34193	NM	APPLIED BANK	WILMINGTON	DE	1	318,426	4,034
488318	24867	NM	BNY MELLON TRUST OF DELAWARE	NEWARK	DE	2	295,717	6,775
2791281	34929	NM	FIRST BANK OF DELAWARE	WILMINGTON	DE	2	166,329	798
497404	18409	N	TD BANK, N.A.	WILMINGTON	DE	1098	148,602,844	286,133
3357620	58188	N	HSBC TRUST COMPANY (DELAWARE), NATIONAL ASSOCIATION	WILMINGTON	DE	1	823,008	4,481
26916	22837	N	DELAWARE NATIONAL BANK	GEORGETOWN	DE	13	470,840	1,947
238812	12700	NM	FELTON BANK, THE	FELTON	DE	3	90,070	-775
3446784	58311	NM	COMMUNITY BANK DELAWARE	LEWES	DE	2	106,235	381
2858960	35444	NM	BANCORP BANK, THE	WILMINGTON	DE	1	2,214,437	3,063
323718	4819	N	FIRST NATIONAL BANK OF WYOMING, THE	WYOMING	DE	6	295,512	-494
885225	8810	NM	BANK OF DELMARVA, THE	SEAFORD	DE	10	429,373	373
2158389	33875	NM	CHRISTIANA BANK AND TRUST COMPANY, THE	GREENVILLE	DE	2	225,040	-8,081
1459735	33009	NM	COUNTY BANK	REHOBOTH BEACH	DE	9	399,165	672
