List of Banks in Peer Group -- DECOM All Insured Commercial Banks in Delaware

Reporting Period End Date	03/31/2019
Number of Banks in Peer Group	14

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
722777	29950	N	SANTANDER BANK, NATIONAL ASSOCIATION	WILMINGTON	DE	626	77,445,613	76,350
2467670	34193	NM	APPLIED BANK	WILMINGTON	DE	3	172,291	914
3592609	58498	NM	MIDCOAST COMMUNITY BANK	WILMINGTON	DE	4	248,534	337
3357620	58188	N	HSBC TRUST COMPANY (DELAWARE), NATIONAL ASSOCIATION	WILMINGTON	DE	1	56,446	136
304913	26392	NM	DEUTSCHE BANK TRUST COMPANY DELAWARE	WILMINGTON	DE	1	298,652	2,776
497404	18409	N	TD BANK, N.A.	WILMINGTON	DE	1242	297,919,186	651,937
3446784	58311	NM	COMMUNITY BANK DELAWARE	LEWES	DE	2	201,625	322
817824	6384	N	PNC BANK, NATIONAL ASSOCIATION	WILMINGTON	DE	2335	373,615,878	1,051,432
2858960	35444	NM	BANCORP BANK, THE	WILMINGTON	DE	1	4,441,819	19,816
488318	24867	NM	BNY MELLON TRUST OF DELAWARE	WILMINGTON	DE	1	121,258	1,367
2265456	34069	N	WILMINGTON TRUST, NATIONAL ASSOCIATION	WILMINGTON	DE	2	3,806,654	-21,520
1459735	33009	NM	COUNTY BANK	REHOBOTH BEACH	DE	7	361,593	1,209
1404940	27575	NM	BANK OF NEW CASTLE	NEW CASTLE	DE	1	17,759	72
885225	8810	NM	BANK OF DELMARVA, THE	SEAFORD	DE	14	746,776	1,757
