List of Banks in Peer Group -- FLCOM All Insured Commercial Banks in Florida

Reporting Period End Date	09/30/2024
Number of Banks in Peer Group	81

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2800491	35052	N	HEARTLAND NATIONAL BANK	SEBRING	FL	4	721,974	8,777
3146150	57369	NM	U.S. CENTURY BANK	MIAMI	FL	10	2,517,593	19,026
5724226	59281	NM	GULF COAST BUSINESS BANK	FORT MYERS	FL	1	90,361	-1,815
44433	25258	N	INTERCREDIT BANK, NATIONAL ASSOCIATION	CORAL GABLES	FL	4	612,468	-7,585
577137	26299	N	PACIFIC NATIONAL BANK	MIAMI	FL	3	1,248,410	8,646
1867983	33440	NM	CITIZENS FIRST BANK	THE VILLAGES	FL	18	3,899,649	27,109
853934	17734	NM	DLP BANK	STARKE	FL	3	236,652	2,592
2860039	35212	NM	COMMUNITY BANK OF THE SOUTH	MERRITT ISLAND	FL	3	248,588	1,560
1929247	33555	N	SOUTHSTATE BANK, N.A.	WINTER HAVEN	FL	248	46,156,319	413,480
2873598	35506	NM	CYPRESS BANK & TRUST	MELBOURNE	FL	4	168,501	292
502111	18734	N	NEWTEK BANK, NATIONAL ASSOCIATION	MIAMI	FL	1	763,742	35,233
2233875	33959	N	NATBANK, NATIONAL ASSOCIATION	HOLLYWOOD	FL	4	219,096	177
131436	9620	NM	FIRST BANK	CLEWISTON	FL	7	733,472	6,857
3368635	58030	SM	PARADISE BANK	BOCA RATON	FL	3	381,902	8,525
814430	20234	N	CITY NATIONAL BANK OF FLORIDA	MIAMI	FL	30	26,922,680	42,591
481430	26398	N	AMERICAN NATIONAL BANK	OAKLAND PARK	FL	1	453,736	3,338
725732	21265	NM	BRADESCO BANK	CORAL GABLES	FL	1	4,257,148	24,249
2791085	34643	NM	SUNSTATE BANK	MIAMI	FL	4	514,181	2,401
110936	26725	NM	BANCO DO BRASIL AMERICAS	MIAMI	FL	4	2,848,728	36,008
34537	131	N	SEACOAST NATIONAL BANK	STUART	FL	77	15,053,470	88,910
83638	22953	N	AMERANT BANK, NATIONAL ASSOCIATION	CORAL GABLES	FL	25	9,884,804	-23,815
82033	26829	N	FIRST NATIONAL BANK OF PASCO	DADE CITY	FL	5	298,099	558
5303724	59140	NM	GULFSIDE BANK	SARASOTA	FL	1	286,351	2,708
3688548	58644	NM	FIRST COLONY BANK OF FLORIDA	MAITLAND	FL	1	307,721	3,645
5475452	59181	SM	GULF ATLANTIC BANK	KEY WEST	FL	2	153,219	336
2735146	34775	N	EVERBANK, NATIONAL ASSOCIATION	JACKSONVILLE	FL	10	38,258,405	178,675
61832	3579	N	FIRST NATIONAL BANK OF MOUNT DORA, THE	MOUNT DORA	FL	4	368,077	2,494
2594419	34489	N	EDISON NATIONAL BANK	FORT MYERS	FL	4	436,139	4,616
581237	21284	NM	BANK OF PENSACOLA	PENSACOLA	FL	2	142,560	361
535931	16396	NM	LAFAYETTE STATE BANK	MAYO	FL	4	218,128	1,770
3217957	57598	NM	MAINSTREET COMMUNITY BANK OF FLORIDA	DELAND	FL	8	812,929	3,728
3547131	58486	N	FINEMARK NATIONAL BANK & TRUST	FORT MYERS	FL	14	4,224,707	4,280
3342671	57931	SM	ANCHOR BANK	PALM BEACH GARDENS	FL	5	351,995	1,632
2193616	33893	SM	RAYMOND JAMES BANK	SAINT PETERSBURG	FL	1	41,692,315	396,557
3404999	58113	NM	FLAGSHIP BANK	CLEARWATER	FL	6	649,255	4,038
3690701	58694	NM	PRIME MERIDIAN BANK	TALLAHASSEE	FL	4	884,414	6,666
3402913	57815	NM	BANESCO USA	MIAMI	FL	6	4,103,725	33,759
3370133	58029	SM	SUNRISE BANK	ORLANDO	FL	3	535,153	3,882
1414819	32718	NM	HELM BANK USA	MIAMI	FL	1	1,103,881	5,946
