List of Banks in Peer Group -- GACOM All Insured Commercial Banks in Georgia

Reporting Period End Date	09/30/2006
Number of Banks in Peer Group	333

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
37	10057	NM	BANK OF HANCOCK COUNTY	SPARTA	GA	1	79,863	665
439	16498	NM	PEOPLES BANK	BLACKSHEAR	GA	3	185,557	1,816
1632	5707	NM	SEA ISLAND BANK	STATESBORO	GA	7	514,730	5,129
2938	20246	NM	SECURITY BANK AND TRUST COMPANY OF ALBANY	ALBANY	GA	5	370,678	3,824
4231	16440	NM	FARMERS AND MERCHANTS BANK	SYLVANIA	GA	2	115,664	756
5135	15496	NM	FIRST STATE BANK OF BLAKELY	BLAKELY	GA	6	263,175	2,789
6039	15699	NM	ALMA EXCHANGE BANK & TRUST	ALMA	GA	1	85,312	845
7634	15904	NM	FOUR COUNTY BANK, THE	ALLENTOWN	GA	1	42,586	308
11837	5709	SM	FARMERS BANK, THE	GREENSBORO	GA	2	98,136	1,318
12030	17011	N	FIRST NATIONAL BANK SOUTH	ALMA	GA	4	306,793	3,670
17839	21803	NM	SUMTER BANK AND TRUST COMPANY	AMERICUS	GA	2	196,623	2,220
19936	15477	NM	CITIZENS BANK OF AMERICUS	AMERICUS	GA	6	177,237	2,321
20839	19653	NM	COLONY BANK SOUTHEAST	BROXTON	GA	4	190,174	1,334
22235	8023	NM	COLONY BANK ASHBURN	ASHBURN	GA	7	328,309	1,981
22936	16673	NM	FARMERS & MERCHANTS BANK	STATESBORO	GA	4	214,292	2,243
23036	25804	NM	CB&T BANK OF MIDDLE GEORGIA	WARNER ROBINS	GA	5	452,269	7,495
31134	2160	N	FIRST NATIONAL BANK OF WAYNESBORO, THE	WAYNESBORO	GA	1	87,228	724
34836	11297	NM	WOODBURY BANKING COMPANY, THE	WOODBURY	GA	1	21,441	152
36933	19163	NM	FIRST STATE BANK	WRENS	GA	4	94,311	628
37435	172	NM	UNITED BANK	ZEBULON	GA	13	582,377	7,409
39934	11292	N	FIRST NATIONAL BANK OF GEORGIA	BUCHANAN	GA	7	198,237	1,676
64730	9069	SM	FARMERS & MERCHANTS BANK	EATONTON	GA	2	183,031	2,125
66837	5687	NM	CENTRAL BANK OF GEORGIA	ELLAVILLE	GA	3	250,255	1,764
78036	156	NM	MONROE COUNTY BANK	FORSYTH	GA	2	81,097	994
80936	19195	NM	CAPITAL BANK	FORT OGLETHORPE	GA	3	160,217	2,156
90739	19389	NM	SPIVEY STATE BANK	SWAINSBORO	GA	1	100,749	1,749
100236	16825	NM	SUNMARK COMMUNITY BANK	HAWKINSVILLE	GA	4	153,036	1,942
101439	15336	NM	DURDEN BANKING COMPANY, INCORPORATED	TWIN CITY	GA	3	122,740	2,491
102333	10074	NM	WILKINSON COUNTY BANK	IRWINTON	GA	1	36,644	395
103536	10073	NM	FIRST STATE BANK AND TRUST COMPANY OF VALDOSTA	VALDOSTA	GA	4	424,809	6,684
104038	19797	SM	PARK AVENUE BANK, THE	VALDOSTA	GA	16	1,052,297	11,388
104430	16240	NM	JASPER BANKING COMPANY	JASPER	GA	2	238,078	1,342
105633	22309	NM	BANK OF DOOLY	VIENNA	GA	1	75,647	1,239
109136	25795	NM	PEOPLES BANK AND TRUST	BUFORD	GA	4	411,102	3,725
113030	19720	NM	FARMERS STATE BANK	DUBLIN	GA	3	118,869	1,427
116732	5712	NM	CITIZENS BANK	CAIRO	GA	1	56,576	382
119331	8483	NM	CAIRO BANKING COMPANY	CAIRO	GA	2	91,336	821
124830	17190	NM	BANK OF CAMILLA	CAMILLA	GA	2	75,151	729
132938	10072	NM	PLANTERS AND CITIZENS BANK	CAMILLA	GA	1	76,057	694
140634	2157	NM	FIRST STATE BANK OF RANDOLPH COUNTY	CUTHBERT	GA	2	50,171	419
147839	16480	N	WEST GEORGIA NATIONAL BANK	CARROLLTON	GA	8	535,078	5,741
151331	19252	NM	FIRST STATE BANK, THE	STOCKBRIDGE	GA	6	659,857	9,416
152235	21495	NM	BARTOW COUNTY BANK	CARTERSVILLE	GA	3	333,556	2,861
165039	2124	N	FIRST NATIONAL BANK OF POLK COUNTY, THE	CEDARTOWN	GA	3	169,046	1,656
168731	11660	NM	COHUTTA BANKING COMPANY, THE	CHATSWORTH	GA	6	234,877	1,545
169233	19792	NM	COLONY BANK OF DODGE COUNTY	EASTMAN	GA	3	78,609	819
176437	5699	NM	BANK OF WRIGHTSVILLE	WRIGHTSVILLE	GA	1	69,299	1,244
