List of Banks in Peer Group -- GASVG All Insured Savings Banks in Georgia

Reporting Period End Date	12/31/2020
Number of Banks in Peer Group	10

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2992501	35027	SI	CORNERSTONE BANK	ATLANTA	GA	3	218,631	-2,451
1163283	27153	SI	CITIZENS BANK AND TRUST, INC.	TRENTON	GA	3	109,824	987
88231	16418	SI	BANKSOUTH	GREENSBORO	GA	6	859,187	26,057
126375	29772	SI	VIDALIA FEDERAL SAVINGS BANK	VIDALIA	GA	2	202,381	-429
615776	29065	SI	ELBERTON FEDERAL SAVINGS & LOAN ASSOCIATION	ELBERTON	GA	1	25,874	22
381932	16246	SI	COMMERCIAL BANKING COMPANY	VALDOSTA	GA	5	268,840	3,062
828174	29164	SI	FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF VALDOSTA	VALDOSTA	GA	3	202,669	67
156970	29357	SI	FAMILY BANK	PELHAM	GA	3	113,270	1,145
67870	29331	SI	TC FEDERAL BANK	THOMASVILLE	GA	2	335,344	307
321273	29510	SI	NEWTON FEDERAL BANK	COVINGTON	GA	3	736,165	3,601
