List of Banks in Peer Group -- IACOM All Insured Commercial Banks in Iowa

Reporting Period End Date	06/30/2008
Number of Banks in Peer Group	364

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
60545	963	SM	HOME TRUST & SAVINGS BANK, THE	OSAGE	IA	1	144,507	700
65241	14980	NM	CLARKE COUNTY STATE BANK	OSCEOLA	IA	2	141,666	792
66846	14197	NM	MIDWESTONE BANK	OSKALOOSA	IA	16	773,245	3,546
68943	15484	N	FIRST NATIONAL BANK MIDWEST	OSKALOOSA	IA	4	131,195	-464
75446	9099	NM	SOUTH OTTUMWA SAVINGS BANK	OTTUMWA	IA	3	255,789	1,242
84046	10123	NM	FIRST TRUST & SAVINGS BANK	CORALVILLE	IA	2	53,912	-69
88240	18001	NM	PANORA STATE BANK	PANORA	IA	1	50,968	422
90047	13990	NM	PALO SAVINGS BANK	PALO	IA	1	31,826	224
92144	17551	NM	COMMUNITY STATE BANK	PATON	IA	1	30,717	152
97943	15272	NM	MARION COUNTY STATE BANK	PELLA	IA	1	185,805	2,070
102342	245	NM	RACCOON VALLEY BANK	PERRY	IA	5	169,044	869
106546	14194	NM	POLK COUNTY BANK	JOHNSTON	IA	3	171,410	-1,632
115146	17259	SM	ST. ANSGAR STATE BANK	SAINT ANSGAR	IA	2	99,550	101
116741	14247	NM	UNITED BANK AND TRUST COMPANY	HAMPTON	IA	4	100,224	679
136048	14868	NM	PEOPLES SAVINGS BANK	WELLSBURG	IA	3	65,106	294
137643	9105	NM	WEST IOWA BANK	WEST BEND	IA	4	78,268	409
139740	15614	NM	WEST BANK	WEST DES MOINES	IA	10	1,296,157	6,261
142049	13816	N	FIRST NATIONAL BANK OF WEST UNION, THE	WEST UNION	IA	2	84,775	534
145741	15610	NM	FARMERS & MERCHANTS STATE BANK	WINTERSET	IA	3	142,858	788
148340	14982	NM	UNION STATE BANK	WINTERSET	IA	4	83,849	-156
149945	15521	NM	STATE BANK	WORTHINGTON	IA	3	50,543	216
173548	26911	NM	PEOPLES STATE BANK	ALBIA	IA	1	74,291	408
178244	14415	NM	BELLEVUE STATE BANK	BELLEVUE	IA	1	61,039	468
179148	10127	NM	SUCCESS BANK	BLOOMFIELD	IA	1	93,966	803
180041	14783	NM	PATRIOT BANK	BROOKLYN	IA	6	97,384	197
180443	17347	SM	IOWA PRAIRIE BANK	BRUNSVILLE	IA	3	53,092	349
183042	14689	NM	SECURITY STATE BANK	ANAMOSA	IA	3	109,438	449
184245	14704	NM	GUARANTY BANK AND TRUST COMPANY	CEDAR RAPIDS	IA	8	238,706	604
185448	232	NM	SOLON STATE BANK	SOLON	IA	3	77,782	1,005
186744	4433	N	FIRST CITIZENS NATIONAL BANK	MASON CITY	IA	8	860,963	6,718
187947	14521	SM	BANK IOWA	CLARINDA	IA	4	100,448	988
188449	14522	NM	PAGE COUNTY STATE BANK	CLARINDA	IA	2	52,778	285
190246	16311	SM	LINN COUNTY STATE BANK	COGGON	IA	2	20,743	53
190648	14690	NM	IOWA SAVINGS BANK	CARROLL	IA	5	157,945	-1,023
190947	16177	NM	FIRST STATE BANK	STUART	IA	2	77,872	358
191449	8516	NM	SWISHER TRUST & SAVINGS BANK	SWISHER	IA	1	38,319	132
193247	14251	NM	FIDELITY BANK	WEST DES MOINES	IA	3	51,053	50
194440	231	NM	COMMERCIAL SAVINGS BANK	CARROLL	IA	3	103,214	676
200042	15308	NM	STATE BANK OF WAPELLO	WAPELLO	IA	1	32,457	148
201647	255	NM	FARMERS & MERCHANTS SAVINGS BANK	WAUKON	IA	2	91,054	725
202541	1547	NM	IOWA TRUST AND SAVINGS BANK	CENTERVILLE	IA	2	140,348	1,331
205542	951	NM	CHEROKEE STATE BANK	CHEROKEE	IA	1	162,416	1,251
208440	8760	NM	FARMERS STATE BANK	ALGONA	IA	3	72,779	404
212344	11759	NM	CITIZENS STATE BANK	WYOMING	IA	4	76,094	724
214843	4444	N	FIRST NATIONAL BANK IN CRESTON, THE	CRESTON	IA	3	178,164	1,472
215345	16307	NM	MANUFACTURERS BANK & TRUST COMPANY	FOREST CITY	IA	5	242,660	1,301
220844	12857	NM	DENVER SAVINGS BANK	DENVER	IA	1	86,553	419
223845	14772	NM	DANVILLE STATE SAVINGS BANK	NEW LONDON	IA	2	80,429	654
225942	18463	NM	HERITAGE BANK	MARION	IA	3	34,220	-13
229342	15651	NM	STATE BANK & TRUST CO.	NEVADA	IA	3	118,403	947
231149	15503	SM	SECURITY STATE BANK	NEW HAMPTON	IA	5	153,336	1,145
232744	4481	NM	FIRST STATE BANK IOWA	NEW HAMPTON	IA	2	43,829	22
233246	14904	NM	FIRST COMMUNITY BANK	NEWELL	IA	3	55,173	386
234841	8506	NM	NEW ALBIN SAVINGS BANK	NEW ALBIN	IA	1	163,187	985
242949	4482	N	FIRST NEWTON NATIONAL BANK	NEWTON	IA	3	84,363	354
247645	8093	NM	FIRST STATE BANK	NORA SPRINGS	IA	6	71,846	349
248147	9098	NM	NEW VIENNA SAVINGS BANK	NEW VIENNA	IA	1	27,620	145
252041	14410	NM	CITY STATE BANK	NORWALK	IA	5	183,526	634
253646	8094	NM	NORTHWOODS STATE BANK	MASON CITY	IA	3	110,294	849
269049	11763	SM	CITY STATE BANK	OGDEN	IA	1	93,007	938
274548	13411	NM	NORTHWESTERN BANK	ORANGE CITY	IA	3	165,196	1,185
276645	26944	SM	AMERICAN STATE BANK	OSCEOLA	IA	3	98,297	899
286840	8513	NM	STATE SAVINGS BANK	RAKE	IA	1	50,107	199
287342	9300	NM	READLYN SAVINGS BANK, THE	READLYN	IA	1	43,164	333
289449	9297	NM	FARMERS SAVINGS BANK	REMSEN	IA	1	112,955	682
297547	9102	NM	ROWLEY SAVINGS BANK	ROWLEY	IA	1	11,761	30
298049	10497	NM	IOWA STATE BANK	SAC CITY	IA	3	103,275	526
299644	5801	SM	BANK IOWA	DENISON	IA	4	145,420	942
300942	19540	NM	PIONEER BANK	SERGEANT BLUFF	IA	3	108,272	505
305648	14051	N	CITY NATIONAL BANK OF SHENANDOAH, THE	SHENANDOAH	IA	1	57,450	188
306140	15738	NM	SECURITY STATE BANK	WAVERLY	IA	3	61,697	398
307745	4503	N	FIRST NATIONAL BANK	SIOUX CENTER	IA	5	251,679	520
311649	18958	NM	PINNACLE BANK SIOUX CITY	SIOUX CITY	IA	1	45,314	412
329149	16547	NM	BANK PLUS	ESTHERVILLE	IA	4	79,259	626
334648	17302	SM	TITONKA SAVINGS BANK	TITONKA	IA	3	120,186	437
337247	9104	NM	AMERICAN SAVINGS BANK	TRIPOLI	IA	1	40,810	255
340649	26720	NM	CITIZENS STATE BANK	FORT DODGE	IA	2	102,182	620
343248	4494	N	FIRST NATIONAL BANK OF PRIMGHAR, THE	PRIMGHAR	IA	1	26,246	131
345345	5800	N	AMERICAN BANK, NATIONAL ASSOCIATION	LE MARS	IA	2	219,492	1,397
358149	15369	NM	FIRST STATE BANK	SIOUX RAPIDS	IA	2	24,984	163
359744	8519	NM	WHITE STATE BANK	SOUTH ENGLISH	IA	1	25,799	170
362043	16094	NM	EXCHANGE STATE BANK, THE	SPRINGVILLE	IA	2	29,294	308
363648	968	SM	SECURITY TRUST & SAVINGS BANK	STORM LAKE	IA	1	108,842	511
365745	252	SM	PINNACLE BANK	MARSHALLTOWN	IA	1	74,192	-120
366247	969	SM	TEMPLETON SAVINGS BANK	TEMPLETON	IA	2	78,238	399
368344	10122	NM	FARMERS SAVINGS BANK & TRUST	TRAER	IA	2	134,069	612
