List of Banks in Peer Group -- IDCOM All Insured Commercial Banks in Idaho

Reporting Period End Date	03/31/2020
Number of Banks in Peer Group	10

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
307062	2850	NM	FARMERS BANK	BUHL	ID	6	469,244	1,739
3384952	58095	NM	IDAHO FIRST BANK	MCCALL	ID	5	232,986	9
427960	22993	NM	TWIN RIVER BANK	LEWISTON	ID	4	105,099	571
300960	26403	NM	BANK OF IDAHO	IDAHO FALLS	ID	9	407,552	389
3010363	57074	NM	BANKCDA	COEUR D'ALENE	ID	4	144,368	262
324863	18059	NM	BANK OF COMMERCE, THE	IDAHO FALLS	ID	17	1,271,369	6,823
3678857	58752	NM	NORTHWEST BANK	BOISE	ID	4	872,401	1,536
428462	1237	NM	IRELAND BANK	MALAD CITY	ID	14	250,193	609
543262	11666	NM	D.L. EVANS BANK	BURLEY	ID	35	1,792,780	5,355
2753917	35103	NM	IDAHO TRUST BANK	BOISE	ID	2	157,736	219
