List of Banks in Peer Group -- IDCOM All Insured Commercial Banks in Idaho

Reporting Period End Date	12/31/2023
Number of Banks in Peer Group	10

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
307062	2850	NM	FARMERS BANK	BUHL	ID	6	665,343	5,331
3384952	58095	NM	IDAHO FIRST BANK	MCCALL	ID	7	602,353	6,161
427960	22993	NM	TWIN RIVER BANK	LEWISTON	ID	4	139,405	4,147
300960	26403	NM	BANK OF IDAHO	IDAHO FALLS	ID	16	1,048,394	9,457
3010363	57074	NM	BANKCDA	COEUR D'ALENE	ID	4	238,538	2,420
324863	18059	NM	BANK OF COMMERCE, THE	IDAHO FALLS	ID	15	1,961,937	46,121
3678857	58752	NM	NORTHWEST BANK	BOISE	ID	4	1,295,642	19,436
428462	1237	NM	IRELAND BANK	MALAD CITY	ID	12	366,816	2,885
543262	11666	NM	D.L. EVANS BANK	BURLEY	ID	40	3,138,862	33,772
2753917	35103	NM	IDAHO TRUST BANK	BOISE	ID	2	198,818	2,072
