List of Banks in Peer Group -- ILCOM All Insured Commercial Banks in Illinois

Reporting Period End Date	09/30/2009
Number of Banks in Peer Group	553

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
242	3850	SM	FIRST COMMUNITY BANK XENIA-FLORA	XENIA	IL	2	35,856	422
2732	17230	N	ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION	CHICAGO	IL	4	528,127	1,477
4839	11694	NM	AUSTIN BANK OF CHICAGO	CHICAGO	IL	5	317,346	1,327
5331	10448	NM	HYDE PARK BANK & TRUST COMPANY	CHICAGO	IL	2	375,516	772
12937	20226	NM	OAK BANK	CHICAGO	IL	1	197,118	1,106
15536	11677	N	PARK NATIONAL BANK	CHICAGO	IL	31	5,000,522	-27,891
18135	19536	N	SOUTH CENTRAL BANK, NATIONAL ASSOCIATION	CHICAGO	IL	5	223,981	1,061
19730	16606	NM	STANDARD BANK AND TRUST COMPANY	HICKORY HILLS	IL	40	2,361,563	2,613
23540	17899	NM	OSWEGO COMMUNITY BANK	OSWEGO	IL	2	181,314	902
25647	22536	NM	FAMILY BANK AND TRUST COMPANY	PALOS HILLS	IL	1	76,812	-308
26149	12103	NM	PALMER BANK	TAYLORVILLE	IL	1	67,526	719
32234	3639	N	FIRST NATIONAL BANK AND TRUST COMPANY	CLINTON	IL	1	90,805	528
33839	10075	NM	PEOPLES STATE BANK OF COLFAX	COLFAX	IL	1	28,183	247
35842	10868	SM	PREMIER BANK OF JACKSONVILLE	JACKSONVILLE	IL	4	126,581	1,017
36344	14736	N	FREESTAR BANK, NATIONAL ASSOCIATION	PONTIAC	IL	10	396,162	2,971
37949	11711	SM	BANK OF RANTOUL	RANTOUL	IL	3	189,071	823
38535	20685	NM	FIRST UNITED BANK	CRETE	IL	6	481,028	-6,939
41937	10802	NM	FARMERS STATE BANK OF DANFORTH	DANFORTH	IL	2	50,065	452
45038	5740	NM	STATE BANK OF DAVIS	DAVIS	IL	1	113,001	884
48730	16488	NM	FIRST COMMERCIAL BANK	CHICAGO	IL	6	332,686	21
49148	9265	SM	RUSHVILLE STATE BANK	RUSHVILLE	IL	1	75,680	800
75633	16571	N	HARRIS NATIONAL ASSOCIATION	CHICAGO	IL	261	45,628,264	-94,134
76135	20290	NM	HIGHLAND COMMUNITY BANK	CHICAGO	IL	3	118,696	170
