List of Banks in Peer Group -- ILSVG All Insured Savings Banks in Illinois

Reporting Period End Date	09/30/2009
Number of Banks in Peer Group	39

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
133971	29800	SI	LISLE SAVINGS BANK	LISLE	IL	2	523,689	-3,706
218878	27723	SI	SECURITY BANK, S.B.	SPRINGFIELD	IL	4	178,435	-1,352
221476	29786	SI	FIRST BANK & TRUST, S.B.	PARIS	IL	5	377,603	75
253440	17524	SI	CAPAHA BANK SB	TAMMS	IL	6	189,984	450
253776	30241	SI	FIRST SAVANNA SAVINGS BANK	SAVANNA	IL	1	11,627	-68
254670	29416	SI	COLUMBUS SAVINGS BANK	CHICAGO	IL	1	21,845	62
285777	29532	SI	NOKOMIS SAVINGS BANK	NOKOMIS	IL	1	26,460	36
322476	30618	SI	WABASH SAVINGS BANK	MOUNT CARMEL	IL	1	10,891	-4
324975	29535	SI	DEWITT SAVINGS BANK	CLINTON	IL	2	89,298	516
341972	31369	SI	TREMONT SAVINGS BANK	TREMONT	IL	2	45,911	-8
343770	29677	SI	NASHVILLE SAVINGS BANK	NASHVILLE	IL	1	36,555	218
365875	30713	SI	AMERICAN UNION SAVINGS AND LOAN ASSOCIATION, S.B.	CHICAGO	IL	1	7,195	7
441078	30819	SI	MARION COUNTY SAVINGS BANK	SALEM	IL	1	98,411	606
446877	30864	SI	MCHENRY SAVINGS BANK	MCHENRY	IL	5	292,145	33
447070	28747	SI	HOYNE SAVINGS BANK	CHICAGO	IL	4	305,493	25
482370	30656	SI	NORTH COUNTY SAVINGS BANK	RED BUD	IL	2	33,504	11
483274	29809	SI	FIRST SAVINGS BANK OF HEGEWISCH	CHICAGO	IL	9	522,118	2,195
490179	28611	SI	PULASKI SAVINGS BANK	CHICAGO	IL	1	42,682	-163
520777	28841	SI	COMMUNITY SAVINGS BANK	CHICAGO	IL	1	398,787	-94
536479	30600	SI	LINCOLN PARK SAVINGS BANK	CHICAGO	IL	4	223,680	-4,965
587574	31813	SI	ARCOLA HOMESTEAD SAVINGS BANK	ARCOLA	IL	1	17,837	78
587677	28401	SI	EUREKA SAVINGS BANK	LA SALLE	IL	4	358,564	1,095
593977	30568	SI	SOUTH END SAVINGS, SB	HOMEWOOD	IL	1	36,294	-8
627377	28723	SI	FIRST SAVINGS BANK	DANVILLE	IL	1	36,460	229
649874	28068	SI	ROYAL SAVINGS BANK	CHICAGO	IL	2	99,651	-10,796
687474	28211	SI	JACKSONVILLE SAVINGS BANK	JACKSONVILLE	IL	6	295,377	1,062
708379	28925	SI	SECURITY SAVINGS BANK	MONMOUTH	IL	2	157,645	-606
757377	29009	SI	LIBERTY BANK FOR SAVINGS	CHICAGO	IL	5	787,851	4,854
776275	27685	SI	FLORA SAVINGS BANK	FLORA	IL	1	27,766	46
790271	29227	SI	WASHINGTON SAVINGS BANK	EFFINGHAM	IL	1	199,765	981
817477	29121	SI	UNION SAVINGS BANK	FREEPORT	IL	5	161,574	325
825977	28243	SI	WAUKEGAN SAVINGS BANK	WAUKEGAN	IL	3	105,565	-2,014
835378	30043	SI	BEARDSTOWN SAVINGS, S.B.	BEARDSTOWN	IL	2	46,520	-440
857576	28151	SI	WEST TOWN SAVINGS BANK	CICERO	IL	2	59,207	170
873679	31004	SI	TWIN OAKS SAVINGS BANK	MARSEILLES	IL	2	65,014	269
899370	28938	SI	HARVARD SAVINGS BANK	HARVARD	IL	2	162,015	-400
967877	29952	SI	GEORGE WASHINGTON SAVINGS BANK	ORLAND PARK	IL	4	415,031	-12,389
2140348	55130	SI	ALLIED FIRST BANK, SB	OSWEGO	IL	1	153,786	-1,702
2797153	34856	SI	LINCOLN STATE BANK, S.B.	ROCHELLE	IL	1	43,827	1
