List of Banks in Peer Group -- INCOM All Insured Commercial Banks in Indiana

Reporting Period End Date	06/30/2015
Number of Banks in Peer Group	94

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
7045	5779	NM	PEOPLES BANK, THE	BROWNSTOWN	IN	4	197,693	737
16748	13104	SM	ELBERFELD STATE BANK, THE	ELBERFELD	IN	3	71,840	212
17147	4365	N	FIRST MERCHANTS BANK, NATIONAL ASSOCIATION	MUNCIE	IN	110	5,919,224	33,402
37640	17393	NM	GERMAN AMERICAN BANCORP	JASPER	IN	36	2,217,936	14,649
38740	13112	NM	OWEN COUNTY STATE BANK	SPENCER	IN	4	183,214	549
44040	4364	N	FIRST NATIONAL BANK OF MONTEREY, THE	MONTEREY	IN	4	312,531	989
44741	9647	NM	CITIZENS BANK	MOORESVILLE	IN	10	409,384	1,488
50144	14561	NM	STATE BANK OF MEDORA	MEDORA	IN	1	70,991	304
54375	28915	NM	YOUR COMMUNITY BANK	NEW ALBANY	IN	35	1,461,242	5,213
60648	4324	N	FIRST NATIONAL BANK	CLOVERDALE	IN	7	259,734	619
64543	15714	NM	BLOOMFIELD STATE BANK	BLOOMFIELD	IN	12	378,058	1,439
67142	13113	NM	PEOPLES TRUST AND SAVINGS BANK	BOONVILLE	IN	3	166,966	1,099
87047	12836	SM	FIRST STATE BANK OF PORTER	PORTER	IN	3	144,963	807
93543	4419	NM	SPRINGS VALLEY BANK & TRUST COMPANY	FRENCH LICK	IN	4	281,057	1,446
107570	29690	NM	FIRST FEDERAL SAVINGS BANK	HUNTINGTON	IN	6	277,084	1,858
113441	14578	NM	FARMERS STATE BANK	LAGRANGE	IN	14	557,752	2,708
123646	9092	SM	SALIN BANK AND TRUST COMPANY	INDIANAPOLIS	IN	18	763,576	2,576
130541	4360	N	HORIZON BANK, NATIONAL ASSOCIATION	MICHIGAN CITY	IN	34	2,119,714	10,900
139843	12839	SM	FIRST FARMERS BANK & TRUST	CONVERSE	IN	35	1,379,438	7,983
145844	5768	NM	FOUNTAIN TRUST COMPANY, THE	COVINGTON	IN	11	275,791	1,154
157744	15566	NM	HOOSIER HEARTLAND STATE BANK	CRAWFORDSVILLE	IN	6	147,753	544
163343	15532	NM	CENTREBANK	VEEDERSBURG	IN	3	64,853	226
176642	4398	NM	LNB COMMUNITY BANK	LYNNVILLE	IN	4	112,563	351
198046	8058	NM	COMMUNITY STATE BANK OF SOUTHWESTERN INDIANA	POSEYVILLE	IN	5	70,949	288
208244	3832	N	OLD NATIONAL BANK	EVANSVILLE	IN	181	11,775,598	53,632
225241	14061	NM	STATE BANK OF BURNETTSVILLE	BURNETTSVILLE	IN	2	46,800	-59
305442	13305	NM	NEW WASHINGTON STATE BANK, THE	NEW WASHINGTON	IN	8	256,417	2,058
308340	8035	NM	BATH STATE BANK	BATH	IN	2	142,712	854
312244	9288	SM	FIRST BANK OF BERNE	BERNE	IN	10	557,958	5,770
319047	4318	N	RIDDELL NATIONAL BANK, THE	BRAZIL	IN	4	191,089	689
321947	4319	N	FCN BANK, NATIONAL ASSOCIATION	BROOKVILLE	IN	5	414,868	1,694
322177	14714	NM	RIVER VALLEY FINANCIAL BANK	MADISON	IN	8	514,212	2,814
322449	8067	NM	COMMUNITY STATE BANK	BROOK	IN	1	63,569	348
345747	1833	NM	STATE BANK OF LIZTON	LIZTON	IN	12	372,144	1,375
348748	9290	NM	FARMERS STATE BANK	MENTONE	IN	5	135,492	509
367543	13843	NM	KENTLAND BANK	KENTLAND	IN	5	294,739	1,742
372640	13801	NM	FARMERS AND MERCHANTS BANK	LAOTTO	IN	4	121,091	741
378642	10040	N	CENTRAL NATIONAL BANK AND TRUST COMPANY, THE	ATTICA	IN	2	55,305	100
398248	16757	NM	CAMPBELL & FETTER BANK	KENDALLVILLE	IN	8	324,287	1,123
419675	28533	N	FIRST BANK RICHMOND, N.A.	RICHMOND	IN	7	511,573	1,278
423449	12828	NM	FARMERS BANK, FRANKFORT, INDIANA, THE	FRANKFORT	IN	8	472,120	2,335
427241	13130	SM	FRIENDSHIP STATE BANK, THE	FRIENDSHIP	IN	6	332,299	1,744
435349	16400	NM	IAB FINANCIAL BANK	FORT WAYNE	IN	17	1,026,555	3,919
443148	1847	NM	BIPPUS STATE BANK, THE	HUNTINGTON	IN	4	125,222	1,110
451246	1849	SM	WAYNE BANK AND TRUST CO.	CAMBRIDGE CITY	IN	3	131,456	859
454546	14113	NM	PEOPLES STATE BANK, THE	ELLETTSVILLE	IN	10	218,856	1,084
465243	8074	SM	GARRETT STATE BANK, THE	GARRETT	IN	3	205,174	1,732
474777	27955	NM	OUR COMMUNITY BANK	SPENCER	IN	2	65,763	263
493741	197	NM	ALLIANCE BANK	FRANCESVILLE	IN	7	306,848	2,083
502746	14883	SM	COMMUNITY STATE BANK	AVILLA	IN	5	206,791	1,056
503547	1829	SM	FAIRMOUNT STATE BANK, THE	FAIRMOUNT	IN	1	41,881	104
539340	15883	SM	DEMOTTE STATE BANK	DEMOTTE	IN	9	363,236	1,573
547840	27235	NM	STAR FINANCIAL BANK	FORT WAYNE	IN	45	1,750,294	7,021
549545	195	NM	CITIZENS EXCHANGE BANK, THE	FAIRMOUNT	IN	1	61,811	127
