List of Banks in Peer Group -- INCOM All Insured Commercial Banks in Indiana

Reporting Period End Date	09/30/2023
Number of Banks in Peer Group	73

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
7045	5779	NM	PEOPLES BANK, THE	BROWNSTOWN	IN	4	275,854	1,796
17147	4365	NM	FIRST MERCHANTS BANK	MUNCIE	IN	118	18,100,848	189,654
37640	17393	NM	GERMAN AMERICAN BANK	JASPER	IN	72	6,344,032	67,540
38740	13112	NM	OWEN COUNTY STATE BANK	SPENCER	IN	8	348,608	1,122
44040	4364	N	FIRST NATIONAL BANK OF MONTEREY, THE	MONTEREY	IN	4	387,836	2,137
44741	9647	NM	CITIZENS BANK	MOORESVILLE	IN	10	634,075	4,411
50144	14561	NM	STATE BANK OF MEDORA	MEDORA	IN	1	100,443	525
60648	4324	N	FIRST NATIONAL BANK	CLOVERDALE	IN	7	443,193	2,947
67142	13113	NM	PEOPLES TRUST AND SAVINGS BANK	BOONVILLE	IN	4	257,249	-1
87047	12836	SM	FIRST STATE BANK OF PORTER	PORTER	IN	3	167,155	1,053
93543	4419	NM	SPRINGS VALLEY BANK & TRUST COMPANY	FRENCH LICK	IN	6	583,167	4,397
107570	29690	NM	FIRST FEDERAL SAVINGS BANK	HUNTINGTON	IN	7	459,720	3,690
113441	14578	NM	FARMERS STATE BANK	LAGRANGE	IN	12	1,177,938	10,658
130541	4360	NM	HORIZON BANK	MICHIGAN CITY	IN	73	7,999,526	58,333
139843	12839	SM	FIRST FARMERS BANK & TRUST CO.	CONVERSE	IN	35	2,858,550	34,282
145844	5768	NM	FOUNTAIN TRUST COMPANY, THE	COVINGTON	IN	16	691,037	4,594
157744	15566	NM	HOOSIER HEARTLAND STATE BANK	CRAWFORDSVILLE	IN	6	303,934	1,609
163343	15532	NM	CENTREBANK	VEEDERSBURG	IN	4	105,193	1,699
176642	4398	NM	LNB COMMUNITY BANK	LYNNVILLE	IN	4	157,274	1,146
208244	3832	N	OLD NATIONAL BANK	EVANSVILLE	IN	259	48,675,505	483,010
228279	29839	NM	CROSSROADS BANK	WABASH	IN	7	540,321	3,566
305442	13305	NM	NEW WASHINGTON STATE BANK, THE	NEW WASHINGTON	IN	10	514,431	4,524
308340	8035	NM	BATH STATE BANK	BATH	IN	3	284,462	1,063
