List of Banks in Peer Group -- INSVG All Insured Savings Banks in Indiana

Reporting Period End Date	12/31/2014
Number of Banks in Peer Group	30

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
921879	30058	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF GREENSBURG	GREENSBURG	IN	3	161,713	507
155245	9538	SI	LAPORTE SAVINGS BANK, THE	LA PORTE	IN	7	503,641	3,662
602972	29789	SI	PEOPLES FEDERAL SAVINGS BANK OF DEKALB COUNTY	AUBURN	IN	16	469,532	3,538
735973	29910	SI	SCOTTSBURG BUILDING AND LOAN ASSOCIATION	SCOTTSBURG	IN	1	92,231	250
738572	29926	SI	DEARBORN SAVINGS BANK	LAWRENCEBURG	IN	2	118,233	1,021
1010574	29878	SI	AMERICAN SAVINGS, FSB	MUNSTER	IN	4	180,085	1,193
158376	28769	SI	FIRST FEDERAL SAVINGS BANK OF ANGOLA	ANGOLA	IN	1	133,748	850
1015270	29881	SI	HOME BANK SB	MARTINSVILLE	IN	4	241,695	661
382274	28722	SI	KENTLAND FEDERAL SAVINGS AND LOAN ASSOCIATION	KENTLAND	IN	1	4,870	2
654579	30065	SI	PEOPLES SAVINGS AND LOAN ASSOCIATION OF MONTICELLO INDIANA	MONTICELLO	IN	1	35,470	55
841472	27742	SI	MUTUAL SAVINGS BANK	FRANKLIN	IN	5	122,979	455
2723376	34748	SI	CLEARPOINT FEDERAL BANK & TRUST	BATESVILLE	IN	1	104,847	865
228279	29839	SI	CROSSROADS BANK	WABASH	IN	5	341,311	4,455
991078	30128	SI	BOONVILLE FEDERAL SAVINGS BANK	BOONVILLE	IN	1	42,102	96
568470	29523	SI	PEOPLES BANK SB	MUNSTER	IN	14	761,179	7,499
635475	28781	SI	LIBERTY SAVINGS BANK, FSB	WHITING	IN	3	58,537	-566
110972	29710	SI	FIRST FEDERAL SAVINGS BANK OF WASHINGTON	WASHINGTON	IN	2	78,426	171
857875	30133	SI	MID-SOUTHERN SAVINGS BANK, F.S.B.	SALEM	IN	4	199,608	130
257578	31516	SI	FIRST FEDERAL SAVINGS BANK	ROCHESTER	IN	6	369,676	1,688
3029253	57109	SI	EVERENCE TRUST COMPANY	GOSHEN	IN	1	5,092	-558
391575	29566	SI	UNITED FIDELITY BANK, FSB	EVANSVILLE	IN	7	218,512	5,361
946274	29024	SI	BEDFORD FEDERAL SAVINGS BANK	BEDFORD	IN	2	120,073	408
32971	28894	SI	SECURITY FEDERAL SAVINGS BANK	LOGANSPORT	IN	5	208,967	1,255
412872	28478	SI	FARMERS & MECHANICS FEDERAL SAVINGS AND LOAN ASSOCIATION	BLOOMFIELD	IN	2	70,039	190
697147	17736	SI	TERRE HAUTE SAVINGS BANK	TERRE HAUTE	IN	7	309,250	521
953478	30927	SI	LAKE FEDERAL BANK, FSB	HAMMOND	IN	3	67,340	150
716374	31223	SI	FIRST HARRISON BANK	CORYDON	IN	12	458,358	5,651
88772	29620	SI	UNITED COMMUNITY BANK	LAWRENCEBURG	IN	8	523,252	2,279
677970	29933	SI	UNION SAVINGS AND LOAN ASSOCIATION	CONNERSVILLE	IN	3	134,216	494
577472	28807	SI	WEST END BANK, S. B.	RICHMOND	IN	4	255,345	1,603
