List of Banks in Peer Group -- KSCOM All Insured Commercial Banks in Kansas

Reporting Period End Date	03/31/2014
Number of Banks in Peer Group	273

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
354	14083	NM	BISON STATE BANK	BISON	KS	1	10,432	-18
1557	15328	NM	FIRST STATE BANK, KIOWA, KANSAS, THE	KIOWA	KS	1	83,680	216
4156	13157	NM	KANZA BANK	KINGMAN	KS	4	211,110	349
5751	15194	NM	KEARNY COUNTY BANK	LAKIN	KS	2	185,985	943
7157	15057	NM	STATE BANK OF BLUE RAPIDS	BLUE RAPIDS	KS	1	48,199	22
9955	15899	SM	FIRST STATE BANK AND TRUST COMPANY OF LARNED, THE	LARNED	KS	3	120,859	462
12656	14944	SM	EMERALD BANK	BURDEN	KS	2	18,400	18
14753	18101	NM	FARMERS STATE BANK OF BUCKLIN, KANSAS, THE	BUCKLIN	KS	1	46,107	5
16458	17105	NM	DOUGLAS COUNTY BANK	LAWRENCE	KS	6	289,235	310
21256	16583	SM	STATE BANK OF BURRTON	BURRTON	KS	1	10,555	0
43351	17685	NM	LEONARDVILLE STATE BANK	LEONARDVILLE	KS	2	30,204	-50
45458	17927	NM	VINTAGE BANK KANSAS	LEON	KS	3	48,954	66
48057	4775	NM	PRAIRIE BANK OF KANSAS	STAFFORD	KS	4	117,513	-133
49652	16473	NM	FIRST BANK	STERLING	KS	3	135,887	371
50957	1149	SM	ALTERRA BANK	LEAWOOD	KS	2	213,592	467
51459	16436	NM	CENTERA BANK	SUBLETTE	KS	5	258,497	833
54058	1868	NM	BANK OF TESCOTT	TESCOTT	KS	5	322,496	1,616
55653	1150	NM	FIDELITY STATE BANK AND TRUST COMPANY	TOPEKA	KS	4	100,296	165
63751	15009	NM	TOWANDA STATE BANK	TOWANDA	KS	1	9,794	-5
65858	4789	NM	EMPRISE BANK	WICHITA	KS	38	1,541,640	5,071
71859	13959	NM	CBW BANK	WEIR	KS	1	14,630	288
72351	16941	NM	FARMERS STATE BANK	WATHENA	KS	1	65,168	200
73956	12422	NM	SECURITY STATE BANK	WELLINGTON	KS	2	63,976	96
91156	4803	N	CORNERBANK, NATIONAL ASSOCIATION	WINFIELD	KS	8	289,146	574
114158	4717	N	FIRST NATIONAL BANK OF LIBERAL	LIBERAL	KS	5	291,965	623
125958	17395	NM	LORRAINE STATE BANK	LORRAINE	KS	1	24,814	73
132451	4722	N	FIRST NATIONAL BANK OF LOUISBURG, THE	LOUISBURG	KS	3	91,376	161
136655	12135	NM	LYNDON STATE BANK, THE	LYNDON	KS	3	78,713	80
137559	4611	N	FARMERS NATIONAL BANK	PHILLIPSBURG	KS	5	122,984	312
138051	18120	NM	FARMERS STATE BANK OF ALICEVILLE, KANSAS, THE	WESTPHALIA	KS	3	129,708	506
138752	15352	NM	FARMERS STATE BANK, THE	ATWOOD	KS	1	24,985	43
139656	25858	SM	EQUITY BANK	ANDOVER	KS	27	1,143,289	2,592
141453	17719	NM	FARMERS AND MERCHANTS STATE BANK OF ARGONIA, THE	ARGONIA	KS	2	34,711	41
142656	15604	NM	LYONS STATE BANK	LYONS	KS	2	98,983	-201
144052	4619	N	EXCHANGE NATIONAL BANK & TRUST CO.	ATCHISON	KS	7	386,705	980
146850	14898	NM	PEOPLES STATE BANK	MC DONALD	KS	5	127,964	677
153353	1365	NM	PEOPLES BANK AND TRUST COMPANY	MCPHERSON	KS	8	428,521	1,002
160959	19899	NM	KANSAS STATE BANK OF MANHATTAN	MANHATTAN	KS	4	1,092,859	4,803
167752	4728	N	MARION NATIONAL BANK, THE	MARION	KS	1	24,817	24
170051	23173	NM	MISSION BANK, THE	MISSION	KS	6	543,728	1,545
171656	17369	NM	CARSON BANK	MULVANE	KS	4	104,480	50
172158	4736	SM	FIRST NEODESHA BANK	NEODESHA	KS	5	85,098	320
177957	4751	SM	PEOPLES BANK	LAWRENCE	KS	14	408,385	153
182353	13710	NM	BANK OF PALMER	PALMER	KS	2	43,512	95
183958	4756	N	FIRST NATIONAL BANK AND TRUST	PHILLIPSBURG	KS	5	200,770	533
190451	13881	SM	ROSE HILL BANK	ROSE HILL	KS	4	244,942	499
192558	18431	NM	FIRST BANK KANSAS	SALINA	KS	5	263,852	725
195157	4770	N	FIRST NATIONAL BANK OF SEDAN, THE	SEDAN	KS	1	57,910	87
196752	18109	NM	TRICENTURY BANK	SIMPSON	KS	1	3,577	-14
197254	4774	N	FIRST NATIONAL BANK OF SPEARVILLE	SPEARVILLE	KS	1	31,909	65
198073	28635	NM	FIRST FEDERAL SAVINGS AND LOAN BANK	OLATHE	KS	1	67,006	358
198859	4777	N	STOCKTON NATIONAL BANK, THE	STOCKTON	KS	3	112,551	173
206950	16788	NM	UNION STATE BANK	UNIONTOWN	KS	2	44,834	123
207452	10918	NM	GRANT COUNTY BANK	ULYSSES	KS	1	236,148	928
209559	4792	N	FIRST NATIONAL BANK OF WASHINGTON, THE	WASHINGTON	KS	1	75,020	140
224552	15426	NM	ALMENA STATE BANK	ALMENA	KS	2	30,623	85
225054	16410	NM	ANDOVER STATE BANK	ANDOVER	KS	2	69,206	47
227151	1869	SM	UNION STATE BANK	ARKANSAS CITY	KS	5	254,486	515
232258	17573	NM	JAMESTOWN STATE BANK	JAMESTOWN	KS	2	20,285	27
234355	4702	N	CENTRAL NATIONAL BANK	JUNCTION CITY	KS	31	852,220	2,207
235950	15237	NM	JOHNSON STATE BANK	JOHNSON	KS	2	75,986	158
240356	4701	N	FIRST NATIONAL BANK AND TRUST COMPANY OF JUNCTION CITY, KANSAS, THE	JUNCTION CITY	KS	2	113,254	380
246657	1874	NM	BANK OF LABOR	KANSAS CITY	KS	4	494,676	373
252658	12426	NM	COMMUNITY FIRST BANK	KANSAS CITY	KS	2	112,099	155
261258	18072	NM	INDUSTRIAL STATE BANK	KANSAS CITY	KS	3	144,509	446
265452	18165	NM	STOCKGROWERS STATE BANK, THE	MAPLE HILL	KS	3	72,872	328
273550	17672	NM	CITIZENS STATE BANK, THE	MOUNDRIDGE	KS	9	421,699	732
274052	14024	NM	FARMERS AND MERCHANTS BANK OF MOUND CITY, KANSAS	MOUND CITY	KS	1	36,777	103
275657	10503	SM	FIRST STATE BANK, THE	NESS CITY	KS	1	69,555	296
276159	4735	NM	SOUTHWIND BANK	NATOMA	KS	2	118,526	188
278256	1867	NM	FARMERS STATE BANK OF OAKLEY, KANSAS, THE	OAKLEY	KS	1	117,427	303
285852	4746	SM	FIRST OPTION BANK	OSAWATOMIE	KS	5	250,959	928
287959	10505	NM	KANSAS STATE BANK	OTTAWA	KS	2	116,500	161
296559	11777	NM	COMMERCIAL BANK	PARSONS	KS	7	239,717	680
297051	18019	NM	PATRIOTS BANK	GARNETT	KS	6	86,005	171
300456	18089	NM	PIQUA STATE BANK	PIQUA	KS	3	26,157	-25
302553	18118	NM	PLAINS STATE BANK	PLAINS	KS	2	140,906	201
305152	4760	N	FIRST NATIONAL BANK IN PRATT	PRATT	KS	1	111,330	147
315357	15312	SM	ST. MARYS STATE BANK, THE	SAINT MARYS	KS	2	93,498	209
319551	18374	NM	SECURITY STATE BANK	SCOTT CITY	KS	2	153,815	482
326054	15323	NM	SILVER LAKE BANK	TOPEKA	KS	4	246,463	270
331553	13603	NM	NEKOMA STATE BANK, THE	LA CROSSE	KS	2	41,734	72
332055	4738	NM	FIRST BANK OF NEWTON	NEWTON	KS	4	169,530	332
333650	26522	NM	BANK, THE	OBERLIN	KS	12	305,644	1,411
335757	16205	NM	STATE BANK OF OSKALOOSA, THE	OSKALOOSA	KS	1	29,095	4
339951	19631	NM	VALLEY VIEW STATE BANK	OVERLAND PARK	KS	10	832,647	1,010
348551	16803	NM	CAPITAL CITY BANK	TOPEKA	KS	10	435,450	625
354552	25665	N	COMMUNITY NATIONAL BANK	SENECA	KS	4	328,715	1,722
356659	4773	NM	SOLOMON STATE BANK	SOLOMON	KS	3	221,761	649
