List of Banks in Peer Group -- KSSVG All Insured Savings Banks in Kansas

Reporting Period End Date	06/30/2016
Number of Banks in Peer Group	10

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
120476	28507	SI	ARGENTINE FEDERAL SAVINGS	KANSAS CITY	KS	2	49,861	72
765877	28246	SI	HOME SAVINGS BANK	CHANUTE	KS	1	67,936	135
148171	28735	SI	GOLDEN BELT BANK, FSA	HAYS	KS	2	145,896	1,281
636276	29988	SI	MUTUAL SAVINGS ASSOCIATION, FSA	LEAVENWORTH	KS	6	194,647	833
762474	30895	SI	FIDELITY BANK	WICHITA	KS	23	2,214,723	6,322
901974	27727	SI	LYONS FEDERAL BANK	LYONS	KS	3	82,315	305
968070	27981	SI	CAPITOL FEDERAL SAVINGS BANK	TOPEKA	KS	47	11,287,087	42,078
721574	29172	SI	FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF WAKEENEY	WAKEENEY	KS	1	29,368	-9
987576	29857	SI	LIBERTY SAVINGS ASSOCIATION, FSA, THE	FORT SCOTT	KS	1	36,173	47
864378	30150	SI	CITIZENS SAVINGS AND LOAN ASSOCIATION, FSB	LEAVENWORTH	KS	3	199,062	629
