List of Banks in Peer Group -- KYCOM All Insured Commercial Banks in Kentucky

Reporting Period End Date	06/30/2012
Number of Banks in Peer Group	176

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
46941	2765	NM	FARMERS BANK AND TRUST COMPANY	PRINCETON	KY	2	116,947	978
62044	21342	NM	SEBREE DEPOSIT BANK	SEBREE	KY	1	22,656	-61
65746	5840	NM	CITIZENS UNION BANK OF SHELBYVILLE	SHELBYVILLE	KY	15	577,192	-2,080
68345	1884	NM	PEOPLES BANK OF BULLITT COUNTY, THE	SHEPHERDSVILLE	KY	4	220,569	778
76443	1566	NM	PEOPLES BANK, THE	TAYLORSVILLE	KY	2	109,724	452
79042	12166	NM	WEST POINT BANK	RADCLIFF	KY	5	152,875	533
110945	9309	NM	UNITED SOUTHERN BANK	HOPKINSVILLE	KY	8	244,723	783
129910	8785	NM	PEOPLES EXCHANGE BANK	STANTON	KY	11	351,893	794
131717	5838	NM	FARMERS STATE BANK, INC	BOONEVILLE	KY	2	55,097	382
146618	14200	NM	BANK OF HARLAN, THE	HARLAN	KY	3	131,839	361
148715	9313	NM	PBK BANK, INC	STANFORD	KY	7	115,589	96
173641	2767	N	FIRST NATIONAL BANK OF RUSSELL SPRINGS, THE	RUSSELL SPRINGS	KY	3	184,768	1,165
180144	8762	NM	SACRAMENTO DEPOSIT BANK, THE	SACRAMENTO	KY	1	70,281	561
183846	2769	N	FARMERS NATIONAL BANK OF SCOTTSVILLE, THE	BOWLING GREEN	KY	4	245,798	1,556
189044	10146	NM	COMMONWEALTH BANK AND TRUST COMPANY	LOUISVILLE	KY	16	802,227	4,399
197142	8772	NM	SPRINGFIELD STATE BANK	SPRINGFIELD	KY	4	259,107	1,502
201049	8133	NM	SOUTH CENTRAL BANK OF MONROE COUNTY, INC.	TOMPKINSVILLE	KY	5	114,036	311
202514	11358	NM	CUMBERLAND SECURITY BANK, INC.	SOMERSET	KY	4	162,237	1,759
211114	281	NM	HYDEN CITIZENS BANK, INC	HYDEN	KY	3	127,768	865
261146	8120	NM	MAGNOLIA BANK	MAGNOLIA	KY	4	127,861	696
262741	12869	NM	FARMERS BANK & TRUST COMPANY	MARION	KY	2	144,309	1,367
263243	21247	NM	FIRST KENTUCKY BANK, INC.	MAYFIELD	KY	10	370,976	2,325
265340	12163	NM	FARMERS BANK OF MILTON, THE	MILTON	KY	3	204,294	1,318
266945	292	SM	MONTICELLO BANKING COMPANY	MONTICELLO	KY	12	586,135	1,895
271341	5847	NM	PEOPLES BANK MT WASHINGTON	MOUNT WASHINGTON	KY	2	87,561	-281
282048	8129	NM	PEOPLES BANK & TRUST COMPANY	OWENTON	KY	1	68,074	187
285740	16664	NM	PADUCAH BANK AND TRUST COMPANY, THE	PADUCAH	KY	6	538,457	5,402
316840	23627	NM	REPUBLIC BANK & TRUST COMPANY	LOUISVILLE	KY	38	3,505,337	92,579
317342	258	NM	STOCK YARDS BANK & TRUST COMPANY	LOUISVILLE	KY	31	2,016,897	13,707
327015	8784	NM	SALT LICK DEPOSIT BANK, THE	SALT LICK	KY	2	72,776	310
330949	275	NM	MORGANTOWN BANK & TRUST COMPANY, INCORPORATED	MORGANTOWN	KY	5	145,301	386
336147	15249	NM	UNITED CITIZENS BANK & TRUST COMPANY	CAMPBELLSBURG	KY	5	90,889	427
344816	12165	NM	CITIZENS DEPOSIT BANK & TRUST, INC.	VANCEBURG	KY	9	214,222	1,589
358112	9310	NM	COMMERCIAL BANK	WEST LIBERTY	KY	1	133,673	357
368175	28610	NM	FIRST FEDERAL SAVINGS BANK OF ELIZABETHTOWN	ELIZABETHTOWN	KY	22	1,210,230	-3,551
373115	734	NM	KENTUCKY BANK	PARIS	KY	13	676,373	3,528
391418	8122	NM	FIRST & PEOPLES BANK AND TRUST COMPANY	RUSSELL	KY	6	198,110	265
396244	26703	NM	RIVER CITY BANK, INC.	LOUISVILLE	KY	5	281,124	2,120
400141	2759	NM	FNB BANK, INC.	MAYFIELD	KY	8	369,689	2,149
410917	2725	N	CITIZENS NATIONAL BANK OF SOMERSET, THE	SOMERSET	KY	7	334,495	3,345
417710	22355	NM	FIRST COMMUNITY BANK, LEWIS COUNTY	VANCEBURG	KY	2	28,280	121
422116	21219	NM	BANK OF THE MOUNTAINS, INC.	WEST LIBERTY	KY	3	66,206	432
425818	303	NM	BANK OF MCCREARY COUNTY	WHITLEY CITY	KY	3	135,901	1,048
446149	16603	SM	PEOPLES BANK, THE	MARION	KY	2	35,505	147
449841	10514	NM	FARMERS DEPOSIT BANK	MIDDLEBURG	KY	2	47,767	159
456344	10145	NM	HART COUNTY BANK AND TRUST COMPANY	MUNFORDVILLE	KY	1	28,817	184
466549	2762	NM	FIRST FARMERS BANK AND TRUST COMPANY	OWENTON	KY	4	116,856	630
472018	2723	N	SALYERSVILLE NATIONAL BANK, THE	SALYERSVILLE	KY	2	113,793	448
473042	5854	NM	SOUTH CENTRAL BANK, INC.	GLASGOW	KY	7	274,174	749
479914	15608	NM	UNITED BANK & TRUST COMPANY	VERSAILLES	KY	13	573,546	933
485214	14894	NM	FARMERS BANK	NICHOLASVILLE	KY	4	102,305	287
489016	9311	NM	GRANT COUNTY DEPOSIT BANK	WILLIAMSTOWN	KY	5	90,654	-95
492810	9672	NM	OWINGSVILLE BANKING COMPANY	OWINGSVILLE	KY	3	69,016	131
493844	17937	NM	FRANKLIN BANK & TRUST COMPANY	FRANKLIN	KY	4	357,266	2,242
495419	2718	N	CITIZENS NATIONAL BANK OF PAINTSVILLE	PAINTSVILLE	KY	12	553,195	1,836
502447	9669	NM	FREDONIA VALLEY BANK	FREDONIA	KY	2	71,429	480
509811	2720	SM	COMMUNITY TRUST BANK, INC.	PIKEVILLE	KY	80	3,595,955	24,477
511618	2721	NM	FIRST COMMONWEALTH BANK OF PRESTONSBURG, INC., THE	PRESTONSBURG	KY	10	307,688	3,176
519445	1562	NM	PEOPLES BANK	LEBANON	KY	2	47,503	124
522847	9314	NM	PBI BANK	LOUISVILLE	KY	18	1,379,570	2,584
525446	14102	SM	FARMERS BANK, THE	HARDINSBURG	KY	2	96,748	984
535641	1051	SM	CITIZENS BANK	HARTFORD	KY	3	25,010	63
541642	8126	NM	COMMONWEALTH COMMUNITY BANK, INC.	HARTFORD	KY	4	163,725	2,728
545846	8128	NM	HANCOCK BANK & TRUST COMPANY	HAWESVILLE	KY	6	356,558	935
553944	2750	N	LINCOLN NATIONAL BANK OF HODGENVILLE, THE	HODGENVILLE	KY	3	156,381	813
565143	12149	NM	FIRST STATE BANK	IRVINGTON	KY	3	158,749	841
567240	8118	NM	BANK OF JAMESTOWN	JAMESTOWN	KY	3	165,757	608
575348	2754	N	FARMERS NATIONAL BANK OF LEBANON, THE	LEBANON	KY	2	96,302	174
580847	297	SM	LEWISBURG BANKING COMPANY	LEWISBURG	KY	3	100,758	768
610913	2695	N	FIRST NATIONAL BANK OF GRAYSON, THE	GRAYSON	KY	7	227,669	1,494
617145	9306	NM	CITIZENS BANK, THE	HICKMAN	KY	2	110,251	855
618740	13838	SM	OHIO VALLEY FINANCIAL GROUP, INC.	HENDERSON	KY	4	241,079	2,252
620015	2698	N	FIRST NATIONAL BANK OF JACKSON, THE	JACKSON	KY	2	108,314	-316
633341	19106	NM	FIRST SECURITY BANK OF KENTUCKY, INC.	CENTRAL CITY	KY	4	71,225	219
634946	10142	NM	KEVIL BANK, THE	KEVIL	KY	1	30,195	91
641449	2753	N	CITIZENS NATIONAL BANK OF LEBANON, THE	LEBANON	KY	1	114,950	472
643546	13168	SM	LEITCHFIELD DEPOSIT BANK & TRUST COMPANY	LEITCHFIELD	KY	2	110,667	735
646145	15708	SM	CASEY COUNTY BANK, INC., THE	LIBERTY	KY	2	162,480	1,052
