List of Banks in Peer Group -- KYSVG All Insured Savings Banks in Kentucky

Reporting Period End Date	03/31/2015
Number of Banks in Peer Group	13

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
741974	29937	SI	FIRST FEDERAL SAVINGS BANK OF FRANKFORT	FRANKFORT	KY	6	229,382	507
219679	29774	SI	CARROLLTON FEDERAL SAVINGS AND LOAN ASSOCIATION	CARROLLTON	KY	1	36,200	44
617079	31090	SI	BLUE GRASS FEDERAL SAVINGS AND LOAN ASSOCIATION	PARIS	KY	1	40,345	-27
678575	27877	SI	KENTUCKY FEDERAL SAVINGS AND LOAN ASSOCIATION	COVINGTON	KY	3	36,075	-3
411174	31409	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION	MOREHEAD	KY	1	33,383	15
2819242	35161	SI	MURRAY BANK, THE	MURRAY	KY	3	267,874	565
831875	31197	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION	HAZARD	KY	1	75,662	117
33370	31723	SI	HOME SAVINGS BANK, FSB	LUDLOW	KY	1	26,963	3
654177	31239	SI	COMMONWEALTH BANK F.S.B.	MOUNT STERLING	KY	1	19,504	-125
50872	29313	SI	WINCHESTER FEDERAL BANK	WINCHESTER	KY	2	155,420	605
673477	27841	SI	CITIZENS FEDERAL SAVINGS AND LOAN ASSOCIATION OF COVINGTON	COVINGTON	KY	1	35,155	22
3153345	57277	SI	VICTORY COMMUNITY BANK	FT MITCHELL	KY	3	162,186	917
1011076	29877	SI	TOWN SQUARE BANK	ASHLAND	KY	8	412,990	836
