List of Banks in Peer Group -- LACOM All Insured Commercial Banks in Louisiana

Reporting Period End Date	12/31/2010
Number of Banks in Peer Group	131

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
8033	23090	NM	PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH	NEW ROADS	LA	3	143,104	1,643
21630	20041	NM	TECHE BANK AND TRUST COMPANY	SAINT MARTINVILLE	LA	4	75,242	1,146
47452	25065	N	FIRST NATIONAL BANK OF BENTON	BENTON	LA	1	55,827	283
53239	16928	NM	GUARANTY BANK	MAMOU	LA	4	122,910	879
55336	16539	NM	METAIRIE BANK & TRUST COMPANY	METAIRIE	LA	7	327,946	2,381
83834	17906	NM	AMERICAN BANK & TRUST COMPANY	OPELOUSAS	LA	7	134,992	1,655
85931	12609	NM	PATTERSON STATE BANK	PATTERSON	LA	3	220,959	1,071
88530	8807	NM	IBERVILLE BANK	PLAQUEMINE	LA	13	231,819	-2,108
89032	19800	NM	PLAQUEMINE BANK AND TRUST COMPANY	PLAQUEMINE	LA	1	126,875	1,011
90337	19143	NM	COMMUNITY BANK	RACELAND	LA	9	411,309	2,621
101037	8149	NM	FIRST AMERICAN BANK AND TRUST	VACHERIE	LA	24	726,775	2,662
103134	1374	NM	BANK OF COMMERCE, THE	WHITE CASTLE	LA	1	52,096	425
109659	15059	N	FIRST NATIONAL BANK	ARCADIA	LA	6	194,362	3,330
121651	9325	NM	JONESBORO STATE BANK	JONESBORO	LA	1	125,984	1,091
122153	8799	NM	JACKSON PARISH BANK	JONESBORO	LA	1	54,543	127
125855	8141	NM	SABINE STATE BANK AND TRUST COMPANY	MANY	LA	42	672,770	13,268
134455	8533	NM	TENSAS STATE BANK	NEWELLTON	LA	5	114,447	2,323
135836	19755	NM	SOUTH LAFOURCHE BANK & TRUST COMPANY	LAROSE	LA	5	157,046	2,334
136338	9319	NM	MERCHANTS & FARMERS BANK & TRUST COMPANY	LEESVILLE	LA	7	247,224	2,277
144436	8800	NM	UNION BANK, THE	MARKSVILLE	LA	7	248,896	1,719
146533	13170	NM	MERCHANTS AND FARMERS BANK	MELVILLE	LA	1	8,776	-86
178356	8140	NM	COLFAX BANKING COMPANY	COLFAX	LA	5	82,649	1,167
181758	8804	NM	BANK OF JENA	JENA	LA	5	67,442	376
185037	19657	NM	CENTRAL PROGRESSIVE BANK	LACOMBE	LA	17	413,452	-15,340
188739	17621	NM	BASILE STATE BANK	BASILE	LA	2	50,790	911
213538	11782	NM	BANK OF ABBEVILLE & TRUST COMPANY	ABBEVILLE	LA	2	148,257	915
223331	25884	N	MIDSOUTH BANK, N.A.	LAFAYETTE	LA	34	973,442	6,304
258632	10526	NM	VERNON BANK, THE	LEESVILLE	LA	2	66,548	444
261070	32511	NM	FIDELITY BANK	BATON ROUGE	LA	5	151,134	150
271136	17878	NM	BANK OF LOUISIANA	NEW ORLEANS	LA	6	92,141	240
283438	20856	NM	LIBERTY BANK AND TRUST COMPANY	NEW ORLEANS	LA	20	433,183	2,192
289739	17767	NM	GUARANTY BANK AND TRUST COMPANY	NEW ROADS	LA	4	122,698	1,384
311939	9326	NM	WASHINGTON STATE BANK	WASHINGTON	LA	3	132,724	309
357937	1376	NM	CITIZENS BANK AND TRUST COMPANY	PLAQUEMINE	LA	5	206,694	1,805
364430	22739	NM	BANK OF ST. FRANCISVILLE	SAINT FRANCISVILLE	LA	1	92,256	785
372538	12611	NM	EVANGELINE BANK AND TRUST COMPANY, THE	VILLE PLATTE	LA	6	568,419	4,303
384830	16417	NM	CITIZENS BANK & TRUST COMPANY	COVINGTON	LA	6	112,082	173
399731	8532	NM	BANK OF ERATH	ERATH	LA	3	82,354	774
422433	14028	NM	FIRST GUARANTY BANK	HAMMOND	LA	16	1,016,626	10,579
459130	20353	NM	GULF COAST BANK	ABBEVILLE	LA	13	273,501	2,726
472335	19541	NM	CAMERON STATE BANK	LAKE CHARLES	LA	20	718,566	9,263
473930	8798	NM	COTTONPORT BANK, THE	COTTONPORT	LA	8	290,476	2,628
476539	10523	NM	BANK OF COMMERCE & TRUST COMPANY	CROWLEY	LA	5	304,689	2,281
480433	14427	N	FIRST NATIONAL BANK IN DERIDDER	DERIDDER	LA	3	186,678	2,627
483032	16119	NM	TRI-PARISH BANK	EUNICE	LA	2	166,480	2,811
485139	17169	NM	STATE BANK & TRUST COMPANY	GOLDEN MEADOW	LA	5	110,207	1,258
487236	1372	NM	BANK OF GREENSBURG	GREENSBURG	LA	4	94,386	-334
499538	310	NM	HIGHLANDS BANK, THE	JACKSON	LA	5	135,504	1,931
535034	307	NM	LANDMARK BANK	CLINTON	LA	2	93,671	1,172
541035	10534	NM	CITY SAVINGS BANK & TRUST COMPANY	DERIDDER	LA	7	186,105	4,286
567736	16114	NM	FARMERS STATE BANK & TRUST COMPANY	CHURCH POINT	LA	6	86,131	1,306
568238	17340	NM	CHURCH POINT BANK AND TRUST COMPANY	CHURCH POINT	LA	1	44,026	116
575834	4288	N	FIRST NATIONAL BANK OF LOUISIANA	CROWLEY	LA	5	232,286	3,460
594853	26381	N	CITIZENS NATIONAL BANK, NATIONAL ASSOCIATION	BOSSIER CITY	LA	7	377,992	4,091
597452	19234	NM	AMERICAN BANK & TRUST COMPANY, INC.	COVINGTON	LA	4	113,222	265
603232	8144	SM	BANK OF GUEYDAN	GUEYDAN	LA	1	83,412	422
616036	23144	NM	SOUTH LOUISIANA BANK	HOUMA	LA	6	365,183	4,076
622037	4290	N	FIRST NATIONAL BANK OF JEANERETTE, THE	JEANERETTE	LA	5	168,218	2,419
625953	9323	NM	BANK OF WINNFIELD & TRUST COMPANY	WINNFIELD	LA	2	123,903	1,735
628552	10533	NM	WINNSBORO STATE BANK & TRUST COMPANY	WINNSBORO	LA	2	115,405	2,007
653134	9327	NM	FARMERS-MERCHANTS BANK & TRUST COMPANY	BREAUX BRIDGE	LA	7	237,602	2,607
667757	12614	NM	COMMUNITY TRUST BANK	CHOUDRANT	LA	27	1,582,967	11,811
675855	24443	N	PROGRESSIVE NATIONAL BANK OF DESOTO PARISH	MANSFIELD	LA	3	31,413	205
678454	9320	NM	MARION STATE BANK	MARION	LA	3	131,857	781
684455	1373	NM	BANK OF MONTGOMERY	MONTGOMERY	LA	4	161,710	3,984
687054	21529	NM	BANK OF OAK RIDGE	OAK RIDGE	LA	1	47,592	446
702751	17454	NM	CITIZENS BANK & TRUST COMPANY	SPRINGHILL	LA	8	156,230	1,602
714839	22046	N	FIRST NATIONAL BANK USA	BOUTTE	LA	3	173,981	-7,838
732253	10531	NM	CITIZENS PROGRESSIVE BANK	COLUMBIA	LA	3	68,346	1,110
734350	16689	NM	GIBSLAND BANK & TRUST COMPANY	GIBSLAND	LA	8	198,649	2,745
741956	314	NM	MER ROUGE STATE BANK, THE	MER ROUGE	LA	1	38,743	411
742636	23222	NM	MISSISSIPPI RIVER BANK	BELLE CHASSE	LA	3	181,769	3,006
752653	8526	NM	RICHLAND STATE BANK	RAYVILLE	LA	6	206,229	2,935
754536	17841	NM	VERMILION BANK & TRUST COMPANY	KAPLAN	LA	3	94,755	1,697
755252	9322	NM	CROSS KEYS BANK	SAINT JOSEPH	LA	8	289,221	3,255
767554	19744	NM	CITIZENS BANK & TRUST COMPANY OF VIVIAN, LOUISIANA	VIVIAN	LA	4	136,757	922
808176	28100	SM	IBERIABANK	LAFAYETTE	LA	105	8,567,611	65,245
819556	8527	NM	CONCORDIA BANK & TRUST COMPANY	VIDALIA	LA	7	481,740	5,541
841539	12610	NM	SAINT MARTIN BANK AND TRUST COMPANY	SAINT MARTINVILLE	LA	9	313,558	6,153
841753	12608	NM	CITY BANK & TRUST CO.	NATCHITOCHES	LA	5	229,174	3,276
842031	24679	N	FIRST LOUISIANA NATIONAL BANK	BREAUX BRIDGE	LA	3	113,590	1,213
844138	17587	NM	SIMMESPORT STATE BANK	SIMMESPORT	LA	1	60,237	536
860334	306	NM	BANK OF ZACHARY	ZACHARY	LA	3	174,197	1,613
873138	18538	N	WHITNEY NATIONAL BANK	NEW ORLEANS	LA	167	11,568,954	-135,319
879439	1380	NM	FELICIANA BANK & TRUST COMPANY	CLINTON	LA	3	113,100	866
885430	8534	NM	ST. LANDRY BANK AND TRUST COMPANY	OPELOUSAS	LA	4	244,416	1,571
893538	313	NM	AMERICAN GATEWAY BANK	BATON ROUGE	LA	11	449,452	1,330
900034	16075	NM	RAYNE STATE BANK & TRUST COMPANY	RAYNE	LA	7	237,864	3,271
910239	11788	NM	BANK OF SUNSET & TRUST COMPANY	SUNSET	LA	3	106,904	1,102
917032	21995	NM	CITIZEN'S BANK, VILLE PLATTE, LOUISIANA	VILLE PLATTE	LA	3	222,214	1,917
923257	9328	NM	PEOPLES BANK	CHATHAM	LA	1	19,936	148
925354	11785	NM	CALDWELL BANK & TRUST COMPANY	COLUMBIA	LA	2	97,768	1,636
926959	8531	NM	BANK OF COUSHATTA	COUSHATTA	LA	1	160,428	2,906
930853	10532	NM	CATAHOULA-LASALLE BANK	JONESVILLE	LA	4	95,961	1,033
931355	19354	NM	HODGE BANK & TRUST COMPANY	HODGE	LA	1	62,272	879
935559	20698	NM	SOUTHERN HERITAGE BANK	JONESVILLE	LA	9	254,759	2,366
939753	8801	NM	PEOPLES STATE BANK, THE	MANY	LA	13	458,148	2,983
969255	19638	NM	GUARANTY BANK & TRUST COMPANY OF DELHI	DELHI	LA	6	120,434	2,312
974754	13951	NM	COMMUNITY BANK OF LOUISIANA	MANSFIELD	LA	9	269,890	6,091
975256	26564	NM	DELTA BANK	VIDALIA	LA	4	205,479	3,600
980531	16546	NM	JEFF DAVIS BANK & TRUST COMPANY	JENNINGS	LA	14	506,751	6,369
983130	8143	NM	KAPLAN STATE BANK	KAPLAN	LA	3	92,764	2,000
985451	10528	NM	EXCHANGE BANK AND TRUST COMPANY	NATCHITOCHES	LA	1	102,537	1,836
989655	1377	NM	BANK OF RINGGOLD	RINGGOLD	LA	2	60,140	181
993335	8145	NM	BANK OF MARINGOUIN	MARINGOUIN	LA	2	45,661	584
1002458	12722	NM	SICILY ISLAND STATE BANK	SICILY ISLAND	LA	1	31,653	516
1003839	17388	NM	M C BANK & TRUST COMPANY	MORGAN CITY	LA	2	298,559	3,557
1006652	11792	NM	FRANKLIN STATE BANK & TRUST COMPANY	WINNSBORO	LA	3	119,685	1,607
1007154	22139	NM	PROGRESSIVE BANK	WINNSBORO	LA	7	379,192	2,626
1229424	27397	NM	OMNI BANK	METAIRIE	LA	14	744,527	154
1406980	27611	NM	TRI-STATE BANK & TRUST	HAUGHTON	LA	2	34,394	1,404
1458608	32974	NM	GULF COAST BANK AND TRUST COMPANY	NEW ORLEANS	LA	16	945,271	8,143
1464122	33029	NM	HANCOCK BANK OF LOUISIANA	BATON ROUGE	LA	50	2,849,756	34,744
1862719	33405	NM	FIRST BANK AND TRUST	NEW ORLEANS	LA	22	932,136	-8,743
1885932	33492	NM	CRESCENT BANK & TRUST	NEW ORLEANS	LA	5	604,469	9,892
2454607	34332	NM	OUACHITA INDEPENDENT BANK	MONROE	LA	12	471,096	8,521
2505460	34409	NM	BANK, THE	JENNINGS	LA	3	138,077	1,897
2654818	34777	NM	UNITED COMMUNITY BANK	GONZALES	LA	6	207,248	1,328
2716088	34803	NM	RESOURCE BANK	COVINGTON	LA	6	380,686	3,799
2743244	34980	NM	RED RIVER BANK	ALEXANDRIA	LA	14	842,556	8,563
2748502	34978	NM	SYNERGY BANK	HOUMA	LA	4	306,677	3,865
2756730	34784	NM	COMMERCIAL CAPITAL BANK	DELHI	LA	1	39,454	905
2760102	35005	NM	COASTAL COMMERCE BANK	HOUMA	LA	6	346,476	4,658
2775179	35020	NM	COMMUNITY FIRST BANK	NEW IBERIA	LA	3	219,170	4,203
2807173	35019	NM	WEST CARROLL COMMUNITY BANK	OAK GROVE	LA	1	18,344	48
2875592	35090	NM	FIRST COMMUNITY BANK	HAMMOND	LA	2	124,418	-808
3408728	58228	NM	BUSINESS FIRST BANK	BATON ROUGE	LA	5	656,847	1,257
3445769	58302	NM	FIRST NBC BANK	NEW ORLEANS	LA	13	1,201,613	10,443
3449066	58316	NM	INVESTAR BANK	BATON ROUGE	LA	5	201,792	715
3798278	58704	NM	SOUTH LOUISIANA BUSINESS BANK	PRAIRIEVILLE	LA	1	44,826	-419
4165907	58961	NM	LAKESIDE BANK	LAKE CHARLES	LA	1	14,735	-621
