List of Banks in Peer Group -- MACOM All Insured Commercial Banks in Massachusetts

Reporting Period End Date	06/30/2010
Number of Banks in Peer Group	35

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
35301	14	SM	STATE STREET BANK AND TRUST COMPANY	BOSTON	MA	13	143,497,140	1,128,043
117672	26549	SM	ABINGTON BANK	ABINGTON	MA	1	94,374	155
121576	26551	SM	BANK OF FALL RIVER, A CO-OPERATIVE BANK	FALL RIVER	MA	4	162,328	302
128904	32773	NM	EASTERN BANK	BOSTON	MA	83	6,553,032	38,384
149271	26454	SM	NORTHAMPTON CO-OPERATIVE BANK	NORTHAMPTON	MA	4	150,899	272
170976	26548	SM	CHELSEA-PROVIDENT CO-OPERATIVE BANK	CHELSEA	MA	1	47,336	35
178271	26617	SM	AVON CO-OPERATIVE BANK	AVON	MA	1	64,719	173
339773	26483	SM	NEEDHAM BANK	NEEDHAM	MA	5	1,126,169	3,725
377908	19943	NM	CENTURY BANK AND TRUST COMPANY	SOMERVILLE	MA	23	2,348,848	7,156
442806	2595	N	FIRST NATIONAL BANK OF IPSWICH, THE	IPSWICH	MA	6	257,928	43
555005	2644	N	ROCKPORT NATIONAL BANK	ROCKPORT	MA	3	159,763	650
613008	9712	NM	ROCKLAND TRUST COMPANY	ROCKLAND	MA	71	4,515,555	18,134
689302	27009	NM	WAINWRIGHT BANK & TRUST COMPANY	BOSTON	MA	12	1,037,046	4,308
736206	8152	NM	CAMBRIDGE TRUST COMPANY	CAMBRIDGE	MA	10	1,025,687	7,424
767705	2575	N	EDGARTOWN NATIONAL BANK, THE	EDGARTOWN	MA	4	123,133	417
791205	2598	N	LENOX NATIONAL BANK, THE	LENOX	MA	1	55,895	180
816304	90234	SM	MARBLEHEAD BANK	MARBLEHEAD	MA	2	168,082	245
824000	17484	NM	COMMERCE BANK & TRUST COMPANY	WORCESTER	MA	12	1,144,158	4,797
863607	2608	N	NATIONAL GRAND BANK OF MARBLEHEAD	MARBLEHEAD	MA	1	247,134	1,248
879000	2615	N	MILFORD NATIONAL BANK AND TRUST COMPANY THE	MILFORD	MA	5	279,859	428
881900	2616	N	MILLBURY NATIONAL BANK	MILLBURY	MA	2	74,321	39
900306	18266	NM	NORTHERN BANK & TRUST COMPANY	WOBURN	MA	11	601,439	3,053
935308	23966	NM	ONEUNITED BANK	BOSTON	MA	10	526,124	-283
947776	26602	SM	CHARLES RIVER BANK	MEDWAY	MA	4	183,530	442
956376	26554	SM	BANK OF EASTON	NORTH EASTON	MA	2	98,953	337
964700	24811	NM	BOSTON PRIVATE BANK & TRUST COMPANY	BOSTON	MA	9	3,335,102	13,763
972406	18342	NM	BOSTON TRUST & INVESTMENT MANAGEMENT COMPANY	BOSTON	MA	1	39,313	4,818
1001705	23468	NM	FIDELITY MANAGEMENT TRUST COMPANY	BOSTON	MA	1	101,906	2,690
1161216	27119	NM	NORTHMARK BANK	NORTH ANDOVER	MA	3	290,562	1,002
1216992	27335	SM	MERCANTILE BANK AND TRUST COMPANY	BOSTON	MA	3	165,303	796
1356768	27408	NM	ENTERPRISE BANK AND TRUST COMPANY	LOWELL	MA	17	1,327,752	6,192
3464827	58270	NM	BANK OF CAPE COD	HYANNIS	MA	2	99,060	179
3733411	58621	NM	NUVO BANK AND TRUST	SPRINGFIELD	MA	1	44,299	-914
3955053	58923	N	FIRST COMMONS BANK, N.A.	NEWTON CENTER	MA	1	84,922	-1,350
3109146	57134	N	LEADER BANK, NATIONAL ASSOCIATION	ARLINGTON	MA	5	310,401	2,099
