List of Banks in Peer Group -- MASVG All Insured Savings Banks in Massachusetts

Reporting Period End Date	09/30/2007
Number of Banks in Peer Group	128

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
5005	90286	SI	STONEHAM SAVINGS BANK	STONEHAM	MA	7	388,023	1,652
13103	23622	SI	BRISTOL COUNTY SAVINGS BANK	TAUNTON	MA	13	1,083,876	8,246
28406	90160	SI	HYDE PARK SAVINGS BANK	BOSTON	MA	6	883,198	6,625
57572	26594	SI	FAMILYFIRST BANK	WARE	MA	2	60,093	-70
58074	26568	SI	ADAMS CO-OPERATIVE BANK	ADAMS	MA	3	191,496	277
59679	26583	SI	ECONOMY CO-OPERATIVE BANK	MERRIMAC	MA	1	24,247	92
61476	26590	SI	PILGRIM BANK	COHASSET	MA	2	131,486	213
63573	26487	SI	WALPOLE CO-OPERATIVE BANK	WALPOLE	MA	1	302,730	1,953
66172	26646	SI	CENTRAL CO-OPERATIVE BANK	SOMERVILLE	MA	10	559,660	1,034
67209	90251	SI	NEWBURYPORT FIVE CENTS SAVINGS BANK	NEWBURYPORT	MA	5	536,326	3,166
70076	26550	SI	BRIDGEWATER CO-OPERATIVE BANK	BRIDGEWATER	MA	1	13,569	-2
97804	90253	SI	HOOSAC BANK	NORTH ADAMS	MA	2	397,579	929
109574	26411	SI	HAVERHILL BANK	HAVERHILL	MA	3	163,490	-49
115575	26591	SI	WEYMOUTH BANK	EAST WEYMOUTH	MA	3	159,998	293
116077	26575	SI	SOUTH SHORE CO-OPERATIVE BANK	WEYMOUTH	MA	3	196,513	544
117672	26549	SI	NORTH ABINGTON CO-OPERATIVE BANK	NORTH ABINGTON	MA	1	86,664	91
118174	26553	SI	MAYFLOWER CO-OPERATIVE BANK	MIDDLEBOROUGH	MA	7	241,483	821
119779	26517	SI	CAPE COD CO-OPERATIVE BANK	YARMOUTH PORT	MA	7	490,662	2,235
121576	26551	SI	BANK OF FALL RIVER, A CO-OPERATIVE BANK	FALL RIVER	MA	4	140,373	326
127701	90148	SI	BARRE SAVINGS BANK	BARRE	MA	3	132,496	64
152673	27293	SI	ATHOL-CLINTON CO-OPERATIVE BANK	ATHOL	MA	2	95,007	342
154770	26395	SI	FRAMINGHAM CO-OPERATIVE BANK	FRAMINGHAM	MA	2	324,894	2,694
156877	26619	SI	BUTLER BANK, A CO-OPERATIVE BANK	LOWELL	MA	2	211,807	1,139
157379	26512	SI	METHUEN CO-OPERATIVE BANK	METHUEN	MA	1	71,651	126
157904	90283	SI	HAMPDEN BANK	SPRINGFIELD	MA	7	488,866	970
158974	26574	SI	SAUGUSBANK A CO-OPERATIVE BANK	SAUGUS	MA	3	173,748	241
161273	26484	SI	NORTH SHORE BANK, A CO-OPERATIVE BANK	PEABODY	MA	7	433,543	657
163370	26448	SI	MANSFIELD CO-OPERATIVE BANK	MANSFIELD	MA	3	283,810	868
164975	26513	SI	STOUGHTON CO-OPERATIVE BANK	STOUGHTON	MA	2	84,029	46
170976	26548	SI	CHELSEA-PROVIDENT CO-OPERATIVE BANK	CHELSEA	MA	1	44,831	278
173575	26336	SI	VILLAGE BANK, THE	AUBURNDALE	MA	7	561,084	2,965
175672	26570	SI	BRAINTREE CO-OPERATIVE BANK	BRAINTREE	MA	2	183,964	209
178271	26617	SI	AVON CO-OPERATIVE BANK	AVON	MA	1	56,834	10
179700	90181	SI	CLINTON SAVINGS BANK	CLINTON	MA	6	457,676	1,702
180078	26396	SI	COMMUNITY BANK, A MASSACHUSETTS CO-OPERATIVE BANK, THE	BROCKTON	MA	6	364,663	1,140
182175	26603	SI	MARTHA'S VINEYARD CO-OPERATIVE BANK OF TISBURY	VINEYARD HAVEN	MA	3	160,734	696
182401	90187	SI	EAST BRIDGEWATER SAVINGS BANK	EAST BRIDGEWATER	MA	3	123,011	1,061
183770	26634	SI	MECHANICS' CO-OPERATIVE BANK	TAUNTON	MA	3	165,435	525
193809	23620	SI	DEDHAM INSTITUTION FOR SAVINGS	DEDHAM	MA	10	931,606	1,714
196800	90190	SI	DUKES COUNTY SAVINGS BANK	EDGARTOWN	MA	6	299,610	1,402
197302	90191	SI	EAGLE BANK	EVERETT	MA	7	447,490	1,936
198103	90273	SI	GRANITE SAVINGS BANK	ROCKPORT	MA	1	56,644	237
266879	26556	SI	COLONIAL CO-OPERATIVE BANK	GARDNER	MA	3	72,630	109
268976	27238	SI	WINCHESTER CO-OPERATIVE BANK	WINCHESTER	MA	1	359,438	2,119
269478	26453	SI	EQUITABLE CO-OPERATIVE BANK	LYNN	MA	2	92,148	-693
271275	27269	SI	DEAN CO-OPERATIVE BANK	FRANKLIN	MA	4	216,476	506
272302	90250	SI	INSTITUTION FOR SAVINGS IN NEWBURYPORT AND ITS VICINITY	NEWBURYPORT	MA	5	756,351	5,520
272870	26715	SI	MEETINGHOUSE BANK	DORCHESTER	MA	1	49,900	-42
278078	26605	SI	WELLESLEY BANK	WELLESLEY	MA	2	196,293	790
279105	23293	SI	FLORENCE SAVINGS BANK	FLORENCE	MA	9	956,359	2,863
279673	26600	SI	HOLBROOK CO-OPERATIVE BANK	HOLBROOK	MA	1	101,829	498
317100	90147	SI	NORTH MIDDLESEX SAVINGS BANK	AYER	MA	7	358,817	1,224
326979	26397	SI	GREENFIELD CO-OPERATIVE BANK	GREENFIELD	MA	4	230,283	1,268
329578	26510	SI	MARLBOROUGH CO-OPERATIVE BANK	MARLBOROUGH	MA	2	82,239	-348
330873	26516	SI	WAKEFIELD CO-OPERATIVE BANK	WAKEFIELD	MA	2	110,150	309
331375	26536	SI	GLOUCESTER CO-OPERATIVE BANK	GLOUCESTER	MA	1	143,308	495
332402	90270	SI	RANDOLPH SAVINGS BANK	RANDOLPH	MA	7	373,440	950
336071	26662	SI	ROXBURY-HIGHLAND CO-OPERATIVE BANK	JAMAICA PLAIN	MA	1	24,906	-47
338178	26511	SI	MELROSE CO-OPERATIVE BANK	MELROSE	MA	1	121,001	385
339773	26483	SI	NEEDHAM BANK	NEEDHAM	MA	5	682,237	1,270
343903	90140	SI	SOUTH ADAMS SAVINGS BANK	ADAMS	MA	3	193,493	458
348207	23901	SI	BELMONT SAVINGS BANK	BELMONT	MA	4	442,222	594
351207	90265	SI	LEGACY BANKS	PITTSFIELD	MA	12	796,694	1,141
375502	90141	SI	PROVIDENT BANK, THE	AMESBURY	MA	6	341,077	1,384
379470	26450	SI	CANTON CO-OPERATIVE BANK	CANTON	MA	1	75,650	93
408307	90146	SI	ATHOL SAVINGS BANK	ATHOL	MA	8	264,970	1,179
418100	90268	SI	SEAMENS BANK	PROVINCETOWN	MA	5	252,185	904
447100	90282	SI	SPENCER SAVINGS BANK	SPENCER	MA	5	308,273	1,877
473501	23621	SI	BERKSHIRE BANK	PITTSFIELD	MA	40	2,148,099	9,473
527600	90259	SI	NORTH EASTON SAVINGS BANK	NORTH EASTON	MA	9	407,810	859
528102	90258	SI	NORTH BROOKFIELD SAVINGS BANK	NORTH BROOKFIELD	MA	4	168,890	911
551904	23345	SI	SOUTH COASTAL BANK	ROCKLAND	MA	4	206,373	-1,308
613400	90213	SI	PEOPLESBANK	HOLYOKE	MA	14	1,406,255	3,027
618807	23296	SI	SALEM FIVE CENTS SAVINGS BANK	SALEM	MA	19	2,501,629	10,703
619701	90215	SI	AVIDIA BANK	HUDSON	MA	10	949,232	-749
627108	90203	SI	CAPE ANN SAVINGS BANK	GLOUCESTER	MA	3	336,202	2,276
627407	23524	SI	SOUTHBRIDGE SAVINGS BANK	SOUTHBRIDGE	MA	12	424,167	675
632607	90206	SI	GREENFIELD SAVINGS BANK	GREENFIELD	MA	6	537,504	1,146
635907	90208	SI	PENTUCKET BANK	HAVERHILL	MA	5	478,426	1,331
654300	90229	SI	WASHINGTON SAVINGS BANK	LOWELL	MA	3	158,134	-61
664206	23287	SI	CAPE COD FIVE CENTS SAVINGS BANK	HARWICH PORT	MA	13	1,637,692	6,735
673909	90211	SI	HINGHAM INSTITUTION FOR SAVINGS	HINGHAM	MA	8	703,122	3,159
685407	22089	SI	MASSBANK	READING	MA	15	820,298	5,573
