List of Banks in Peer Group -- MDCOM All Insured Commercial Banks in Maryland

Reporting Period End Date	03/31/2006
Number of Banks in Peer Group	64

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
33727	18115	N	MARYLAND BANK & TRUST COMPANY, NATIONAL ASSOCIATION	LEXINGTON PARK	MD	12	321,557	499
39327	5874	NM	CALVIN B. TAYLOR BANKING COMPANY OF BERLIN, MARYLAND	BERLIN	MD	10	367,441	1,743
41825	14017	NM	MIDDLETOWN VALLEY BANK	MIDDLETOWN	MD	4	145,886	824
56726	4856	N	FIRST NATIONAL BANK OF NORTH EAST	NORTH EAST	MD	3	143,399	176
57228	5866	NM	NEW WINDSOR STATE BANK	NEW WINDSOR	MD	5	178,830	226
61122	4857	NM	FIRST UNITED BANK & TRUST	OAKLAND	MD	25	1,312,323	3,211
105026	5885	NM	FARMERS BANK OF WILLARDS, THE	WILLARDS	MD	6	215,499	788
105071	30869	SM	PATAPSCO BANK, THE	DUNDALK	MD	5	222,856	348
147923	5867	NM	BANK OF OCEAN CITY	OCEAN CITY	MD	5	130,426	438
169327	8813	NM	PROVIDENT STATE BANK, INC.	PRESTON	MD	8	183,615	438
208927	20347	NM	MERCANTILE-SAFE DEPOSIT AND TRUST COMPANY	BALTIMORE	MD	55	7,176,906	28,848
229427	4852	N	CITIZENS NATIONAL BANK, THE	LAUREL	MD	25	1,345,771	4,823
304520	26847	NM	CHESAPEAKE BANK & TRUST COMPANY	CHESTERTOWN	MD	2	84,616	489
309570	31286	NM	FIRST MARINER BANK	BALTIMORE	MD	26	1,247,714	1,625
357375	31263	NM	K BANK	OWINGS MILLS	MD	8	619,611	2,022
368429	4862	SM	NBRS FINANCIAL	RISING SUN	MD	8	167,042	349
406022	5873	NM	WOODSBORO BANK	WOODSBORO	MD	7	168,477	337
429021	8816	NM	QUEENSTOWN BANK OF MARYLAND	QUEENSTOWN	MD	7	345,599	1,370
437521	15951	NM	PROVIDENT BANK OF MARYLAND	BALTIMORE	MD	152	6,074,574	20,251
489128	18933	NM	MERCANTILE SOUTHERN MARYLAND BANK	LEONARDTOWN	MD	17	950,149	4,748
506922	4865	SM	SANDY SPRING BANK	OLNEY	MD	31	2,481,657	8,564
526229	12884	NM	WESTMINSTER UNION BANK	WESTMINSTER	MD	16	887,443	2,781
533124	24015	NM	HARBOR BANK OF MARYLAND, THE	BALTIMORE	MD	7	254,992	552
536527	14679	N	INDUSTRIAL BANK, NATIONAL ASSOCIATION	OXON HILL	MD	8	331,021	332
610623	13779	NM	MERCANTILE COUNTY BANK	ELKTON	MD	17	943,214	4,339
613222	9700	NM	PEOPLES BANK OF ELKTON, THE	ELKTON	MD	2	114,723	461
628123	16820	NM	BANK OF GLEN BURNIE, THE	GLEN BURNIE	MD	8	314,093	712
636575	27555	NM	MARYLAND PERMANENT BANK AND TRUST COMPANY	OWINGS MILLS	MD	2	91,662	39
660927	19101	NM	HARFORD BANK	ABERDEEN	MD	6	191,005	506
692478	32370	NM	REGAL BANK & TRUST	OWINGS MILLS	MD	2	124,583	507
697978	30903	SM	COMMUNITY BANK OF TRI-COUNTY	WALDORF	MD	9	542,088	1,215
746223	4829	N	NATIONAL BANK OF CAMBRIDGE, THE	CAMBRIDGE	MD	3	207,163	856
750127	12885	NM	PEOPLES BANK OF KENT COUNTY, MARYLAND	CHESTERTOWN	MD	5	238,135	1,047
780722	8811	NM	HEBRON SAVINGS BANK	HEBRON	MD	9	313,820	1,063
796125	1893	NM	TALBOT BANK OF EASTON, MARYLAND, THE	EASTON	MD	6	461,996	1,942
802129	4842	SM	FARMERS & MECHANICS BANK	FREDERICK	MD	27	1,974,147	6,144
809324	12172	SM	ANNAPOLIS BANKING AND TRUST COMPANY, THE	ANNAPOLIS	MD	11	480,975	2,018
813572	31121	SM	CECIL FEDERAL BANK	ELKTON	MD	10	272,332	564
