List of Banks in Peer Group -- MDSVG All Insured Savings Banks in Maryland

Reporting Period End Date	03/31/2014
Number of Banks in Peer Group	27

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
643078	32360	SI	EASTERN SAVINGS BANK FEDERAL SAVINGS BANK	HUNT VALLEY	MD	5	423,185	798
648671	27889	SI	OBA BANK	GERMANTOWN	MD	6	390,364	207
538473	32363	SI	PRESIDENTIAL BANK, FSB	BETHESDA	MD	10	541,645	-187
516378	32368	SI	SLAVIE FEDERAL SAVINGS BANK	BEL AIR	MD	2	141,443	-458
411473	32367	SI	SEVERN SAVINGS BANK, FSB	ANNAPOLIS	MD	4	804,960	1,141
644673	32372	SI	HOPKINS FEDERAL SAVINGS BANK	BALTIMORE	MD	2	285,032	602
529873	32407	SI	KOSCIUSZKO FEDERAL SAVINGS BANK	BALTIMORE	MD	1	12,438	2
365576	28589	SI	HAMILTON BANK	BALTIMORE	MD	5	289,912	-578
747172	28969	SI	PRINCE GEORGES FEDERAL SAVINGS BANK	UPPER MARLBORO	MD	4	103,448	10
204077	28684	SI	CHESAPEAKE BANK OF MARYLAND	PARKVILLE	MD	4	180,118	226
415677	32328	SI	AMERICAN BANK	BETHESDA	MD	6	421,305	454
702676	29930	SI	MIDSTATE COMMUNITY BANK	BALTIMORE	MD	1	177,116	292
59370	30680	SI	FIRST SHORE FEDERAL SAVINGS AND LOAN ASSOCIATION	SALISBURY	MD	8	291,051	580
359472	31267	SI	HOMEWOOD FEDERAL SAVINGS BANK	BALTIMORE	MD	1	68,978	97
428471	29901	SI	KOPERNIK FEDERAL BANK	BALTIMORE	MD	1	70,152	113
613978	31083	SI	JARRETTSVILLE FEDERAL SAVINGS AND LOAN ASSOCIATION	JARRETTSVILLE	MD	1	119,379	-208
639174	32334	SI	MADISON SQUARE FEDERAL SAVINGS BANK	BALTIMORE	MD	4	143,970	27
310071	32331	SI	MADISON BANK OF MARYLAND	FOREST HILL	MD	3	144,723	75
242976	32527	SI	BAY-VANGUARD FSB	SPARROWS POINT	MD	5	179,840	212
390372	28780	SI	ARUNDEL FEDERAL SAVINGS BANK	GLEN BURNIE	MD	5	465,195	376
508270	27567	SI	GLEN BURNIE MUTUAL SAVINGS BANK	GLEN BURNIE	MD	1	81,655	21
4155841	59004	SI	BAY BANK, FSB	LUTHERVILLE TIMONIUM	MD	13	417,824	114
954774	28283	SI	FRATERNITY FEDERAL SAVINGS AND LOAN ASSOCIATION	BALTIMORE	MD	4	166,366	-43
523974	32327	SI	SAINT CASIMIRS SAVINGS BANK	BALTIMORE	MD	4	97,442	-73
695077	31555	SI	COLOMBO BANK	ROCKVILLE	MD	7	195,821	-347
809678	31109	SI	NORTH ARUNDEL SAVINGS BANK FEDERAL SAVINGS BANK	PASADENA	MD	1	42,071	63
86675	29613	SI	ROSEDALE FEDERAL SAVINGS AND LOAN ASSOCIATION	NOTTINGHAM	MD	8	791,820	2,807
