List of Banks in Peer Group -- MECOM All Insured Commercial Banks in Maine

Reporting Period End Date	03/31/2006
Number of Banks in Peer Group	15

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1904673	33525	NM	MAINE BANK & TRUST COMPANY	PORTLAND	ME	12	354,787	1,060
1448636	32940	NM	FIRST CITIZENS BANK	PRESQUE ISLE	ME	5	132,254	190
3177127	57467	NM	RIVERGREEN BANK	KENNEBUNK	ME	1	81,516	58
228000	19836	SM	FRANKLIN SAVINGS BANK	FARMINGTON	ME	6	293,749	1,098
530703	20931	NM	DAMARISCOTTA BANK & TRUST CO.	DAMARISCOTTA	ME	5	139,623	298
249304	20012	NM	BORDER TRUST COMPANY	SOUTH CHINA	ME	4	88,178	33
421203	33704	SM	MERRILL MERCHANTS BANK	BANGOR	ME	11	414,797	1,367
327305	12874	NM	KATAHDIN TRUST COMPANY	PATTEN	ME	14	373,415	979
522605	11971	NM	BAR HARBOR BANK AND TRUST COMPANY	BAR HARBOR	ME	12	755,311	1,682
563907	9	SM	UNION TRUST COMPANY	ELLSWORTH	ME	12	525,932	880
593007	4255	N	CAMDEN NATIONAL BANK	CAMDEN	ME	12	1,123,262	3,341
497404	18409	N	TD BANKNORTH, NATIONAL ASSOCIATION	PORTLAND	ME	597	38,871,445	96,938
439404	4256	N	FIRST NATIONAL ASSOCIATION, THE	DAMARISCOTTA	ME	14	1,019,562	3,008
469308	12873	NM	PEPPERELL BANK AND TRUST	BIDDEFORD	ME	4	94,532	-346
468806	19690	SM	NORTHEAST BANK	LEWISTON	ME	13	562,691	1,044
